PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
0,0.6353709,0.7154091,0.7965739,-1.0,-1.0,-1.0,-1.0,753.3604,3168.313,5669.293,8.695725,
1,0.6353709,0.7154091,0.7965739,1.347988,1.374223,1.386627,280.2564,753.3604,666.5625,719.1464,16.84895,1573
2,0.6812747,0.7212232,0.8139663,-1.0,-1.0,-1.0,-1.0,291.1754,15562.56,50630.91,38.15697,
3,0.6812747,0.7212232,0.8139663,1.013755,1.020886,1.029436,214.0395,291.1754,581.5625,318.9599,4.509686,
4,0.6812747,0.7212232,0.8139663,1.040826,1.047938,1.056467,219.7113,291.1754,660.5,387.2047,4.631252,
5,0.6812747,0.7212232,0.8139663,1.056467,1.086264,1.106082,227.7467,291.1754,3293.625,4210.35,28.12489,1626
6,0.6812747,0.7212232,0.8139663,1.106082,1.127276,1.148427,236.3453,291.1754,3537.438,4301.92,28.80857,1557_1593_1621
7,0.6812747,0.7212232,0.8139663,1.173754,1.184991,1.190605,248.4459,291.1754,837.9375,536.0881,5.097445,
8,0.6812747,0.7212232,0.7734264,-1.0,-1.0,-1.0,-1.0,508.2568,2220.5,4503.531,5.262878,
9,0.6812747,0.7212232,0.7734264,1.086264,1.104668,1.127276,227.223,508.2568,487.0,485.186,10.06278,
10,0.6751837,0.7212232,0.7851579,-1.0,-1.0,-1.0,-1.0,522.2655,14126.38,29368.61,40.75368,
11,0.6751837,0.7212232,0.7851579,1.103253,1.124452,1.149836,231.1305,522.2655,2832.75,3182.767,24.84949,1583
12,0.6751837,0.7212232,0.7851579,1.357661,1.37698,1.39764,283.0374,522.2655,1119.938,1391.369,9.914235,1545_1580
17,0.6523003,0.7212232,0.8082042,-1.0,-1.0,-1.0,-1.0,578.29,7004.313,17856.91,16.89435,
18,0.6523003,0.7212232,0.8082042,1.158284,1.179374,1.214432,241.821,578.29,2668.563,2583.747,44.40963,1536_1560
19,0.6523003,0.7212232,0.8082042,1.372844,1.405893,1.430613,288.267,578.29,538.5,681.0317,8.961598,1552
23,0.6751837,0.7212232,0.7965739,-1.0,-1.0,-1.0,-1.0,589.2801,4260.25,9808.631,11.55079,
24,0.6751837,0.7212232,0.7965739,1.072085,1.097593,1.118803,224.9555,589.2801,1399.438,1800.757,27.8425,1538
25,0.617999,0.7212232,0.7792564,-1.0,-1.0,-1.0,-1.0,752.3341,1727.938,3849.398,5.002749,
26,0.617999,0.7212232,0.7792564,1.341074,1.365945,1.378359,278.5751,752.3341,616.75,643.4782,11.88625,
27,0.6637937,0.7212232,0.8310639,-1.0,-1.0,-1.0,-1.0,809.3763,1340.0,2821.818,3.926269,
28,0.6637937,0.7212232,0.8310639,1.393512,1.408643,1.434727,286.9193,809.3763,447.125,447.9767,8.9425,1606
29,0.6812747,0.7268731,0.8023854,-1.0,-1.0,-1.0,-1.0,347.1996,6879.875,23963.41,24.10133,
30,0.6812747,0.7268731,0.8023854,1.125864,1.149836,1.163912,239.3622,347.1996,1557.313,2246.38,27.4525,
31,0.6812747,0.7268731,0.8023854,1.163912,1.184991,1.199021,246.6805,347.1996,2074.5,2504.463,39.4275,1587
32,0.6812747,0.7268731,0.8023854,1.199021,1.207429,1.215832,251.3515,347.1996,398.6875,225.4465,5.91125,
33,0.6751837,0.7268731,0.8082042,-1.0,-1.0,-1.0,-1.0,443.2194,4281.688,11840.75,11.14375,
34,0.6751837,0.7268731,0.8082042,0.9206276,0.9508033,0.9751694,196.3222,443.2194,2212.0,2177.115,34.41224,1539_1608
35,0.6869335,0.7268731,0.8480385,-1.0,-1.0,-1.0,-1.0,485.175,4623.0,14090.78,17.93057,
36,0.6869335,0.7268731,0.8480385,1.043671,1.060728,1.084847,218.4559,485.175,1235.625,1086.42,12.74191,
37,0.6869335,0.7268731,0.8480385,1.259138,1.284202,1.298102,264.4801,485.175,578.5,603.2516,5.779708,
38,0.6869335,0.7268731,0.8480385,1.298102,1.31337,1.34384,270.4871,485.175,643.0625,746.7744,6.663016,
39,0.6353709,0.7268731,0.7734264,-1.0,-1.0,-1.0,-1.0,521.2446,2632.813,6709.736,9.06662,
40,0.6353709,0.7268731,0.7734264,1.33277,1.338306,1.347988,275.1017,521.2446,634.4375,320.5812,11.08625,
41,0.6353709,0.7268731,0.7734264,1.347988,1.361804,1.386627,279.9319,521.2446,706.875,623.2285,14.1375,
42,0.6751837,0.7327664,0.8254558,-1.0,-1.0,-1.0,-1.0,254.0843,5513.688,26165.4,12.70036,
43,0.6751837,0.7327664,0.8254558,0.9594094,0.9894766,1.008048,208.779,254.0843,1530.75,1624.867,10.52443,
44,0.6751837,0.7327664,0.8254558,1.008048,1.028011,1.046516,216.9098,254.0843,2461.188,2654.301,16.20819,1633
45,0.6751837,0.7327664,0.8254558,1.046516,1.064988,1.07634,224.7119,254.0843,1421.938,1229.817,9.062989,
