PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
21990,10.94968,10.98232,11.00412,1.33277,1.345223,1.350753,274.4471,737.6306,635.25,269.8589,12.705,
21991,10.94968,10.98232,11.00412,1.374223,1.394888,1.399016,284.5796,737.6306,4804.0,2681.851,95.33625,27019
21992,10.94968,10.98232,11.00412,1.399016,1.407268,1.431984,287.1053,737.6306,5471.688,4683.51,109.4337,
21993,10.94968,10.98232,11.00412,1.431984,1.444321,1.452537,294.6646,737.6306,567.25,237.0757,11.345,
21999,10.96065,10.98232,11.02055,-1.0,-1.0,-1.0,-1.0,856.6748,6669.875,10250.75,9.650273,
22000,10.96065,10.98232,11.02055,0.8266883,0.835394,0.8455417,170.0,856.6748,2750.0,957.2277,55.0,
22001,10.96065,10.98232,11.02055,1.025162,1.033708,1.043671,210.3563,856.6748,3386.25,1157.2,67.725,
22002,10.96065,10.98232,11.02055,1.419633,1.427869,1.436098,290.5667,856.6748,339.0,111.6297,6.78,
22003,10.96065,10.98232,11.02055,1.488066,1.504424,1.513954,306.1454,856.6748,1250.0,539.8141,25.0,
22004,10.96065,10.98232,11.02055,1.527554,1.542493,1.550633,313.8924,856.6748,1258.313,536.0712,25.16625,
22005,10.90497,10.98232,11.04262,-1.0,-1.0,-1.0,-1.0,893.3487,1113.75,1449.722,2.924822,
22006,10.90497,10.98232,11.04262,0.9680086,0.9766009,0.9866167,198.6059,893.3487,275.75,94.73597,5.515,
22007,10.90497,10.98232,11.04262,1.426497,1.434727,1.444321,291.7724,893.3487,1113.75,366.5071,22.275,
22008,10.9331,10.98232,11.02607,-1.0,-1.0,-1.0,-1.0,919.4052,2250.0,2928.731,6.095748,
22009,10.9331,10.98232,11.02607,1.086264,1.094762,1.104668,222.5397,919.4052,2250.0,764.5322,45.0,
22018,10.91087,10.98232,11.05942,-1.0,-1.0,-1.0,-1.0,1320.915,1659.0,2159.451,5.107286,
22019,10.91087,10.98232,11.05942,1.170943,1.179374,1.189202,238.6596,1320.915,1659.0,559.2608,33.18,
22020,10.91087,10.98232,11.04814,-1.0,-1.0,-1.0,-1.0,1341.141,3738.625,5507.355,13.53105,
22021,10.91087,10.98232,11.04814,1.25356,1.261926,1.271677,255.3249,1341.141,2338.25,782.1511,46.765,
22022,10.91087,10.98232,11.04814,1.657219,1.66527,1.674655,336.9333,1341.141,1954.5,629.1692,39.09,
22023,10.94968,10.98774,11.00962,-1.0,-1.0,-1.0,-1.0,223.1456,1954.5,2552.557,3.932509,
22024,10.94968,10.98774,11.00962,0.7128752,0.7260686,0.7363189,154.2511,223.1456,1954.5,755.826,39.09,
22025,10.90497,10.98774,11.05368,-1.0,-1.0,-1.0,-1.0,258.2774,2204.5,2875.056,2.886796,
22026,10.90497,10.98774,11.05368,0.8440925,0.8527842,0.8687006,179.7919,258.2774,2204.5,833.2327,44.09,
22027,10.91645,10.98774,11.05368,-1.0,-1.0,-1.0,-1.0,319.9521,3454.5,4505.275,13.61168,
22028,10.91645,10.98774,11.05368,0.7859696,0.7990744,0.8092562,166.8719,319.9521,3796.438,1397.921,75.92875,
22029,10.94968,10.98774,11.00962,-1.0,-1.0,-1.0,-1.0,325.304,5318.0,6935.607,8.244596,
22030,10.94968,10.98774,11.00962,0.6981972,0.7070064,0.7172748,147.5474,325.304,681.25,239.9536,13.625,
22031,10.94968,10.98774,11.00962,0.7363189,0.7436348,0.7538686,155.1915,325.304,781.25,282.3294,15.625,
22032,10.94968,10.98774,11.00962,0.7655526,0.7743074,0.7830552,161.5927,325.304,335.5,117.4423,6.71,
22033,10.94968,10.98774,11.00962,0.7917959,0.8063481,0.822333,168.2793,325.304,2620.375,1428.316,52.4075,
22034,10.94968,10.98774,11.00962,0.8310421,0.8397442,0.8513361,175.2489,325.304,621.5,272.7573,12.43,
22035,10.94968,10.98774,11.00962,0.8860374,0.8946953,0.9047875,186.7168,325.304,669.9375,250.7974,13.39875,
22036,10.94968,10.98774,11.00962,0.9148703,0.9235051,0.9335704,192.7292,325.304,1218.75,420.7799,24.375,
22037,10.94968,10.98774,11.00962,0.9493682,0.9579755,0.9665759,199.9229,325.304,375.0,129.0572,7.5,
22038,10.94968,10.98774,11.00962,1.086264,1.094762,1.104668,228.4693,325.304,3159.0,1073.403,63.18,
22039,10.91645,10.98774,11.03709,-1.0,-1.0,-1.0,-1.0,397.1339,1636.25,2133.958,5.720881,
22040,10.91645,10.98774,11.03709,0.9780324,0.9866167,0.9966232,204.4184,397.1339,1636.25,561.6229,32.725,
22041,10.93862,10.98774,11.02055,-1.0,-1.0,-1.0,-1.0,444.8558,4367.813,9980.891,8.949246,
