params,mean_score
"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.490498506462689
"{'regressor__C': 447.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.4905492991620415
"{'regressor__C': 447.2, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.4905898241994535
"{'regressor__C': 447.3, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.490635612230502
"{'regressor__C': 447.4, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.490682919727153
"{'regressor__C': 447.5, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.4907243516650395
"{'regressor__C': 447.6, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.490773952255425
"{'regressor__C': 447.7, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.490815996484217
"{'regressor__C': 447.8, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.490863856613139
"{'regressor__C': 447.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.49090455207143
"{'regressor__C': 448.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.49094917014535
"{'regressor__C': 448.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.490997581924636
"{'regressor__C': 448.2, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491039019375447
"{'regressor__C': 448.3, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491084509194296
"{'regressor__C': 448.4, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491132120414271
"{'regressor__C': 448.5, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491176239609232
"{'regressor__C': 448.6, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491218412537179
"{'regressor__C': 448.7, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.4912554922423205
"{'regressor__C': 448.8, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491313027766612
"{'regressor__C': 448.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491351402350388
"{'regressor__C': 449.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491397932891599
"{'regressor__C': 449.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491442131437123
"{'regressor__C': 449.2, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491491189962086
"{'regressor__C': 449.3, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.4915256593106445
"{'regressor__C': 449.4, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491572326924458
"{'regressor__C': 449.5, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491611715360453
"{'regressor__C': 449.6, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491666885790474
"{'regressor__C': 449.7, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491711396682598
"{'regressor__C': 449.8, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491749650153806
"{'regressor__C': 449.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.49179545575126
"{'regressor__C': 450.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",-6.491830826948778
