params,mean_score
"{'regressor__C': 460, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.4040824140321035
"{'regressor__C': 455, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.404665828516296
"{'regressor__C': 450, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",-7.405215408807346
"{'regressor__C': 530, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.792171920773262
"{'regressor__C': 540, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.792171920773262
"{'regressor__C': 535, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.792171920773262
"{'regressor__C': 545, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.792171920773262
"{'regressor__C': 525, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.792171920773262
"{'regressor__C': 520, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.792221564104525
"{'regressor__C': 515, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.792303790790722
"{'regressor__C': 510, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.792386418062289
"{'regressor__C': 505, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.79248214764764
"{'regressor__C': 500, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.792583367016469
"{'regressor__C': 495, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.792685628328478
"{'regressor__C': 490, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.792821932189147
"{'regressor__C': 485, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.792980010513897
"{'regressor__C': 480, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.793138346114891
"{'regressor__C': 475, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.793298598004103
"{'regressor__C': 470, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.793459121506718
"{'regressor__C': 465, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.793620499895009
"{'regressor__C': 460, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.793783444789948
"{'regressor__C': 455, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.793946238288829
"{'regressor__C': 450, 'regressor__gamma': 0.0014, 'regressor__kernel': 'rbf'}",-7.79411099801656
