Trial,rmse,r2,mae,percent_madae,percent_mae,best_parameter,best_train_score
0,9.518237186695034,0.5498497934994886,7.9786202369800066,0.04080509862201892,0.03766628323997397,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",3.8540989907772705
1,5.224805374533195,0.6413109816548519,4.621122428952044,0.020476511445563086,0.02040380642294509,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.819547893560589
2,4.827922246421296,0.7910408955913709,3.916303002589695,0.0169468156914528,0.01746929410875118,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.990204900865979
3,5.4830978087781865,0.9168488403460012,4.722977561100838,0.0181706266917094,0.02416941878898418,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",4.771381032648423
4,6.406039102903525,0.905141736630784,5.340877888296177,0.022798724741265923,0.02428456249722617,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.905306131888421
5,5.972717785292318,0.8059586710152349,4.4823911290412,0.014788373539794411,0.020440155859830503,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.388174935550512
6,7.652178638829899,-0.1840686326302543,7.37988963420023,0.02865063904654583,0.03176965844279558,"{'regressor__C': 452.9, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",6.039013563709118
7,7.2330476642895976,0.8141612818448027,5.642288707060264,0.012561428978176737,0.026105798849600636,"{'regressor__C': 447.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.866278843049374
8,6.029235391092176,0.31356011207759216,4.820340843252533,0.019059178199787044,0.021222806504481703,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.652134592837352
9,5.023285566515936,0.9473514383787649,3.3443380178299833,0.009304595734973706,0.01761424495418382,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",7.557399605865595
10,5.50262811173722,0.34521729500881704,4.070648398406083,0.010726882628133774,0.018234062607414378,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.423121100108782
11,4.3310257428578245,0.8712068737811094,3.023024022159371,0.009086318308302449,0.013037773187561297,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",8.042893445485026
12,4.974659044733693,0.9604371076729349,3.896221090169045,0.009702227461939364,0.019121886083549082,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.257132097049376
13,8.395753306129855,0.8834966646010554,6.79138018955759,0.028146964508126534,0.033382194503503805,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",4.505324094737441
14,6.716168614276695,0.4707326455544283,5.93119646693484,0.022389727524234605,0.026284244651741184,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",4.828720510705787
15,6.876153377061465,0.7960206969766542,6.505717514173772,0.024020627687212193,0.028711530698663643,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.444553031657685
16,10.732121960540809,0.7724324677734108,9.241572267697151,0.03780087584388839,0.04612850393416759,"{'regressor__C': 447.3, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",4.866726609936036
17,4.946808212481474,0.887053422875112,4.735243703171037,0.020139786742958715,0.02055356101387458,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",8.072659502779851
18,5.365786601273541,0.841308333824182,5.1778757068085595,0.02507420750370585,0.022991342295846148,"{'regressor__C': 452.9, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",5.452231226134387
19,3.771895925144963,0.9699455388625672,3.192363309170782,0.012913065162430555,0.016583537864719982,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",7.746945847968736
20,5.420973483731344,0.8540322365202739,5.116996934860879,0.020818576895472674,0.023853260435276035,"{'regressor__C': 452.8, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.816360348614515
21,5.8664549820922245,0.8525188318109354,4.247283547877544,0.011337725674373725,0.01959744103076985,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",7.53136765594313
22,14.31794413501934,0.42188337208552706,11.749957619654714,0.051595093853783525,0.05243958869959889,"{'regressor__C': 452.8, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.585644939218107
23,2.158986377188415,0.9426692953883952,1.8505770292060646,0.0075624127341445795,0.008365220286201808,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",7.535522498054027
24,6.413152208591624,0.5205247337185075,5.042336431817826,0.022234366517529393,0.021670028768573903,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",8.47478151704641
25,6.010589557438528,0.5053369908315462,4.977026969847775,0.024818511666251864,0.022164925937000104,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",4.73395069003156
26,5.845811073038949,0.7370653770858335,4.645800334602711,0.019069791130077122,0.02142072941400335,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.983389068372658
27,4.3301238957168,0.9263492753327996,3.4892983476533552,0.013382213049847373,0.016321866424946624,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.60826954240058
28,3.206096837919415,0.7552022206120426,2.5117734720926657,0.008526209412891984,0.011174596223946438,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",6.965289580081088
29,5.644362937917773,0.9327886918979174,4.165194556605305,0.009391746579321705,0.02068701705056529,"{'regressor__C': 447.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.361511742626844
30,10.682670487864788,0.7039153089074461,8.284261097213038,0.02453839847430169,0.043785576425964166,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",5.633193864248261
31,5.209543924479092,0.955091989277408,4.22535136264068,0.021576363582337024,0.020585198375087436,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.44077953172877
32,6.06933460396186,0.8631588298086939,5.580504034610949,0.021465804054987457,0.02523133610722102,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.065611792135779
33,9.501473005936983,0.8371930172741746,7.176495668185908,0.018006756068501276,0.03695137959887052,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.449378237532784
34,4.129847794586252,0.9482419065616403,3.5385551773319057,0.01354581411062326,0.015876729619279977,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.408663842488657
35,6.02120669749421,0.8465337501445387,5.345852937648672,0.027996676815850344,0.024651500838341823,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",7.972762562059122
36,2.987666339604902,0.9550794935632292,2.113855027227615,0.00533502514993538,0.009129641628674913,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",7.757307660254059
37,5.685977599603182,0.34660079377991915,5.074036691691494,0.02437667260963687,0.02250699344212744,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",6.3254444331886095
38,4.19432353879987,0.8396175753336799,3.480226720042547,0.013335421554165398,0.016355911654216716,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",7.957931288824963
39,6.9625020743934,0.6888452689008537,5.67530792129233,0.0235740822712116,0.02648149493510514,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",4.468462591018653
40,4.65157688756825,0.9616779839418002,3.8873095763014853,0.019015448483491924,0.0187054287618699,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.493428380672026
41,6.258088641022429,0.9292972363142601,5.473260549615266,0.022078708839395368,0.02649848508643772,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",7.289625093496065
42,4.077276071094082,0.9082615564062334,3.5465314573437943,0.015583716409715488,0.016142674816831792,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.201274636749822
43,9.690078529265788,0.8263905501563625,7.340014382403145,0.023563506043464962,0.03861967391656346,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",5.524604172698334
44,5.168899486407938,0.9005498861130066,3.9768802936954537,0.015671118509568795,0.017758411642301422,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.819117506599928
45,3.359175494415718,0.9359204168237563,2.827518489052006,0.01462037791095026,0.01259771093719487,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",7.975555657166659
46,5.961805595566696,0.9359072124453091,4.564144184195584,0.0169347166102736,0.023146909086902645,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",7.310491349723715
47,4.689842431731614,0.8313297428553414,3.903844993077925,0.011435561934123421,0.017961940968044515,"{'regressor__C': 452.7, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.2551896717001565
48,10.758967505529997,0.8243281229448746,8.798199248287787,0.03613840431429708,0.03982867702671989,"{'regressor__C': 447.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.488191786933667
49,6.877185788098381,0.9233420979060918,5.511366317442703,0.0192017536602669,0.026604054300390974,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.75036932322643
50,4.296877826348746,0.8081322735646749,2.5322475082899083,0.004948885044414768,0.011818698153848709,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.852856702951529
51,8.559421164536419,0.7259259351038945,5.896066227927686,0.011667321624322255,0.027749967081412474,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",7.238913404291637
52,5.90692685505303,0.9466921870731053,5.102285642152457,0.024298588525643212,0.024277783434177604,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.636915957504054
53,5.963026431416932,0.5390909199994092,5.432074606257008,0.023204499541629536,0.02405292800270027,"{'regressor__C': 452.9, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",5.7009568292696615
54,2.6474414303816753,0.9573526882153098,2.4347649538261513,0.011491645238331988,0.011086062493097397,"{'regressor__C': 451.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",8.231647958003604
55,7.240734101160314,-0.21440630887743395,6.497004084461726,0.02625598731733461,0.029483610520541454,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",4.483496516030793
56,4.452406650950636,0.9293043588596791,3.995326133289486,0.018516188834350078,0.017838362496833224,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.446973932441591
57,5.008435403340343,0.5670399143140021,3.9788722191517913,0.014174781642201397,0.017323068187534887,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",9.363356062387806
58,3.0767875913280514,0.9663132731355408,2.7241428968771637,0.011820431689156499,0.012609231886208272,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",8.528824368693734
59,6.153784803372787,0.823411225505325,4.544532855673485,0.015334170522070444,0.021711661446956503,"{'regressor__C': 452.8, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.836668176618721
60,4.870243931551502,0.7726507881996865,4.098085064343522,0.017242998345746864,0.017585838811443245,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",7.465045071604125
61,4.597606799267898,0.8800033412996304,3.2852440676064276,0.01095159199371345,0.014177603782435063,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",8.01372060056138
62,5.615427354088656,0.9343619301649776,4.642256643875494,0.020803207776283427,0.023034010791067403,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.415234470877486
63,5.234550630960678,0.9594894956342757,4.794499857305941,0.023330103253247945,0.023183625428991304,"{'regressor__C': 452.9, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",5.688539926224411
64,4.816875328269725,0.8779958338059463,4.1960024373423055,0.01583842762032521,0.018222272757938838,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.740772351451011
65,7.522681922737516,0.5772577693037753,6.011234532676293,0.023456372713107562,0.02774156351524631,"{'regressor__C': 447.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.804236830193349
66,4.529391807079565,0.8688932896927344,3.7874799141096105,0.01690265398010741,0.01714877259326245,"{'regressor__C': 452.9, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",7.590261360925079
67,8.118853599835154,0.690473446646326,6.025027102647755,0.020533349987494467,0.02911919131905226,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.170168262164131
68,7.320532453146448,0.39581030911272996,6.228119113952725,0.02358301360991559,0.02776647548650631,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",4.617671953699796
69,5.178860540605407,0.8859686520523213,4.08080258826259,0.014925006499076295,0.017903133016153237,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",7.125793242869975
70,3.5150465792299617,0.927849544359235,2.593743776870113,0.008646714284733249,0.012097087439175258,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.59502189417187
71,5.758563960106183,0.6276671079263921,4.1240618750987705,0.010084462767955497,0.018735533740533192,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.598469090183945
72,6.520221132028712,0.5112406056404653,5.599632572891707,0.018865811429952816,0.024597992245706413,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.929996696903464
73,5.977017046868346,0.8146055152920655,5.2809233695784785,0.027038962304438162,0.024887451329548668,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.8800514733420375
74,7.267856105879365,0.6909502115543682,6.267028863319349,0.029323434042469666,0.027625387009263952,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",7.381434587858597
75,10.378056390668469,0.8524654997598549,8.379935152534708,0.035850267569684374,0.038890867112320864,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",5.632686709931686
76,7.128811815889561,0.7520043399605579,6.08307818448696,0.02571528193335057,0.028535052155406818,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.850295734383482
77,6.155227816251108,0.617952829178052,5.049207563596099,0.016120508200087643,0.02268509057607966,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",7.0066464127070915
78,7.633945765015645,0.9265875126748265,6.778040500645521,0.026940177116289647,0.03143434374353891,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",7.187074728061857
79,5.842368200463923,0.8921106066184429,5.273221216864329,0.021899414462876472,0.024881049919838968,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.892875879932543
80,5.850833878699235,0.8325146508904387,4.653052025961301,0.014940926034639295,0.02037516416291583,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.181212907709903
81,6.089488411146996,0.9267496235773225,5.30468778767893,0.029528961888728732,0.026338043348466417,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.779024233059087
82,5.724755733539139,0.7934223874005875,4.761976182464854,0.02340120984683122,0.02092634269549998,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.594629193097771
83,5.443078539071216,0.818134698005244,4.4152146989370165,0.01808220782656257,0.020871238157449193,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.831034277906608
84,5.699244852274304,0.9341936714178496,4.680418736057533,0.023347418676123048,0.02346927540508496,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",6.435582442224617
85,8.408409925034304,-0.4626566667980281,6.74274436477243,0.02524707332877494,0.03085206969674183,"{'regressor__C': 452.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",4.685251967976081
86,5.402854607633899,0.8929888546388424,4.664361706659501,0.021552963722003216,0.021437471398636776,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.793487938871723
87,8.527816488609217,0.7143824822017175,6.99529330657874,0.03188253820631258,0.03297578383049935,"{'regressor__C': 452.7, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.1963070895824846
88,7.504193367349668,0.7837287859149196,6.320663702476803,0.02396756179715053,0.02809429916225251,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.844552530457565
89,7.500454388616727,0.8308599113954229,5.852690773126156,0.027442296764194296,0.02882394572193302,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.109603568640479
90,8.229525985581331,0.7103698428261898,7.6710972761949945,0.027455967616801143,0.03439426982872343,"{'regressor__C': 452.9, 'regressor__gamma': 0.00045, 'regressor__kernel': 'rbf'}",5.636758422425565
91,5.194842679663566,0.9377400517017543,3.9988205427943675,0.0136822813367035,0.020841986031821375,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",7.704862966605735
92,7.695765318212366,0.7863562666473252,6.206441003377303,0.029107086453916013,0.028294417909542444,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.961102230630234
93,4.513719399661867,0.9047754395921981,3.8656975210637747,0.021111972693284093,0.017207552220711183,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",5.295195344528895
94,5.9307652731104055,0.9428806815608787,4.872568103437199,0.01622823752642979,0.024925564064749176,"{'regressor__C': 447.0, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",7.9363711724770365
95,6.5417854345951385,0.3179204239617589,5.158924007913892,0.013127882974828172,0.02336699140346858,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.794896931443584
96,4.528382527722419,0.5359746797003933,3.8096497252249955,0.01393947889632401,0.017222922505658923,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",6.575293121584819
97,9.186687690229414,0.8775750655450782,7.533697778772492,0.028549601758313288,0.03831140153648783,"{'regressor__C': 447.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",4.650189564771959
98,5.729487615225308,0.9380810332567332,4.618945871502693,0.017867226066967633,0.021981446998263484,"{'regressor__C': 452.9, 'regressor__gamma': 0.00055, 'regressor__kernel': 'rbf'}",7.3306554302929765
99,7.753337067589386,0.7048077543721375,6.0953230289716105,0.02328717019538893,0.03000886465566757,"{'regressor__C': 447.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",7.009097048540646
