PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
12401,10.71569,10.79853,10.87579,-1.0,-1.0,-1.0,-1.0,654.3329,6268.563,22044.73,10.73401,
12402,10.71569,10.79853,10.87579,1.323074,1.352135,1.372844,276.4989,654.3329,5213.5,4856.25,104.27,26109_26140_26195
12403,10.77621,10.79853,10.85387,-1.0,-1.0,-1.0,-1.0,660.4038,2010.0,5803.684,2.661055,
12404,10.77621,10.79853,10.85387,1.232616,1.261926,1.284202,258.0033,660.4038,2167.25,1883.899,43.345,
12405,10.727,10.79853,10.88673,-1.0,-1.0,-1.0,-1.0,752.408,4047.938,13664.77,6.492424,
12406,10.727,10.79853,10.88673,1.415513,1.444321,1.459379,294.5587,752.408,3288.375,3006.794,65.7675,
12407,10.69398,10.80396,10.82616,-1.0,-1.0,-1.0,-1.0,358.3682,18051.69,96306.88,12.83004,
12408,10.69398,10.80396,10.82616,0.965143,0.9994804,1.028011,207.8204,358.3682,26633.5,34617.53,95.65357,25859_25966_26172
12409,10.77621,10.80396,10.88124,-1.0,-1.0,-1.0,-1.0,435.8364,60997.31,338494.9,16.0559,
12410,10.77621,10.80396,10.88124,0.7874264,0.8237849,0.8600218,170.181,435.8364,169110.0,174314.3,826.9567,26491
12413,10.74348,10.80396,10.82616,-1.0,-1.0,-1.0,-1.0,631.504,10248.31,35412.46,14.8064,
12414,10.74348,10.80396,10.82616,1.236808,1.259138,1.288374,257.6729,631.504,15089.75,17210.33,301.24,26094_26143
12415,10.72124,10.80396,10.85387,-1.0,-1.0,-1.0,-1.0,835.5607,24032.0,133113.5,18.34113,
12416,10.72124,10.80396,10.85387,1.375602,1.410017,1.44706,287.0487,835.5607,40904.75,48916.3,813.8862,26117_26136_26250
12419,10.727,10.80938,10.90844,-1.0,-1.0,-1.0,-1.0,583.5231,26806.06,152703.1,60.00388,
12420,10.727,10.80938,10.90844,1.238205,1.277246,1.305044,261.8346,583.5231,21731.94,34096.05,433.5363,26045_26100_26188_26288_26529_26591
12421,10.67177,10.81505,10.96552,-1.0,-1.0,-1.0,-1.0,442.4056,35043.13,179991.3,36.85251,
12422,10.67177,10.81505,10.96552,1.056467,1.079177,1.111738,222.841,442.4056,32181.0,38756.5,642.095,26104_26173_26291_26522
12423,10.76522,10.81505,10.83748,-1.0,-1.0,-1.0,-1.0,485.9294,23924.69,91775.48,15.64033,
12424,10.76522,10.81505,10.83748,0.9220665,0.9551072,0.983756,196.695,485.9294,52426.56,69397.44,1048.531,
12425,10.74348,10.82058,10.87579,-1.0,-1.0,-1.0,-1.0,634.4667,13914.5,73981.24,22.59352,
12426,10.74348,10.82058,10.87579,1.232616,1.263319,1.289764,258.503,634.4667,18730.38,25507.03,368.5612,26141_26200
12427,10.77621,10.82058,10.93624,-1.0,-1.0,-1.0,-1.0,1280.85,1051.25,3233.808,2.29547,
12428,10.77621,10.82058,10.93624,1.793241,1.803835,1.82895,365.1448,1280.85,676.4375,513.9108,13.52875,26293_26263_26327_26379
12437,10.74348,10.83176,10.88673,-1.0,-1.0,-1.0,-1.0,315.6154,22258.94,129585.5,105.8878,
12438,10.74348,10.83176,10.88673,0.7655526,0.7917959,0.8121635,165.4433,315.6154,50620.38,39469.13,229.9617,
12439,10.74348,10.83176,10.88673,-1.0,-1.0,-1.0,-1.0,315.9505,13561.94,83333.0,40.88213,
12440,10.74348,10.83176,10.88673,0.7640929,0.793252,0.8136169,165.7404,315.9505,33262.13,24320.73,167.9019,
12452,10.6606,10.83748,10.91389,-1.0,-1.0,-1.0,-1.0,640.9384,3307.125,12797.72,5.844127,
12453,10.6606,10.83748,10.91389,1.046516,1.069247,1.08768,218.7448,640.9384,4148.75,3261.631,82.975,
12454,10.82058,10.843,10.85932,-1.0,-1.0,-1.0,-1.0,316.3197,19441.63,41137.54,5.150766,
12455,10.82058,10.843,10.85932,0.9033464,0.9148703,0.9206276,191.142,316.3197,5235.5,3372.52,30.41825,
12456,10.82058,10.843,10.85932,0.9206276,0.9393177,0.965143,196.2498,316.3197,33909.13,36916.04,241.6261,26398
12461,10.73239,10.84844,10.94176,-1.0,-1.0,-1.0,-1.0,631.6115,8098.688,31806.7,20.46159,
12462,10.73239,10.84844,10.94176,1.289764,1.309208,1.336923,267.9184,631.6115,6278.125,6627.766,125.5625,26380_26409
12463,10.78191,10.84844,10.99981,-1.0,-1.0,-1.0,-1.0,645.4885,25926.5,109268.3,41.96566,
12464,10.78191,10.84844,10.99981,1.243791,1.270285,1.300879,259.8344,645.4885,20186.56,25202.23,403.7313,26305_26313_26345
12467,10.77621,10.85387,10.93077,-1.0,-1.0,-1.0,-1.0,650.5154,2907.0,14311.92,4.526063,
12468,10.77621,10.85387,10.93077,0.8426433,0.8687006,0.8874809,177.6625,650.5154,3913.375,3564.768,78.2675,26404
12471,10.78745,10.85932,10.95969,-1.0,-1.0,-1.0,-1.0,791.7129,1680.313,6288.739,2.012454,
12472,10.78745,10.85932,10.95969,1.354898,1.381116,1.400392,281.4174,791.7129,1394.188,1157.215,27.88375,
12479,10.727,10.87037,11.09704,-1.0,-1.0,-1.0,-1.0,791.5301,146918.4,982577.1,179.9277,
12480,10.727,10.87037,11.09704,1.342457,1.379737,1.430613,281.1377,791.5301,142021.0,209379.4,2839.877,26055_26095_26178_26227_26317_26322_26325_26531_26733_26999_27137
12483,10.73239,10.87579,11.11466,-1.0,-1.0,-1.0,-1.0,324.4698,6115.0,36272.65,38.39018,
12484,10.73239,10.87579,11.11466,0.8946953,0.9263818,0.9723057,193.3492,324.4698,6334.75,9340.313,126.695,
12489,10.85387,10.87579,10.95376,-1.0,-1.0,-1.0,-1.0,811.5555,29012.5,125859.6,14.02789,
12490,10.85387,10.87579,10.95376,1.367325,1.39764,1.436098,284.6656,811.5555,48748.19,67566.91,957.9562,26524_26646
12491,10.64383,10.88124,11.10288,-1.0,-1.0,-1.0,-1.0,324.3614,355577.1,3653791.0,695.1119,
12492,10.64383,10.88124,11.10288,0.8773725,0.9263818,0.9966232,193.3518,324.3614,286248.6,674176.9,745.5804,25780_25890_25885_25975_26037_26002_26044_26105_26142_26183_26220_26276_26303_26401_26677_26750_26702_26824_26861_26904_27021_27108_27224
12495,10.86492,10.88124,10.91389,-1.0,-1.0,-1.0,-1.0,422.3241,24380.5,65816.62,4.486731,
12496,10.86492,10.88124,10.91389,0.78014,0.8034392,0.8484392,166.1382,422.3241,72878.0,68989.55,382.9663,
12508,10.87037,10.8922,10.92494,-1.0,-1.0,-1.0,-1.0,430.404,9016.063,26377.37,1.996435,
12509,10.87037,10.8922,10.92494,1.029436,1.066408,1.099008,220.3871,430.404,13457.94,19405.24,267.6512,
12515,10.84844,10.90303,10.95376,-1.0,-1.0,-1.0,-1.0,526.3118,3732.938,13590.19,9.850204,
12516,10.84844,10.90303,10.95376,1.094762,1.110324,1.137152,228.1818,526.3118,4020.563,4015.133,80.41125,26552
