PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
3,0.6265057,0.7519733,0.8098468,-1.0,-1.0,-1.0,-1.0,291.0726,3848.313,8112.822,7.286522,
4,0.6265057,0.7519733,0.8098468,0.7874264,0.8048937,0.8237849,168.7571,291.0726,788.5625,773.2766,35.49886,1477
5,0.6265057,0.7519733,0.8098468,0.9937651,1.022311,1.039403,214.3417,291.0726,464.5625,555.2836,21.4578,1504_1498
6,0.7230195,0.7635913,0.8802426,-1.0,-1.0,-1.0,-1.0,307.0417,6449.5,13174.84,13.71139,
7,0.7230195,0.7635913,0.8802426,0.7845125,0.8048937,0.8324929,168.3714,307.0417,1598.813,1706.768,27.52288,1528
8,0.7287314,0.7635913,0.7985257,-1.0,-1.0,-1.0,-1.0,429.2375,6311.875,11534.58,8.657424,
9,0.7287314,0.7635913,0.7985257,1.016608,1.033708,1.066408,213.647,429.2375,2040.063,2249.685,94.4126,1500_1501
13,0.7110773,0.7695159,0.84922,-1.0,-1.0,-1.0,-1.0,256.0739,5419.688,20156.81,13.29945,
14,0.7110773,0.7695159,0.84922,0.7333912,0.7377825,0.7494838,155.6116,256.0739,1334.063,816.1974,17.89662,
15,0.7110773,0.7695159,0.84922,0.7494838,0.7772242,0.8063481,163.9306,256.0739,2794.25,2653.303,42.98264,1505_1593
16,0.7343424,0.7695159,0.8098468,-1.0,-1.0,-1.0,-1.0,263.047,1895.75,3580.675,3.728964,
17,0.7343424,0.7695159,0.8098468,0.7480218,0.7655526,0.7859696,161.2576,263.047,828.9375,707.1305,31.95696,
18,0.7287314,0.7695159,0.826645,-1.0,-1.0,-1.0,-1.0,279.0188,6571.5,13020.8,2.701638,
19,0.7287314,0.7695159,0.826645,0.7363189,0.7582516,0.7757659,159.2792,279.0188,1783.75,2164.856,40.06583,1566
20,0.7459638,0.7751789,0.8738728,-1.0,-1.0,-1.0,-1.0,830.9492,3662.75,6839.778,9.121989,
21,0.7459638,0.7751789,0.8738728,1.335539,1.354898,1.382494,275.8525,830.9492,659.0625,738.7692,14.31607,1586
22,0.6988747,0.7809303,0.8153802,-1.0,-1.0,-1.0,-1.0,243.0802,3234.875,9809.584,8.136106,
23,0.6988747,0.7809303,0.8153802,0.6776147,0.7143419,0.7260686,151.0641,243.0802,1523.125,2054.531,17.23927,
24,0.6988747,0.7809303,0.8153802,0.7260686,0.7436348,0.7728488,157.2588,243.0802,1523.063,1597.661,17.23857,
25,0.7459638,0.7809303,0.8551629,-1.0,-1.0,-1.0,-1.0,248.9393,13780.25,27443.16,35.3193,
26,0.7459638,0.7809303,0.8551629,0.7202068,0.7436348,0.7611726,157.0674,248.9393,1080.75,1199.245,10.23821,
27,0.7459638,0.7809303,0.8551629,0.92782,0.9407541,0.947933,198.7021,248.9393,1046.313,735.0726,9.586121,
28,0.7459638,0.7809303,0.8551629,0.947933,0.9708735,0.9951943,205.0638,248.9393,2046.875,2971.05,18.7465,
29,0.7459638,0.7809303,0.8551629,0.9951943,1.008048,1.028011,212.9156,248.9393,765.9375,574.3743,7.137046,
30,0.7400073,0.7809303,0.8802426,-1.0,-1.0,-1.0,-1.0,250.9362,3405.688,6960.604,10.48716,
31,0.7400073,0.7809303,0.8802426,0.7319271,0.7421719,0.7538686,156.6954,250.9362,323.9375,163.3519,10.02699,
32,0.7400073,0.7809303,0.8802426,0.9493682,0.9694411,0.9823254,204.6789,250.9362,731.625,747.1273,20.27259,
33,0.6749049,0.7809303,0.837813,-1.0,-1.0,-1.0,-1.0,268.1066,5603.438,12780.89,9.899526,
34,0.6749049,0.7809303,0.837813,0.7172748,0.7348552,0.7538686,154.6508,268.1066,1563.625,1475.899,28.39249,1562
35,0.6988747,0.7809303,0.8551629,-1.0,-1.0,-1.0,-1.0,270.0565,5966.375,14388.93,12.2476,
36,0.6988747,0.7809303,0.8551629,1.005193,1.03086,1.046516,216.8712,270.0565,1620.438,2147.005,31.96125,1572
37,0.6988747,0.7809303,0.8551629,1.046516,1.067828,1.080594,224.6484,270.0565,674.6875,624.8666,13.04625,
45,0.7459638,0.7809303,0.826645,-1.0,-1.0,-1.0,-1.0,410.995,3386.125,6927.607,10.85454,
46,0.7459638,0.7809303,0.826645,0.92782,0.9407541,0.9565414,194.6994,410.995,1007.25,912.7748,10.49375,
47,0.7110773,0.7809303,0.83215,-1.0,-1.0,-1.0,-1.0,414.0402,6462.875,13028.04,20.98409,
48,0.7110773,0.7809303,0.83215,0.932133,0.947933,0.9579755,196.1391,414.0402,460.5625,320.5413,9.03125,
49,0.7110773,0.7809303,0.83215,0.9708735,0.9880468,1.009475,204.4392,414.0402,1057.0,1386.042,19.0725,
50,0.7110773,0.7809303,0.83215,1.009475,1.022311,1.03086,211.5289,414.0402,373.1875,292.531,5.39625,
51,0.7459638,0.7809303,0.83215,-1.0,-1.0,-1.0,-1.0,416.042,1303.75,2764.591,6.470224,
52,0.7459638,0.7809303,0.83215,0.9708735,0.9866167,1.000909,204.1121,416.042,340.875,235.328,6.8175,
53,0.7459638,0.7809303,0.837813,-1.0,-1.0,-1.0,-1.0,420.9572,9317.813,19113.08,26.81256,
54,0.7459638,0.7809303,0.837813,0.9436262,0.9694411,0.9937651,200.485,420.9572,2557.063,2758.317,44.66789,1598
55,0.7459638,0.7809303,0.837813,0.9937651,1.015182,1.023737,209.9443,420.9572,776.0625,737.7893,13.39371,
56,0.7173151,0.7809303,0.8434355,-1.0,-1.0,-1.0,-1.0,426.965,14394.0,28638.27,39.69372,
57,0.7173151,0.7809303,0.8434355,0.9105502,0.9421902,0.9694411,194.7638,426.965,3921.188,3951.573,72.32087,1561
58,0.7173151,0.7809303,0.8434355,1.131509,1.139972,1.152653,235.648,426.965,680.9375,498.0515,10.75609,
63,0.7400073,0.7809303,0.837813,-1.0,-1.0,-1.0,-1.0,429.1127,2698.313,6001.973,9.116072,
64,0.7400073,0.7809303,0.837813,0.9694411,0.9794636,0.9966232,202.4375,429.1127,310.0,219.6999,5.228921,
