,CCS,AdjacencyMatrix_SpAbs_A,AdjacencyMatrix_SpAD_A,ATSC_ATSC7i,MATS_MATS5dv,MATS_MATS6s,GATS_GATS2c,GATS_GATS8dv,GATS_GATS8d,BCUT_BCUTdv-1l,BalabanJ_BalabanJ,BaryszMatrix_VE2_Dzv,Chi_Xp-0dv,Chi_Xp-1dv,DistanceMatrix_VE2_D,GhoseFilter_GhoseFilter,PEOE_VSA_PEOE_VSA7,MolecularId_MID_C,MolecularId_AMID_N
LMST04010227_14-15,207.598,39.29346238,39.29346238,-2.033661061,-0.009866125,-0.03224941,0.679419619,1.02679975,0.765525448,0.993043446,1.473987992,0.176014726,19.62745961,12.75747716,0.176161296,0,73.52945044,52.22828858,0.068922428
LMST04010230_2-3,206.487,38.43138783,38.43138783,-30.60067028,-0.004538291,-0.061258158,0.701190846,0.980066344,0.750447179,0.993062523,1.39234853,0.179177141,19.25759629,12.69200141,0.179405785,0,91.78608415,52.23925611,0.069180008
LMST04010235_14-15,207.916,37.34400746,37.34400746,-24.75512781,0.013605442,-0.0202288,0.709286664,1.227119594,0.939937256,0.993043457,1.373311892,0.182104264,18.61671685,12.10448829,0.182192437,1,79.60547054,52.15549009,0.07361431
LMST04010466_19-20,231.709,43.39805429,43.39805429,-39.24927721,-0.016726506,-0.070221552,0.95677844,1.093755059,0.886671664,0.993048627,1.441646178,0.168047957,21.50497859,13.22880954,0.168158968,0,74.69339565,58.02651581,0.061917836
LMST04010466_4-5,230.831,43.40506802,43.40506802,-40.4174813,-0.016014079,-0.069022312,0.987414737,1.042450894,0.786477731,0.993062523,1.437670629,0.168236293,21.50497859,13.22880954,0.168365688,0,67.92777251,58.01339305,0.061314584
LMST04020042_12-13,212.972,39.74790033,39.74790033,4.281599443,0.015090244,0.014182525,0.676991231,0.876398422,0.873551724,0.993032697,1.344244468,0.176139052,20.56989572,13.46825957,0.176302687,0,86.37109368,55.99243888,0.06914368
LMST04030105_26-27,222.044,40.88076916,40.88076916,-15.71446238,-0.008841839,0.021531674,0.799522313,0.924553349,1.021699285,0.991703968,1.394360892,0.170695635,21.81000253,13.89992517,0.170778033,0,80.95610321,57.70879163,0.064613432
LMST04030145_1-2,224.251,40.85146756,40.85146756,-30.33231655,0.009697077,0.005865004,0.753543464,0.975586587,1.098526886,0.993035111,1.251325162,0.173700336,21.2770025,13.9456042,0.173893585,0,110.5456334,58.02482592,0.064869142
LMST04030174_16-17,226.053,40.71528463,40.71528463,-9.75598004,-0.008594594,-0.010798685,0.843771941,0.990831326,0.906292483,0.988232319,1.382734737,0.173323553,21.55645478,14.02910496,0.173496484,0,92.28899973,57.659045,0.066774625
LMST04030214_11-12,234.347,46.58844521,46.58844521,-17.14643007,0.01805248,0.002617161,0.791805038,1.032647355,1.022776107,0.993035827,1.390057618,0.160979824,23.79502075,14.98378705,0.161084368,0,86.02629217,64.05004669,0.057715984
LMST04030214_15-16,228.363,46.613827,46.613827,-17.78800656,0.001756094,-0.000427944,0.78364826,1.014636064,1.017833184,0.993035771,1.386675411,0.160975521,23.79502075,15.02844525,0.161092888,0,92.44711379,64.09751129,0.05689997
LMST04040011_23-24,245.18,47.84202204,47.84202204,-6.209700261,-0.114288617,0.005077987,1.080176943,1.016691962,0.999023217,0.992749069,1.245889982,0.161257836,24.21208537,14.99886515,0.161373908,0,80.10838612,64.29899923,0.05688913
LMST04050019_13-14,201.09,36.52640735,36.52640735,-30.34604828,0.00210461,-0.05853854,1.020553158,0.895544016,0.882428608,0.993053288,1.427519279,0.185423557,18.16353798,11.53016409,0.185759157,1,74.19048008,49.96041951,0.076242784
LMST04050019_17-18,202.33,36.55220984,36.55220984,-30.77174674,-0.020112928,-0.062223784,1.007383789,0.86483965,0.864723618,0.99305109,1.419672924,0.185414601,18.16353798,11.57482228,0.185792016,1,80.6113017,50.00764815,0.075167372
LMST04060012_0-1,200.996,36.07880658,36.07880658,-9.0682009,0.003362836,0.027884027,0.774217481,0.801109684,0.763067618,0.993055229,1.459630808,0.185306752,18.349348,12.21695747,0.18571605,1,85.36526253,49.93217932,0.072011256
