,CCS,AtomCount_nC,MATS_MATS3c,MATS_MATS6s,GATS_GATS8d,GATS_GATS1p,BCUT_BCUTdv-1l,BalabanJ_BalabanJ,Chi_Xp-0dv,DistanceMatrix_VE2_D,ComplementaryIC_CIC0,Lipinski_Lipinski,GhoseFilter_GhoseFilter,Radius_Radius,ZagrebIndex_mZagreb2
LMST02010024_5-6,167.466,19,0.084952732,-0.012427872,0.568789809,1.042451923,0.993592159,1.527076754,13.54876325,0.209903044,4.269209488,1,1,5,4.458333333
LMST02020005_7-8,174.537,20,0.089899172,-0.041361251,0.475126006,1.217179498,0.993462312,1.539003383,15.09273332,0.205477583,4.586180675,1,1,5,4.604166667
LMST02020012_8-9,177.046,21,0.085456439,-0.041721695,0.71996346,1.2300444,0.993394816,1.541043312,16.01538306,0.201188026,4.672599432,1,1,5,4.708333333
LMST02030089_10-11,187.856,22,0.122709792,-0.025100611,0.861178725,1.21753872,0.993385481,1.523353271,16.92363135,0.193107129,4.660962632,1,1,6,5.208333333
LMST02030178_25-26,196.521,23,0.161344581,-0.030954675,0.80868485,1.150730998,0.993055279,1.562224853,17.8898237,0.182776258,4.581354001,1,0,6,5.972222222
LMST02030251_5-6,187.098,22,0.109866816,-0.038812464,0.75405717,1.101430501,0.993053846,1.596718526,17.19673819,0.185980897,4.495285601,1,1,6,5.673611111
LMST02030251_7-8,186.821,22,0.114173334,-0.039652662,0.657346176,1.101430501,0.993056003,1.641230093,17.19673819,0.185825664,4.495285601,1,1,6,5.694444444
LMST02030271_9-10,192.337,22,0.155329683,-0.032891131,0.927489635,1.195713148,0.993462481,1.527838296,17.39540881,0.185954713,4.622413065,1,0,6,5.763888889
LMST03010041_4-5,217.259,29,0.05744522,0.001885028,1.009923664,1.238172528,0.991503065,1.440876171,21.849348,0.171156552,5.107586869,1,0,8,6.861111111
LMST03020001_0-1,228.419,28,0.136912959,0.040842051,1.307471264,1.283791822,0.988299645,1.346706196,20.55129712,0.179425781,5.162617152,0,0,8,6.430555556
LMST03020004_0-1,189.961,22,0.140306148,-0.033885638,1.359577372,1.178130908,0.993582256,1.426400868,16.65530199,0.189934004,4.575102167,1,1,6,5.805555556
LMST03020007_2-3,190.112,23,0.027142198,-0.071557849,1.038023743,1.203331386,0.993050875,1.490870204,17.15568215,0.189788167,4.68117639,1,1,6,5.777777778
LMST03020011_2-3,195.13,23,0.036076662,-0.060714728,1.03607402,1.215586424,0.993043619,1.490870204,17.32440397,0.189788167,4.741816277,1,1,6,5.777777778
LMST03020013_4-5,194.026,24,0.01370145,0.012430552,0.86627722,1.204511737,0.993043612,1.501769225,18.23265226,0.182652645,4.738214112,1,1,7,6.111111111
LMST03020322_2-3,211.887,29,0.003371698,-0.031430179,1.04642105,1.238172528,0.991758548,1.369783537,21.68621129,0.171060477,5.107586869,1,0,8,6.902777778
LMST03020322_4-5,217.152,29,0.032691487,-0.013065008,0.948616601,1.238172528,0.991758582,1.399536371,21.68621129,0.170857668,5.107586869,1,0,8,6.902777778
LMST03020330_4-5,221.914,29,0.048613906,0.013975196,1.049208508,1.317934667,0.991702871,1.419793844,22.19965223,0.170998482,5.154568022,1,0,8,7.027777778
LMST03020339_4-5,219.928,29,0.076944642,0.004699533,1.056954844,1.273378882,0.991745166,1.419793844,21.94572431,0.170998482,5.154568022,1,0,8,7.027777778
LMST03020340_4-5,216.895,29,0.042972302,-0.00154238,1.070862144,1.273378882,0.991756332,1.435442002,21.94572431,0.170945796,5.154568022,1,0,8,6.986111111
LMST03020341_4-5,216.849,29,0.042972302,-0.00154238,1.070862144,1.273378882,0.991756332,1.435442002,21.94572431,0.170945796,5.154568022,1,0,8,6.986111111
LMST03030001_0-1,232.419,29,0.141001931,0.026685579,1.276331897,1.291111036,0.988059336,1.35075406,21.42154061,0.176690263,5.223138992,0,0,8,6.625
LMST03040002_0-1,239.332,30,0.142380225,0.048536334,1.320042032,1.297950999,0.987225151,1.348455749,22.12864739,0.173969505,5.281304562,0,0,8,6.958333333
LMST03050001_0-1,231.991,30,0.146836509,0.038783343,1.326566724,1.264517216,0.987225176,1.348455749,21.86913437,0.173969505,5.236579602,0,0,8,6.958333333
LMST03060001_7-8,228.548,29,0.084885828,-0.016190783,1.067073661,1.291111036,0.988060048,1.400900665,21.42154061,0.176623908,5.223138992,0,0,8,6.611111111
LMST04010142_21-22,196.199,25,0.047567992,-0.005234429,0.712790527,1.260188016,0.993043435,1.438169663,18.67508836,0.185385424,4.92248195,1,1,7,5.8125
LMST04010214_15-16,210.853,25,0.102155537,-0.021719784,0.935296526,1.240537473,0.993043452,1.407913059,19.31000253,0.179150371,4.869079674,1,0,7,6.201388889
LMST04010218_24-25,208.346,25,0.051945488,-0.030833277,0.787322079,1.240537473,0.993043446,1.433827782,19.31000253,0.179074943,4.869079674,1,0,7,6.1875
LMST04010220_12-13,207.813,25,0.044822362,-0.060702118,0.777220427,1.240537473,0.993041321,1.44668551,19.25759629,0.179031806,4.869079674,1,0,7,6.180555556
LMST04010227_14-15,207.598,25,0.054908377,-0.03224941,0.765525448,1.230910751,0.993043446,1.473987992,19.62745961,0.176161296,4.851827082,1,0,7,6.395833333
LMST04010235_14-15,207.916,25,0.088795998,-0.0202288,0.939937256,1.19919303,0.993043457,1.373311892,18.61671685,0.182192437,4.780187131,1,1,7,5.993055556
LMST04010466_19-20,231.709,28,0.116335577,-0.070221552,0.886671664,1.262232056,0.993048627,1.441646178,21.50497859,0.168158968,4.852604082,1,0,8,7.194444444
LMST04020042_12-13,212.972,27,0.051327445,0.014182525,0.873551724,1.268213048,0.993032697,1.344244468,20.56989572,0.176302687,5.02884026,1,0,8,6.409722222
LMST04030105_26-27,222.044,28,0.083267999,0.021531674,1.021699285,1.267469746,0.991703968,1.394360892,21.81000253,0.170778033,5.070174541,1,0,8,6.6875
LMST04030145_1-2,224.251,28,0.149398818,0.005865004,1.098526886,1.276241387,0.993035111,1.251325162,21.2770025,0.173893585,5.092987817,1,0,8,6.611111111
LMST04030214_11-12,234.347,31,0.087710169,0.002617161,1.022776107,1.273132219,0.993035827,1.390057618,23.79502075,0.161084368,5.097269719,0,0,8,7.8125
LMST04040011_23-24,245.18,31,0.123142841,0.005077987,0.999023217,1.31939705,0.992749069,1.245889982,24.21208537,0.161373908,5.097269719,0,0,9,7.777777778
LMST04050019_13-14,201.09,24,0.157902275,-0.05853854,0.882428608,1.241900651,0.993053288,1.427519279,18.16353798,0.185759157,4.701738868,1,1,7,5.854166667
LMST04050019_17-18,202.33,24,0.163176475,-0.062223784,0.864723618,1.241900651,0.99305109,1.419672924,18.16353798,0.185792016,4.701738868,1,1,7,5.847222222
LMST04060012_0-1,200.996,24,0.105391459,0.027884027,0.763067618,1.252645553,0.993055229,1.459630808,18.349348,0.18571605,4.875304561,1,1,7,5.708333333
