,CCS,ATSC_ATSC8d,MATS_MATS3c,MATS_MATS5dv,GATS_GATS2c,GATS_GATS8dv,GATS_GATS7i,BCUT_BCUTdv-1l,BaryszMatrix_SpDiam_Dzare,Chi_Xp-1dv,ZModifiedIC_ZMIC3,GhoseFilter_GhoseFilter,MolecularDistanceEdge_MDEC-23,MolecularId_MID_C,MolecularId_MID_N,MolecularId_AMID_N,Diameter_Diameter,Radius_Radius
LMST04010227_14-15,207.598,1.116719835,0.054908377,-0.009866125,0.679419619,1.02679975,0.915479711,0.993043446,226.372767,12.75747716,24.74431479,0,21.67424713,52.22828858,2.136595268,0.068922428,14,7
LMST04010230_2-3,206.487,8.62037037,0.124893661,-0.004538291,0.701190846,0.980066344,1.032110821,0.993062523,226.8362617,12.69200141,26.59095747,0,23.07410378,52.23925611,2.075400246,0.069180008,14,7
LMST04010235_14-15,207.916,-6.967030519,0.088795998,0.013605442,0.709286664,1.227119594,1.035094024,0.993043457,212.7948008,12.10448829,23.8713194,1,22.56008703,52.15549009,2.134815,0.07361431,14,7
LMST04010466_19-20,231.709,-8.130021914,0.116335577,-0.016726506,0.95677844,1.093755059,1.068284653,0.993048627,250.1279913,13.22880954,24.29124354,0,25.47503893,58.02651581,2.105206411,0.061917836,15,8
LMST04010466_4-5,230.831,4.96274653,0.138346361,-0.016014079,0.987414737,1.042450894,1.064807938,0.993062523,255.4985622,13.22880954,24.9738576,0,24.38974176,58.01339305,2.08469587,0.061314584,15,8
LMST04020042_12-13,212.972,-7.710237814,0.051327445,0.015090244,0.676991231,0.876398422,0.938208611,0.993032697,255.4765892,13.46825957,25.6302386,0,23.80412067,55.99243888,2.143454076,0.06914368,15,8
LMST04030105_26-27,222.044,-16.56058528,0.083267999,-0.008841839,0.799522313,0.924553349,0.994362904,0.991703968,274.5019271,13.89992517,26.80282362,0,21.59401786,57.70879163,2.132243255,0.064613432,15,8
LMST04030145_1-2,224.251,-13.25,0.149398818,0.009697077,0.753543464,0.975586587,1.076401846,0.993035111,290.0244849,13.9456042,28.81338673,0,25.90746112,58.02482592,2.075812531,0.064869142,16,8
LMST04030174_16-17,226.053,-9.104699584,0.104776011,-0.008594594,0.843771941,0.990831326,0.983175811,0.988232319,263.6025236,14.02910496,28.92086907,0,23.08601779,57.659045,2.136787984,0.066774625,15,8
LMST04030214_11-12,234.347,-19.03114187,0.087710169,0.01805248,0.791805038,1.032647355,1.022641094,0.993035827,317.970025,14.98378705,26.10517914,0,28.93892138,64.05004669,2.135491413,0.057715984,16,8
LMST04030214_15-16,228.363,-17.34948097,0.090838364,0.001756094,0.78364826,1.014636064,1.014692613,0.993035771,317.9780266,15.02844525,25.73330967,0,30.83898597,64.09751129,2.105298888,0.05689997,16,8
LMST04040011_23-24,245.18,-11.42948097,0.123142841,-0.114288617,1.080176943,1.016691962,0.945940756,0.992749069,318.4167059,14.99886515,24.68617319,0,22.77066085,64.29899923,2.104897805,0.05688913,17,9
LMST04050019_13-14,201.09,-2.33984375,0.157902275,0.00210461,1.020553158,0.895544016,1.080167583,0.993053288,191.0041161,11.53016409,24.10432324,1,19.47820433,49.96041951,2.134797959,0.076242784,13,7
LMST04050019_17-18,202.33,-0.44140625,0.163176475,-0.020112928,1.007383789,0.86483965,1.061031591,0.99305109,191.1187893,11.57482228,23.33778184,1,21.50966885,50.00764815,2.104686402,0.075167372,13,7
LMST04060012_0-1,200.996,4.078367347,0.105391459,0.003362836,0.774217481,0.801109684,0.927292043,0.993055229,188.6869932,12.21695747,24.53738184,1,23.26987397,49.93217932,2.01631516,0.072011256,13,7
