,CCS,ATSC_ATSC8d,MATS_MATS3c,MATS_MATS5dv,GATS_GATS2c,GATS_GATS8dv,GATS_GATS7i,BCUT_BCUTdv-1l,BaryszMatrix_SpDiam_Dzare,Chi_Xp-1dv,ZModifiedIC_ZMIC3,GhoseFilter_GhoseFilter,MolecularDistanceEdge_MDEC-23,MolecularId_MID_C,MolecularId_MID_N,MolecularId_AMID_N,Diameter_Diameter,Radius_Radius
LMST01031049_14-15,216.932,-6.688362919,0.095227406,-0.00996299,0.93893694,0.829171574,0.968225806,0.987498523,232.1207266,13.55071198,24.10491432,0,23.91157779,57.53214677,2.143452428,0.071448414,15,8
LMST01031081_0-1,230.666,-17.02728988,0.147540363,0.039421587,0.907190045,1.005273424,1.048263742,0.988241245,268.820951,14.29634724,30.22060799,0,25.6488282,59.47796738,2.04838646,0.066076983,15,8
LMST01031101_14-15,228.785,-14.41259414,0.10746741,0.012676385,0.888598857,0.930495337,0.989737819,0.988239539,267.4359599,13.68280733,25.05980842,0,23.11233922,59.43843495,2.132885978,0.064632908,14,7
LMST01031169_16-17,237.735,-12.95809685,0.078887879,0.01153071,0.842465547,1.01672451,1.025377478,0.987944412,300.9474602,15.44992896,31.70265328,0,21.17377178,63.52500534,2.087179143,0.056410247,15,8
LMST01031221_1-10,231.144,-19.49975309,0.080731146,-0.020981555,0.830658121,0.968327925,1.069537336,0.987965301,297.3984063,14.98210776,27.95088369,0,18.20107302,61.33696687,2.123090039,0.058974723,15,8
LMST01031229_22-23,254.766,-30.91026487,0.121744732,-0.021621512,0.941996952,0.977388604,1.031751878,0.991472698,360.7668309,17.52521875,28.75716656,0,27.89240217,72.52126782,2.15734841,0.047941076,15,8
LMST01031248_0-1,232.358,-14.09868512,0.132239836,-0.029492898,0.829653987,0.924568042,1.065839933,0.988142377,277.6235865,14.49700322,27.52532293,0,22.20935282,61.25345765,2.048351862,0.062071269,15,8
LMST01031264_0-1,233.96,-14.25,0.164721425,0.048510386,0.870691348,0.984004196,1.032562369,0.988242245,271.5392592,13.92203808,27.63322662,0,21.90343742,59.41691519,2.048367208,0.064011475,15,8
LMST01031264_17-18,229.329,-13.75,0.174468492,-0.013015272,0.924658055,0.971343212,0.979572829,0.988238488,266.0118333,13.89178132,26.44582277,0,22.99778438,59.34937215,2.102316095,0.065697378,15,8
LMST01040122_13-14,232.288,-15.90914008,0.097077973,0.010012042,0.940599126,0.934002915,1.016234138,0.98722515,275.902494,14.77789216,28.04188139,0,25.45190995,61.37448566,2.143463325,0.066983229,15,8
LMST01040133_11-12,229.629,-6.257977285,0.104380868,-0.039100722,0.941185441,0.95685314,0.942545584,0.98722515,269.0709432,14.7819458,27.86234189,0,24.92512789,61.35219736,2.158142136,0.067441942,15,8
LMST01040142_13-14,229.178,-16.0861678,0.098228674,0.011130416,0.944128366,0.926645208,1.016030529,0.987228647,267.4137246,14.4672142,25.77903084,0,25.45190995,61.37448566,2.143463325,0.066983229,15,8
LMST01040142_2-3,230.907,-11.66666667,0.134453897,0.043412302,0.935980828,0.941218162,1.031486151,0.987228641,274.4335403,14.4672142,25.63268893,0,26.04441894,61.39357491,2.09606128,0.065501915,15,8
LMST01040148_10-11,235.454,-13.22812776,0.138729515,-0.013325933,0.973872513,0.93937047,1.031927368,0.987225149,279.8592136,15.18939275,28.94182626,0,21.0793993,63.181896,2.173009135,0.065848762,15,8
LMST01040150_3-4,230.279,-9.883474309,0.149396538,-0.025959296,0.930444889,0.940741669,1.001657356,0.987225176,288.8541896,15.23826904,30.14876561,0,26.4752931,63.25590627,2.094827583,0.063479624,15,8
LMST01040242_11-12,234.78,-8.088246434,0.122475106,-0.039634526,0.946549977,0.961597474,0.973950524,0.987225149,282.1109917,15.20946616,29.23287046,0,24.65148468,63.19853336,2.157805061,0.065388032,15,8
LMST01040270_15-16,232.393,-15.53719008,0.085061092,-0.019044148,0.834088956,0.912677305,0.988211359,0.98722515,288.9315247,14.93316457,26.23797121,0,21.95636313,61.41291533,2.13676145,0.062845925,15,8
LMST01040272_21-22,250.032,0.504691358,0.133090021,-0.042332656,0.875846962,0.904074686,0.897006552,0.991799793,375.0459484,15.43346661,30.23425328,0,15.99294684,62.57666476,2.145717724,0.051088517,16,8
LMST01050016_4-5,230.32,-11.85485537,0.120594801,-0.065994414,0.946558334,0.954687057,1.002175122,0.988640108,297.7947328,14.8335685,28.2262593,0,24.10102045,65.01411712,2.096663039,0.06166656,15,8
LMST01060005_11-12,219.483,-4.160493827,0.089083804,-0.02534014,0.945204269,0.80646813,1.098845786,0.988140307,246.8828278,13.89651733,24.90756683,0,24.12090012,59.36130287,2.143449772,0.069143541,15,8
LMST01060021_11-12,238.463,-11.35556787,0.106203155,0.015254688,0.886446354,1.006181862,1.0088779,0.987905652,315.0670082,16.2999346,29.71005609,0,19.72861015,67.51609537,2.136924342,0.054792932,15,8
LMST01070025_12-13,216.36,0.640411537,0.113044991,-0.058080095,0.960834568,0.940771113,0.923511186,0.988233874,229.5269422,13.57564392,25.51461793,0,19.78442022,56.35670423,2.144064452,0.069163369,14,7
LMST01080011_8-9,220.71,3.996474924,0.08877965,-0.008800958,0.95022967,0.873458659,1.03057333,0.993030192,248.7785808,14.25157326,25.4317161,0,23.20289289,59.18139009,2.144185653,0.064975323,15,8
LMST01080039_14-15,225.051,4.36875,0.044798934,-0.001040626,0.901974898,0.918310085,1.026976602,0.993040073,262.4584006,14.34310548,25.57681052,0,23.00846116,59.26255617,2.144186796,0.063064318,15,8
LMST01080045_13-14,216.447,3.708086785,0.063396794,-0.020392044,1.003282469,0.904878703,1.027279818,0.993030192,237.2770297,14.16004103,24.37465913,0,23.26786027,59.10305628,2.144163728,0.067005116,15,8
LMST01090001_8-9,218.092,4.659830155,0.075893165,-0.014806451,0.93549064,0.900003889,0.946296607,0.993053281,249.0209057,14.20497774,24.16619033,0,21.00115274,59.10291227,2.144157304,0.064974464,15,8
LMST01100001_0-1,238.848,-31.92740741,0.190046335,0.021654603,0.899507914,1.088755092,0.936394564,0.987970302,299.3879895,15.48825124,32.67667323,0,18.03661324,65.36491322,2.048320664,0.060244725,15,8
LMST01100011_0-1,237.631,-28.2457392,0.174118906,0.031158225,0.899926926,1.060526482,0.945110582,0.988143815,285.9220123,15.15491791,29.77559697,0,20.59926957,63.59219531,2.048321055,0.062070335,15,8
LMST01100056_0-1,259.498,-19.01991852,0.044717315,0.04428804,0.753613177,1.084400119,1.030496732,0.993028368,363.1731567,16.30145932,27.6660748,0,22.69763564,68.0807818,2.018283589,0.05045709,16,8
LMST01110005_12-13,229.542,-6.744794765,0.099262154,-0.003629155,0.941800454,0.874043167,1.028634283,0.988159231,267.6895039,14.43519246,26.94256241,0,24.18207725,61.75706387,2.143468335,0.066983385,15,8
LMST01120001_17-18,201.635,1.668077523,0.147590184,0.020158525,0.905148691,0.860734571,0.877780638,0.993459013,200.9174368,12.25409872,25.33153883,1,19.65051312,50.75431248,2.12376939,0.073233427,13,7
LMST01120002_18-19,206.086,3.263810124,0.078887914,-0.00298609,0.842984191,0.890785234,0.845033061,0.99345978,210.9038157,12.44719987,24.61105987,0,19.87524924,50.86056534,2.122614625,0.06847144,13,7
LMST01120004_22-23,202.203,5.101928375,0.134636895,5.67e-06,0.891921317,0.959629163,0.871096258,0.993591378,209.1529347,12.27847612,24.77961852,1,21.32367023,51.034009,2.123837681,0.070794589,13,7
LMST01120008_18-19,200.324,3.948096886,0.121175016,0.009656135,0.870355551,0.802991795,0.862255056,0.993459773,205.0693326,12.35566765,25.26006638,1,20.21618304,50.79880903,2.123446546,0.070781552,13,7
LMST01120027_14-15,201.095,-7.200302343,0.040660449,0.028461585,0.858124197,0.894051842,0.974425806,0.993462331,191.860678,12.01203685,24.57102008,1,16.65213786,50.97395414,2.147134173,0.074039109,13,7
LMST01130002_30-31,217.276,12.12037037,0.121564207,0.013746116,0.806469499,0.952771374,0.953949473,0.99338551,233.0168251,13.10347066,25.04108264,0,19.89597571,56.74040724,2.136963659,0.062851872,14,7
LMST01130003_6-7,207.738,-1.1184573,0.125169997,0.071649485,0.811662407,1.070266873,0.981851107,0.993462347,206.7354024,12.18172278,23.99521461,1,20.93412291,52.82243522,2.134235749,0.071141192,14,7
LMST01150004_13-14,220.33,3.210703413,0.055083311,-0.01794863,0.965257437,0.921154914,1.013259477,0.993030173,239.0959488,14.27079514,24.14731036,0,23.26786027,59.10305628,4.185973819,0.130811682,15,8
LMST01160004_1-2,232.091,-9.568055321,0.156807507,-0.00731965,1.023794117,1.03094741,1.041598531,0.993033651,272.1949006,13.91584292,24.75750111,0,24.84298445,60.37713533,2.084460915,0.063165482,15,8
LMST01160004_17-18,227.79,-8.244729297,0.148123165,-0.011365289,0.967052711,1.047769972,1.007444887,0.993050842,272.0162754,13.96050111,26.29694063,0,24.27972746,60.36476943,2.134851139,0.064692459,15,8
LMST01160005_14-15,221.902,-6.934258583,0.162566541,-0.007943359,0.985363602,1.033334103,1.051595381,0.993042177,253.4597288,13.58479824,25.13210692,0,25.25933656,58.52151089,2.134851254,0.066714102,15,8
LMST01160007_14-15,222.857,-6.503462604,0.148294106,0.004828959,0.974873923,1.00973277,1.055021024,0.993042177,256.9776522,13.88122142,25.85988648,0,25.25933656,58.52151089,2.134851254,0.066714102,15,8
LMST01160023_1-2,227.16,-18.67060213,0.179592704,-0.019016963,0.968263893,1.037036322,1.033919867,0.993033652,277.0258082,13.79571354,23.88808622,0,21.09096076,60.39478586,2.084388174,0.059553948,14,7
LMST02010024_5-6,167.466,2.5625,0.084952732,-0.008029307,0.725688431,1.216885553,0.701894815,0.993592159,107.2356466,8.991349047,20.5143487,1,19.89235247,40.29488324,2.158437805,0.098110809,10,5
LMST02020005_7-8,174.537,8.805170822,0.089899172,0.029604091,0.828886434,0.855984056,0.962659464,0.993462312,124.8862819,10.20552193,22.45139335,1,16.8566748,42.06618618,2.142851685,0.093167465,10,5
LMST02020010_3-4,184.252,-4.495834453,0.170563352,-0.003606912,0.89289796,0.929444026,0.858561341,0.993042588,142.4729606,10.85165231,22.64573064,1,14.11053538,45.71089314,2.132138758,0.08528555,10,5
LMST02020012_8-9,177.046,0.426666667,0.085456439,0.049625264,0.809559373,0.975002046,0.95315418,0.993394816,135.3280571,10.5775598,22.26850784,1,14.46893317,43.88201876,2.142847112,0.089285296,10,5
LMST02020103_7-8,174.853,10.40661157,0.093640366,0.032929699,0.874084857,1.021399191,0.938340481,0.993462585,123.9759467,10.05807715,20.60927623,1,16.8566748,42.06618618,2.142851685,0.093167465,10,5
LMST02030089_10-11,187.856,-6.397502601,0.122709792,0.00409572,0.868578295,0.993345967,0.953474472,0.993385481,157.98804,11.03168395,23.09380662,1,16.02250477,45.997885,2.143141348,0.082428513,11,6
