,CCS,ATSC_ATSC2i,ATSC_ATSC7i,AATSC_AATSC1p,GATS_GATS2c,GATS_GATS8d,BCUT_BCUTdv-1l,BalabanJ_BalabanJ,BaryszMatrix_VE2_Dzv,BaryszMatrix_VE2_Dzp,AtomTypeEState_NsCH3,GhoseFilter_GhoseFilter,PEOE_VSA_PEOE_VSA7,MolecularId_MID_C,MolecularId_AMID_N,TopologicalCharge_GGI7,Radius_Radius
LMST02030178_25-26,196.521,27.18082744,-26.05870736,0.030547473,0.90224095,0.80868485,0.993055279,1.562224853,0.182640033,0.182016336,4,0,50.51885589,48.11978584,0.07346511,0.720521542,6
LMST02030215_0-1,225.271,24.49391663,-16.18494195,-9.67e-05,0.909828407,0.870279437,0.99331838,1.412983141,0.175588544,0.174705032,5,0,79.95027206,53.98364661,0.065601461,0.773455215,7
LMST02030251_5-6,187.098,29.88932368,-30.6698004,0.037194609,0.763067653,0.75405717,0.993053846,1.596718526,0.185240428,0.184472651,4,1,37.33241113,46.16408189,0.076619787,0.605052438,6
LMST02030251_7-8,186.821,25.73737116,-4.595256729,0.037194609,0.821807303,0.657346176,0.993056003,1.641230093,0.185233009,0.184498328,4,1,44.60094984,46.09951688,0.07746245,0.49914966,6
LMST02030271_9-10,192.337,23.32451423,-11.01353628,0.034953286,0.837147841,0.927489635,0.993462481,1.527838296,0.185657156,0.184968391,3,0,49.85782625,46.28761737,0.076227431,0.658021542,6
LMST03010031_7-8,215.391,17.27901931,1.344338761,0.016064666,0.854554239,1.103557235,0.991503029,1.396863295,0.173808301,0.173498875,6,0,93.611059,58.65083728,0.066599996,0.881129535,8
LMST03010041_4-5,217.259,17.39016636,2.911214413,0.019703993,0.820486324,1.009923664,0.991503065,1.440876171,0.171105025,0.170740402,6,0,80.42461424,58.72218537,0.065012901,0.902813209,8
LMST03020001_0-1,228.419,16.77353002,-17.14973169,0.012546134,0.941736869,1.307471264,0.988299645,1.346706196,0.178947308,0.178735987,5,0,73.18464892,56.84008192,0.069135374,0.662344104,8
LMST03020001_7-8,222.687,12.65198386,-5.553536934,0.012546134,0.948948934,1.080738217,0.98830072,1.399249357,0.179092326,0.178928245,5,0,85.68149065,56.72817171,0.071040002,0.693629535,8
LMST03020004_0-1,189.961,17.29255367,-1.500104261,0.025930685,0.903336178,1.359577372,0.993582256,1.426400868,0.189108623,0.188410225,2,1,43.43700463,45.62963765,0.076740924,0.552969104,6
LMST03020007_2-3,190.112,14.73965471,5.246170436,0.02016838,0.843653294,1.038023743,0.993050875,1.490870204,0.189490482,0.188999604,3,1,55.43093078,47.26995,0.078933995,0.584254535,6
LMST03020009_4-5,190.268,16.27406488,9.522580505,0.019905773,0.867119491,0.790413969,0.988485106,1.526054499,0.193100284,0.192655366,4,1,66.57713984,46.96383338,0.08248401,0.443594104,6
LMST03020011_2-3,195.13,16.47770996,7.356196549,0.024327978,0.832773992,1.03607402,0.993043619,1.490870204,0.189239589,0.188609901,3,1,61.34883683,47.26995,0.078933995,0.584254535,6
LMST03020013_2-3,196.711,13.17017884,9.971067923,0.023677545,0.677763195,0.994178922,0.993043615,1.468695346,0.182504723,0.181927328,3,1,61.34883683,49.42984113,0.07349215,0.65369898,7
LMST03020013_4-5,194.026,13.17017884,10.97577361,0.023677545,0.678352556,0.86627722,0.993043612,1.501769225,0.182454718,0.18188286,3,1,66.57713984,49.41556058,0.073975512,0.581632653,7
LMST03020322_2-3,211.887,11.92325367,6.508801403,0.019703993,0.812538956,1.04642105,0.991758548,1.369783537,0.170834138,0.170485143,5,0,88.03795447,58.90760054,0.064585024,0.734445862,8
LMST03020322_4-5,217.152,11.92325367,6.114796994,0.019703993,0.814745085,0.948616601,0.991758582,1.399536371,0.170788449,0.170447202,5,0,93.26625749,58.89317241,0.065013645,0.693629535,8
LMST03020330_2-3,233.782,20.49169204,0.4494736,0.009070131,0.967763859,1.154038103,0.991702843,1.389170166,0.170747241,0.170124848,6,0,81.61713285,58.73964735,0.064584973,0.871563209,8
LMST03020330_4-5,221.914,20.49169204,1.076163461,0.009070131,0.972372147,1.049208508,0.991702871,1.419793844,0.170703301,0.170087823,6,0,86.84543587,58.72522628,0.065013399,0.830746882,8
LMST03020336_4-5,218.832,16.38158627,8.581092321,0.015725763,0.840089389,1.045101967,0.991642385,1.43459226,0.173504478,0.17324364,6,0,99.18416353,58.65518598,0.067044634,0.830746882,8
LMST03020339_4-5,219.928,22.05930041,-8.381741481,0.019195522,0.843476697,1.056954844,0.991745166,1.419793844,0.170839171,0.170482743,5,0,78.41295194,58.86541955,0.065013399,0.830746882,8
LMST03020341_4-5,216.849,16.54654375,7.557468834,0.019195522,0.815130681,1.070862144,0.991756332,1.435442002,0.170740332,0.170390792,5,0,93.26625749,58.93043088,0.065030453,0.902813209,8
LMST03030001_0-1,232.419,20.43947148,-6.070459226,0.012116112,0.938260805,1.276331897,0.988059336,1.35075406,0.176273709,0.176065643,6,0,79.10255497,58.66536061,0.066905198,0.734410431,8
LMST03030001_9-10,218.576,16.32205651,7.165193777,0.012116112,0.949789157,0.964179433,0.988060061,1.437663,0.176362589,0.176215954,6,0,85.68149065,58.53644737,0.06920657,0.724879535,8
LMST03040002_0-1,239.332,18.63699883,-12.04275387,0.011714594,0.943169317,1.320042032,0.987225151,1.348455749,0.17360266,0.173405348,6,0,85.52337659,60.67570157,0.064814449,0.765660431,8
LMST03050001_0-1,231.991,19.60222385,-15.49382135,0.011861996,0.948967203,1.326566724,0.987225176,1.348455749,0.17367748,0.173463978,6,0,85.52337659,60.67570157,0.064814449,0.765660431,8
LMST03050001_9-10,223.817,15.44167232,-2.951075884,0.011861996,0.960144936,1.003954146,0.987225176,1.431921439,0.173761251,0.173608388,6,0,92.10231227,60.54675267,0.067045021,0.756129535,8
LMST03060001_7-8,228.548,16.32205651,5.492837074,0.012116112,0.945487253,1.067073661,0.988060048,1.400900665,0.176406699,0.176243223,6,0,91.5993967,58.55345066,0.068748376,0.765695862,8
LMST04010142_21-22,196.199,20.51888822,-3.776725869,0.019164177,0.684624261,0.712790527,0.993043435,1.438169663,0.185357622,0.184984714,4,1,74.03236601,52.06573297,0.076880604,0.506164966,7
LMST04010144_9-10,193.39,20.51888822,-30.55933375,0.019164177,0.679756484,0.705356621,0.993043551,1.437196556,0.185279528,0.184908297,4,1,74.03236601,52.08483597,0.076801103,0.59123441,7
LMST04010214_15-16,210.853,21.22687068,-21.86621724,0.027140904,0.723163862,0.935296526,0.993043452,1.407913059,0.178946156,0.178401476,4,0,86.37109368,52.19636202,0.071029883,0.727501417,7
LMST04010218_24-25,208.346,21.22687068,-5.340599343,0.027140904,0.685332335,0.787322079,0.993043446,1.433827782,0.178911544,0.178381077,4,0,79.95027206,52.18276651,0.071225998,0.656356293,7
LMST04010220_12-13,207.813,23.41457055,-24.60872604,0.027140904,0.642793785,0.777220427,0.993041321,1.44668551,0.178881496,0.178355223,4,0,79.44735648,52.22601906,0.071063662,0.77788407,7
LMST04010230_2-3,206.487,23.41457055,-30.60067028,0.027140904,0.701190846,0.750447179,0.993062523,1.39234853,0.179177141,0.178659494,4,0,91.78608415,52.23925611,0.069180008,0.708404195,7
LMST04010235_14-15,207.916,21.11810776,-24.75512781,0.019341201,0.709286664,0.939937256,0.993043457,1.373311892,0.182104264,0.181645555,4,1,79.60547054,52.15549009,0.07361431,0.665001417,7
LMST04010466_19-20,231.709,34.06803601,-39.24927721,-0.000561482,0.95677844,0.886671664,0.993048627,1.441646178,0.168047957,0.167188509,6,0,74.69339565,58.02651581,0.061917836,1.002692744,8
LMST04010466_4-5,230.831,34.06803601,-40.4174813,-0.000561482,0.987414737,0.786477731,0.993062523,1.437670629,0.168236293,0.167413192,6,0,67.92777251,58.01339305,0.061314584,0.955817744,8
LMST04020042_12-13,212.972,22.76829765,4.281599443,0.021571101,0.676991231,0.873551724,0.993032697,1.344244468,0.176139052,0.175688651,5,0,86.37109368,55.99243888,0.06914368,0.740539966,8
LMST04030105_26-27,222.044,23.0360205,-15.71446238,0.024296918,0.799522313,1.021699285,0.991703968,1.394360892,0.170695635,0.170422571,6,0,80.95610321,57.70879163,0.064613432,0.914080215,8
LMST04030174_16-17,226.053,22.81230892,-9.75598004,0.02407501,0.843771941,0.906292483,0.988232319,1.382734737,0.173323553,0.172992368,6,0,92.28899973,57.659045,0.066774625,0.771789966,8
LMST04030214_11-12,234.347,24.65106348,-17.14643007,0.009553341,0.791805038,1.022776107,0.993035827,1.390057618,0.160979824,0.160424236,6,0,86.02629217,64.05004669,0.057715984,1.285678855,8
LMST04030214_15-16,228.363,28.80414421,-17.78800656,0.009553341,0.78364826,1.017833184,0.993035771,1.386675411,0.160975521,0.16042161,6,0,92.44711379,64.09751129,0.05689997,1.223178855,8
LMST04040011_23-24,245.18,46.48930312,-6.209700261,-0.001918725,1.080176943,0.999023217,0.992749069,1.245889982,0.161257836,0.160692293,8,0,80.10838612,64.29899923,0.05688913,1.182362528,9
LMST04050019_13-14,201.09,32.94170344,-30.34604828,0.007304136,1.020553158,0.882428608,0.993053288,1.427519279,0.185423557,0.184494951,5,1,74.19048008,49.96041951,0.076242784,0.611146542,7
LMST04050019_17-18,202.33,37.14316381,-30.77174674,0.007304136,1.007383789,0.864723618,0.99305109,1.419672924,0.185414601,0.18448873,5,1,80.6113017,50.00764815,0.075167372,0.579896542,7
LMST04060012_0-1,200.996,28.971645,-9.0682009,0.027941723,0.774217481,0.763067618,0.993055229,1.459630808,0.185306752,0.184806256,4,1,85.36526253,49.93217932,0.072011256,0.507830215,7
