PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
22740,13.34201,13.42329,13.45035,0.8889241,0.8975798,0.9076692,187.5918,313.7597,1795.5,621.3996,35.91,
22741,13.3041,13.42329,13.54254,-1.0,-1.0,-1.0,-1.0,644.4056,2267.0,3927.938,4.280344,
22742,13.3041,13.42329,13.54254,1.008048,1.016608,1.026587,207.9526,644.4056,1681.75,575.6329,33.635,
22743,13.3041,13.42329,13.54254,1.183587,1.192008,1.201824,243.8315,644.4056,841.0,283.1755,16.82,
22744,13.3041,13.42329,13.54254,1.231218,1.239602,1.249374,253.5671,644.4056,500.0,167.6045,10.0,
22745,13.34744,13.42329,13.50457,-1.0,-1.0,-1.0,-1.0,653.9435,1863.75,2422.233,4.036292,
22746,13.34744,13.42329,13.50457,1.037979,1.046516,1.056467,214.0053,653.9435,1863.75,636.1452,37.275,
22747,13.38005,13.42329,13.47203,-1.0,-1.0,-1.0,-1.0,679.999,1977.25,2569.744,5.802526,
22748,13.38005,13.42329,13.47203,1.363184,1.371464,1.378359,280.2342,679.999,1977.25,654.586,39.545,
22749,13.38005,13.42329,13.47203,1.378359,1.383872,1.392135,282.7694,679.999,250.0,82.66747,5.0,
22750,13.36916,13.42329,13.45579,-1.0,-1.0,-1.0,-1.0,712.1989,20255.5,60357.73,42.18193,
22751,13.36916,13.42329,13.45579,0.7670123,0.7757659,0.7845125,158.3721,712.1989,2841.0,994.3643,56.82,
22752,13.36916,13.42329,13.45579,0.9076692,0.9163099,0.9249436,187.064,712.1989,2500.0,863.716,50.0,
22753,13.36916,13.42329,13.45579,1.145609,1.169537,1.193411,238.7601,712.1989,22255.63,19748.8,445.1125,35998_36029_36052
22754,13.35828,13.42329,13.47748,-1.0,-1.0,-1.0,-1.0,783.1204,1818.25,2363.098,2.981477,
22755,13.35828,13.42329,13.47748,0.9335704,0.9421902,0.9522381,192.0176,783.1204,1818.25,626.6745,36.365,
22756,13.36916,13.42329,13.4666,-1.0,-1.0,-1.0,-1.0,1017.965,1091.0,1417.924,1.416798,
22757,13.36916,13.42329,13.4666,0.8918101,0.9004635,0.9105502,182.7812,1017.965,1113.75,385.3511,22.275,
22758,13.36916,13.42329,13.4666,1.321688,1.330001,1.33969,269.971,1017.965,1431.75,475.8534,28.635,
22759,13.36916,13.42329,13.4666,1.682692,1.690723,1.700085,343.1925,1017.965,1091.0,350.3433,21.82,
22760,13.34201,13.42329,13.50997,-1.0,-1.0,-1.0,-1.0,1028.22,1841.0,2392.666,3.741277,
22761,13.34201,13.42329,13.50997,1.12304,1.131509,1.141382,229.6495,1028.22,1841.0,623.4108,36.82,
22762,13.34744,13.42329,13.50457,-1.0,-1.0,-1.0,-1.0,1147.443,1613.75,2097.319,3.205969,
22763,13.34744,13.42329,13.50457,1.592588,1.600689,1.610132,324.4254,1147.443,1613.75,522.7066,32.275,
22764,13.34201,13.42329,13.48843,-1.0,-1.0,-1.0,-1.0,1177.693,1977.25,2569.744,3.835508,
22765,13.34201,13.42329,13.48843,1.238205,1.246583,1.256349,252.5785,1177.693,1977.25,662.3449,39.545,
22766,13.34744,13.42329,13.50997,-1.0,-1.0,-1.0,-1.0,1211.359,3818.0,5583.533,8.012315,
22767,13.34744,13.42329,13.50997,1.168131,1.176564,1.186395,238.3145,1211.359,2386.25,804.6354,47.725,
22768,13.34744,13.42329,13.50997,1.392135,1.400392,1.410017,283.6511,1211.359,1909.0,630.2537,38.18,
22769,13.34744,13.42329,13.49915,-1.0,-1.0,-1.0,-1.0,1241.335,1795.5,2333.531,3.457838,
22770,13.34744,13.42329,13.49915,1.352135,1.360423,1.370085,275.4802,1241.335,1795.5,595.0325,35.91,
22771,13.34744,13.42329,13.50457,-1.0,-1.0,-1.0,-1.0,1258.689,2159.0,2805.956,4.48942,
