params,mean_score
"{'regressor__C': 105.4, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217058547693777
"{'regressor__C': 105.3, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217088130397563
"{'regressor__C': 105.2, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.21710525995517
"{'regressor__C': 105.1, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.2171295729510785
"{'regressor__C': 105.0, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217145963342078
"{'regressor__C': 104.9, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217157926333902
"{'regressor__C': 104.8, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217177908842785
"{'regressor__C': 104.7, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217190232264899
"{'regressor__C': 104.6, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217201187937178
"{'regressor__C': 104.5, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.2172114562965035
"{'regressor__C': 104.4, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217224678131654
"{'regressor__C': 104.3, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217235571927683
"{'regressor__C': 104.2, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.2172503306761016
"{'regressor__C': 104.1, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217265869597472
"{'regressor__C': 104.0, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217283005408874
"{'regressor__C': 103.9, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217299165616728
"{'regressor__C': 103.8, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217310490208547
"{'regressor__C': 103.7, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217324666364105
"{'regressor__C': 103.6, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217347926012117
"{'regressor__C': 103.5, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217361946301605
"{'regressor__C': 103.4, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217377972359138
"{'regressor__C': 103.3, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217398528259197
"{'regressor__C': 103.2, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.21742102118883
"{'regressor__C': 103.1, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.2174348546590155
"{'regressor__C': 103.0, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",-4.217461049634809
"{'regressor__C': 106.4, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221571137002116
"{'regressor__C': 106.2, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221572193578017
"{'regressor__C': 106.1, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.2215737595336975
"{'regressor__C': 106.3, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221574387503661
"{'regressor__C': 106.5, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221575919175362
"{'regressor__C': 106.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221578160749342
"{'regressor__C': 106.6, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221580230337609
"{'regressor__C': 105.9, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221581960943426
"{'regressor__C': 106.7, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221583909382984
"{'regressor__C': 106.8, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221587095641956
"{'regressor__C': 106.9, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221592708065061
"{'regressor__C': 105.7, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221596681061067
"{'regressor__C': 105.8, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221597808972401
"{'regressor__C': 105.6, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221604795814448
"{'regressor__C': 105.5, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.22160762525637
"{'regressor__C': 105.4, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221610690574545
"{'regressor__C': 105.3, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.2216205036086585
"{'regressor__C': 105.1, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.22162724184711
"{'regressor__C': 105.2, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221628298935036
"{'regressor__C': 105.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221638977558285
"{'regressor__C': 104.9, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221640511438104
"{'regressor__C': 104.7, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.22165003891002
"{'regressor__C': 104.8, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221650744742291
"{'regressor__C': 104.6, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221654503816202
"{'regressor__C': 104.5, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221661834976391
"{'regressor__C': 104.4, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221665103942389
"{'regressor__C': 104.3, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221665300299486
"{'regressor__C': 103.9, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221668109255171
"{'regressor__C': 104.1, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221668999797666
"{'regressor__C': 103.7, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221670240123702
"{'regressor__C': 103.6, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221672112065567
"{'regressor__C': 104.2, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.2216721404950235
"{'regressor__C': 103.5, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.22167258565465
"{'regressor__C': 103.8, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221674896457792
"{'regressor__C': 104.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.2216754852573555
"{'regressor__C': 103.4, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221682800555543
"{'regressor__C': 103.3, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221684973937151
"{'regressor__C': 103.2, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221685273924056
"{'regressor__C': 103.1, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221697899328536
"{'regressor__C': 103.0, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.221704009997551
"{'regressor__C': 103.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227202861185261
"{'regressor__C': 103.1, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.2272104028496535
"{'regressor__C': 103.4, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227217552638743
"{'regressor__C': 103.3, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.2272180607909995
"{'regressor__C': 103.5, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227219884226987
"{'regressor__C': 103.2, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227221654436722
"{'regressor__C': 103.6, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227224160608254
"{'regressor__C': 103.7, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227233045918377
"{'regressor__C': 103.8, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.2272345898860975
"{'regressor__C': 103.9, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.22723921401491
"{'regressor__C': 104.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227246630645862
"{'regressor__C': 104.1, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227255381966234
"{'regressor__C': 104.2, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227260092508536
"{'regressor__C': 104.3, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227273946071498
"{'regressor__C': 104.4, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227283289841754
"{'regressor__C': 104.5, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227298468753056
"{'regressor__C': 104.6, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.22731245546915
"{'regressor__C': 104.7, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227324668613505
"{'regressor__C': 104.8, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227336382036179
"{'regressor__C': 104.9, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227349102700654
"{'regressor__C': 105.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227368879847807
"{'regressor__C': 105.1, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227396354398777
"{'regressor__C': 105.2, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227406408612109
"{'regressor__C': 105.3, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227421333752807
"{'regressor__C': 105.4, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.2274310690790005
"{'regressor__C': 105.5, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227449534051974
"{'regressor__C': 105.6, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227467727808356
"{'regressor__C': 105.7, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227490529463627
"{'regressor__C': 105.8, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227517207850049
"{'regressor__C': 105.9, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227539124305678
"{'regressor__C': 106.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.2275602517348485
"{'regressor__C': 106.1, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227579635079585
"{'regressor__C': 106.2, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227599412470669
"{'regressor__C': 106.3, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227620923503299
"{'regressor__C': 106.4, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227649652999727
"{'regressor__C': 106.5, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227673262338465
"{'regressor__C': 106.6, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227690255290386
"{'regressor__C': 106.7, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.2277048268581305
"{'regressor__C': 106.8, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227725617846237
"{'regressor__C': 106.9, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",-4.227744006063711
