,observed,predicted,error
0,217.2,220.56271739800934,0.015482124300227218
1,218.8,220.6753693743446,0.008571158018028274
2,220.5,225.15792972109693,0.021124397828104012
3,219.9,219.78304721329414,0.0005318453238102145
4,231.2,234.17911201937983,0.012885432609774398
5,222.1,221.16658442221654,0.004202681574891714
6,210.4,218.61582787214024,0.03904861155960189
7,210.4,220.8554905931993,0.04969339635550998
8,216.8,218.5564702239567,0.00810179992599946
9,291.2,294.577554450097,0.011598744677530986
10,284.5,286.0427709562976,0.005422745013348338
11,291.2,294.5745509668668,0.01158843051808661
12,291.2,295.4767709289699,0.014686713354979184
13,224.4,228.7354819668953,0.019320329620745487
14,222.7,229.3240779008092,0.029744400093440496
15,225.1,228.78842518850723,0.016385718296344907
16,215.8,223.42757683240472,0.03534558309733417
17,176.0,173.1500172488145,0.01619308381355402
18,183.3,185.4610987731411,0.011789955118063706
19,219.8,221.60489254948186,0.008211522063156729
20,218.7,218.1760896383592,0.0023955663540959644
