,observed,predicted,error
0,217.2,220.55281983645878,0.015436555416476944
1,218.8,220.66765043944307,0.008535879522134615
2,220.5,225.13441481624497,0.02101775426868467
3,219.9,219.79059057464687,0.0004975417251165768
4,231.2,234.15954792605888,0.012800812828974432
5,222.1,221.15339542162693,0.0042620647382848684
6,210.4,218.61604708534006,0.039049653447433705
7,210.4,220.8416012564272,0.04962738239746763
8,216.8,218.55848532852494,0.008111094688768111
9,291.2,294.616676869393,0.011733093644893645
10,284.5,286.0624949868801,0.005492073767592608
11,291.2,294.62125795284373,0.011748825387512865
12,291.2,295.51096125294873,0.014804125181829476
13,224.4,228.71384383618667,0.019223903013309552
14,222.7,229.30000008650208,0.02963628238213782
15,225.1,228.76385347631376,0.016276559201749273
16,215.8,223.4665596382334,0.03552622631248097
17,176.0,173.17120319647913,0.016072709110914053
18,183.3,185.4757332069835,0.011869793818786112
19,219.8,221.58688521004794,0.008129596042074283
20,218.7,218.1522968561587,0.0025043582251545013
