Trial,rmse,r2,mae,percent_madae,percent_mae,best_parameter,best_train_score
0,5.389229854880017,0.9551866496743723,4.757852247286581,0.022442389278299307,0.021658340773652637,{'regressor__alpha': 1},7.215669662259257
1,3.6793896816948397,0.9683017294094571,3.0940064938330374,0.011672023379615887,0.014696701516991593,{'regressor__alpha': 0.1},8.793863414247054
2,15.275935535886545,0.3050693100407622,6.842806550330368,0.009683136885062924,0.031178796510977453,{'regressor__alpha': 1},5.651362139409806
3,7.44925436103531,0.8141139222026097,4.78927761605753,0.014253262489722446,0.020685470037169636,{'regressor__alpha': 0.1},5.8782459951373465
4,6.5274868867657,0.9299402703166165,5.482050347430868,0.020877770270246114,0.024673465858457425,{'regressor__alpha': 1},7.827792178689822
5,5.864023684032875,0.8823389707348133,5.540554443005109,0.024806775188872754,0.025746931813216786,{'regressor__alpha': 0.1},6.345778299657711
6,6.136376702522236,0.9045033905514867,4.673213762237521,0.017256445527243355,0.020746136956274502,{'regressor__alpha': 0.1},7.041251466971756
7,5.0517638996380345,0.9602804878260351,4.616869945003214,0.02076030738073689,0.021449142996890994,{'regressor__alpha': 1},9.418538389503365
8,5.077491531523508,0.9073800794388852,4.166259819013258,0.016517705235923563,0.019419056391858806,{'regressor__alpha': 0.1},6.052136272646902
9,10.635373374824416,0.6952258362095887,8.170271841630816,0.02809202739825993,0.03744153426872905,{'regressor__alpha': 0.001},9.073336974900956
10,4.514729629783138,0.9637439363070004,3.6272621723672693,0.015741338594721165,0.017493027497117484,{'regressor__alpha': 0.1},6.568161420904947
11,14.530567026648837,0.5833769815786206,8.38215999980632,0.027840927329700546,0.03376623571394096,{'regressor__alpha': 0.1},4.904744698417465
12,4.891517291131739,0.8535095861997475,3.7641895534177556,0.01150382494031704,0.01703074485839425,{'regressor__alpha': 0.1},6.220055481321305
13,5.665419162675043,0.8812432020796568,4.285142930792216,0.01951901796659576,0.018820723976655487,{'regressor__alpha': 1},6.670820526112978
14,9.527865172313213,0.7875171672128474,7.042443237379106,0.024881479658035874,0.03323079903165883,{'regressor__alpha': 0.001},8.52960976450817
15,4.693813713010613,0.8723606626761127,3.7371028499264916,0.013439580502918075,0.017387792767089048,{'regressor__alpha': 0.1},8.449011780227542
16,4.6002258866322405,0.9440216939736572,3.776972224238174,0.02150931345554144,0.016645813531790954,{'regressor__alpha': 1},10.07020559230222
17,5.184451889967257,0.8848369514617807,4.481649316629219,0.018475997175636,0.02049606994265639,{'regressor__alpha': 0.1},6.287281863014964
18,3.8265948595182735,0.9576643751603084,3.4235011114808436,0.01445483156701298,0.0160316497648756,{'regressor__alpha': 1},7.958452255616516
19,4.736943683241765,0.8873886728706099,4.079651334204573,0.020284498608778692,0.018836788731573864,{'regressor__alpha': 0.1},7.03880355739232
20,10.672847632831823,0.8237077091563054,6.463071346895208,0.016818810412878846,0.02604610032073235,{'regressor__alpha': 1},6.5430429432580794
21,8.420083462727925,0.580857285724788,6.492226769212159,0.020348696129255814,0.029386930944924575,{'regressor__alpha': 0.01},7.048662326944158
22,4.422219401252258,0.9197404822125758,3.9695995007303657,0.019620471676266266,0.017494834030388807,{'regressor__alpha': 1},8.875483059340139
23,5.429565738197696,0.8548241462904882,4.787744860278129,0.023676268853460775,0.021040592916144147,{'regressor__alpha': 0.1},6.012615532471317
