params,Trial,mean_score
"{'regressor__C': 670.5, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.809131011453717
"{'regressor__C': 670.5, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.519071580594417
"{'regressor__C': 670.6, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.420441837381768
"{'regressor__C': 670.6, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.091202649758483
"{'regressor__C': 670.6, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.689820761937272
"{'regressor__C': 670.6, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.390759156665752
"{'regressor__C': 670.6, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.170341836000478
"{'regressor__C': 670.6, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.983289689271977
"{'regressor__C': 670.6, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.86214134189709
"{'regressor__C': 670.6, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.809042612759985
"{'regressor__C': 670.6, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.5185017945325
"{'regressor__C': 670.7, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.420294013918218
"{'regressor__C': 670.7, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.091063920488669
"{'regressor__C': 670.7, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.689695377550091
"{'regressor__C': 670.7, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.390691243138784
"{'regressor__C': 670.7, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.170300449499953
"{'regressor__C': 670.7, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.983186747381085
"{'regressor__C': 670.7, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.862023892974813
"{'regressor__C': 670.7, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808984603133318
"{'regressor__C': 670.7, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.517926113560037
"{'regressor__C': 670.8, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.420112910248509
"{'regressor__C': 670.8, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.090952886116455
"{'regressor__C': 670.8, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.689527683296795
"{'regressor__C': 670.8, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.390624156201962
"{'regressor__C': 670.8, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.170177540867206
"{'regressor__C': 670.8, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.983081741037292
"{'regressor__C': 670.8, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.86195562612265
"{'regressor__C': 670.8, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808877668799012
"{'regressor__C': 670.8, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.51734381256406
"{'regressor__C': 670.9, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.419918904249368
"{'regressor__C': 670.9, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.090839260984515
"{'regressor__C': 670.9, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.689469004496107
"{'regressor__C': 670.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.390551694472574
"{'regressor__C': 670.9, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.170125138958744
"{'regressor__C': 670.9, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.983037106139859
"{'regressor__C': 670.9, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.861894567367502
"{'regressor__C': 670.9, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808774857993047
"{'regressor__C': 670.9, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.516766213841567
"{'regressor__C': 671.0, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.419785808353527
"{'regressor__C': 671.0, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.090747675574733
"{'regressor__C': 671.0, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.689361904191614
"{'regressor__C': 671.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.390480340946734
"{'regressor__C': 671.0, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.170017855995635
"{'regressor__C': 671.0, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.982851196463267
"{'regressor__C': 671.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.86175845721503
"{'regressor__C': 671.0, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808738245903292
"{'regressor__C': 671.0, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.51617941063811
"{'regressor__C': 671.1, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.419565273539822
"{'regressor__C': 671.1, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.090634891162741
"{'regressor__C': 671.1, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.689262951853467
"{'regressor__C': 671.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.39037198571173
"{'regressor__C': 671.1, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.16988958104083
"{'regressor__C': 671.1, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.982725032426426
"{'regressor__C': 671.1, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.861737579305073
"{'regressor__C': 671.1, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808675751258948
"{'regressor__C': 671.1, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.51560338531968
"{'regressor__C': 671.2, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.419416169043275
"{'regressor__C': 671.2, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.090493611549842
"{'regressor__C': 671.2, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.689191944953176
"{'regressor__C': 671.2, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.39028547043831
"{'regressor__C': 671.2, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.16980535938322
"{'regressor__C': 671.2, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.982648970157909
"{'regressor__C': 671.2, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.861621524654998
"{'regressor__C': 671.2, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808604334908873
"{'regressor__C': 671.2, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.51500477506591
"{'regressor__C': 671.3, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.419286203261034
"{'regressor__C': 671.3, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.090408527201404
"{'regressor__C': 671.3, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.689027766761896
"{'regressor__C': 671.3, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.39013959068354
"{'regressor__C': 671.3, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.169678410919445
"{'regressor__C': 671.3, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.982557306062166
"{'regressor__C': 671.3, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.861565849104311
"{'regressor__C': 671.3, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808498173423231
"{'regressor__C': 671.3, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.514432098211515
"{'regressor__C': 671.4, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.41913740817736
"{'regressor__C': 671.4, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.090324490840896
"{'regressor__C': 671.4, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.688953846000341
"{'regressor__C': 671.4, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.390062553827834
"{'regressor__C': 671.4, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.16965668135503
"{'regressor__C': 671.4, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.982426668124639
"{'regressor__C': 671.4, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.861506599818638
"{'regressor__C': 671.4, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808415018212832
"{'regressor__C': 671.4, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.513845231463037
"{'regressor__C': 671.5, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.418970941219857
"{'regressor__C': 671.5, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.09024854498458
"{'regressor__C': 671.5, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.68887173283266
"{'regressor__C': 671.5, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.389982360763403
"{'regressor__C': 671.5, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.169502924143718
"{'regressor__C': 671.5, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.982340756254226
"{'regressor__C': 671.5, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.86141427678883
"{'regressor__C': 671.5, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808364853593995
"{'regressor__C': 671.5, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.513273793737444
