,observed,predicted,error
0,217.2,218.6576289366421,0.006710998787486757
1,218.8,220.48742124874957,0.007712162928471473
2,220.5,223.90812718784647,0.015456359128555442
3,219.9,217.73546930469638,0.009843250092331175
4,231.2,227.23168445833863,0.0171639945573588
5,222.1,220.81651920080085,0.00577884195947384
6,210.4,211.87568349137442,0.007013704806912602
7,210.4,210.31002326643818,0.00042764607206191276
8,216.8,214.50549346955302,0.010583517206858833
9,291.2,288.84879447704543,0.008074194790365927
10,284.5,304.40678395699604,0.06997112111422157
11,291.2,290.79850408306396,0.0013787634510165803
12,291.2,291.3960474044108,0.0006732397129492431
13,224.4,222.21022460402793,0.009758357379554711
14,222.7,225.08042457861626,0.010688929405551285
15,225.1,227.80904421003123,0.012034847667842014
16,215.8,203.98214943429718,0.05476297759825221
17,176.0,177.90825902362937,0.010842380816075964
18,183.3,187.52505693865058,0.02304995602100691
19,219.8,222.04195130493721,0.01019996044102458
20,218.7,215.7752547056828,0.01337332096166976
