params,mean_score
"{'regressor__C': 255, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.711666520212204
"{'regressor__C': 250, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",-4.712680588131389
"{'regressor__C': 345, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.715888976902622
"{'regressor__C': 340, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.716981087616879
"{'regressor__C': 335, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.717995302928182
"{'regressor__C': 330, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.719009465231969
"{'regressor__C': 325, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.720168104195222
"{'regressor__C': 320, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.721259004067677
"{'regressor__C': 315, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.722379119421012
"{'regressor__C': 310, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.723546501074652
"{'regressor__C': 305, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.7247177594240055
"{'regressor__C': 300, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.7260108170551804
"{'regressor__C': 295, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.72741450978329
"{'regressor__C': 290, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.728756169703387
"{'regressor__C': 285, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.730031878381769
"{'regressor__C': 280, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.731435404630989
"{'regressor__C': 275, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.733154619776019
"{'regressor__C': 270, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.734778283021129
"{'regressor__C': 265, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.736348968683437
"{'regressor__C': 260, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.738089706428687
"{'regressor__C': 255, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.739903559208844
"{'regressor__C': 250, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",-4.74191229003532
