PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
43748,18.22793,18.32642,18.3539,1.217231,1.225626,1.235411,249.4867,840.5295,953.25,319.9557,19.065,
43749,18.22793,18.32642,18.3539,1.31753,1.325845,1.335539,269.8873,840.5295,470.5,156.4371,9.41,
43750,18.22793,18.32642,18.3539,1.412766,1.421006,1.430613,289.2581,840.5295,407.25,134.1923,8.145,
43751,18.22793,18.32642,18.3539,1.433356,1.44158,1.451168,293.4461,840.5295,628.75,206.7737,12.575,
43752,18.22793,18.32642,18.3539,1.471683,1.481243,1.497611,301.5198,840.5295,472.0625,196.1545,9.44125,
43753,18.26596,18.32642,18.34838,-1.0,-1.0,-1.0,-1.0,1326.237,2505.438,3945.343,5.763452,
43754,18.26596,18.32642,18.34838,1.134331,1.142791,1.151244,231.247,1326.237,521.5,176.4057,10.43,
43755,18.26596,18.32642,18.34838,1.419633,1.427869,1.433356,288.9333,1326.237,456.0,150.1568,9.12,
43756,18.26596,18.32642,18.34838,1.433356,1.44021,1.44569,291.4306,1326.237,2146.25,736.1037,42.925,
43757,18.26596,18.32642,18.34838,1.44569,1.448429,1.459379,293.0938,1326.237,1011.875,393.4749,20.2375,
43758,18.26596,18.33181,18.41421,-1.0,-1.0,-1.0,-1.0,57.81678,1064.563,1600.48,2.237572,
43759,18.26596,18.33181,18.41421,1.353517,1.361804,1.371464,332.2599,57.81678,617.75,204.6971,12.355,
43760,18.26596,18.33181,18.41421,1.500337,1.50851,1.518036,368.054,57.81678,595.75,194.6769,11.915,
43761,18.30457,18.33181,18.36483,-1.0,-1.0,-1.0,-1.0,367.2949,1369.5,1831.508,1.867699,
43762,18.30457,18.33181,18.36483,0.9579755,0.9665759,0.9766009,200.8015,367.2949,1308.75,450.0497,26.175,
43763,18.30457,18.33181,18.36483,1.115978,1.124452,1.134331,233.5995,367.2949,550.0,186.3664,11.0,
