,mz,diagIonsInChian,diagIonsInRing,characteristicMass
LMST01031009_0-1_0_0_chain,664.6027,"367.3359,397.3703,411.3859,650.587",,"367.3359,397.3703,411.3859,650.587"
LMST01031009_26-27_0_0_chain,664.6027,"128.1434,186.1488,284.2584,381.3516,566.4931",,"128.1434,186.1488,284.2584,381.3516,566.4931"
LMST01031009_10-11_0_0_ring,664.6027,,"379.3359,410.3781,633.5605","379.3359,410.3781,633.5605"
LMST01031010_8-9_0_0_chain,690.6183,"156.1747,186.1488,312.2897,379.3359,564.4775",,"156.1747,186.1488,312.2897,379.3359,564.4775"
LMST01031010_40-41_0_0_chain,690.6183,"114.1277,295.242,325.2764,409.3703,606.5244",,"114.1277,295.242,325.2764,409.3703,606.5244"
LMST01031010_25-26_0_0_ring,690.6183,,"377.3203,408.3625,659.5761","377.3203,408.3625,659.5761"
LMST01031010_27-28_0_0_ring,690.6183,,"377.3203,408.3625,659.5761","377.3203,408.3625,659.5761"
LMST01031011_6-7_0_0_chain,662.587,"128.1434,186.1488,284.2584,379.3359,564.4775",,"128.1434,186.1488,284.2584,379.3359,564.4775"
LMST01031011_38-39_0_0_chain,662.587,"114.1277,295.242,325.2764,409.3703,578.4931",,"114.1277,295.242,325.2764,409.3703,578.4931"
LMST01031011_23-24_0_0_ring,662.587,,"377.3203,408.3625,631.5448","377.3203,408.3625,631.5448"
LMST01031011_25-26_0_0_ring,662.587,,"377.3203,408.3625,631.5448","377.3203,408.3625,631.5448"
LMST01031012_0-1_0_0_chain,692.634,"367.3359,397.3703,411.3859,678.6183",,"367.3359,397.3703,411.3859,678.6183"
LMST01031012_31-32_0_0_chain,692.634,"156.1747,186.1488,312.2897,381.3516,566.4931",,"156.1747,186.1488,312.2897,381.3516,566.4931"
LMST01031012_10-11_0_0_ring,692.634,,410.3781,410.3781
LMST01031013_0-1_0_0_chain,664.6027,"367.3359,397.3703,411.3859,650.587",,"367.3359,397.3703,411.3859,650.587"
LMST01031013_31-32_0_0_chain,664.6027,"128.1434,186.1488,284.2584,381.3516,566.4931",,"128.1434,186.1488,284.2584,381.3516,566.4931"
LMST01031013_10-11_0_0_ring,664.6027,,410.3781,410.3781
LMST01031014_5-6_0_0_chain,444.3836,"114.1277,360.2897,342.2791,324.2686",,"114.1277,360.2897,342.2791,324.2686"
LMST01031014_13-14_0_0_ring,444.3836,,"413.3414,395.3308,377.3203","413.3414,395.3308,377.3203"
LMST01031015_0-1_0_0_chain,424.3574,"410.3417,392.3312",,"410.3417,392.3312"
LMST01031015_2-3_0_0_chain,424.3574,"112.1121,342.2791,324.2686",,"112.1121,342.2791,324.2686"
LMST01031015_10-11_0_0_ring,424.3574,,"393.3152,375.3046","393.3152,375.3046"
LMST01031015_12-13_0_0_ring,424.3574,,"393.3152,375.3046","393.3152,375.3046"
LMST01031016_16-17_0_0_ring,430.4043,,"399.3621,381.3516","399.3621,381.3516"
LMST01031017_17-18_0_0_ring,524.3582,,"493.316,475.3054,457.2948","493.316,475.3054,457.2948"
LMST01031018_10-11_0_0_ring,342.2427,,311.2005,311.2005
LMST01031018_18-19_0_0_ring,342.2427,,311.2005,311.2005
LMST01031019_0-1_0_0_chain,442.4043,"428.3887,410.3781",,"428.3887,410.3781"
LMST01031019_10-11_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01031020_0-1_0_0_chain,440.3887,"426.373,408.3625",,"426.373,408.3625"
LMST01031020_8-9_0_0_ring,440.3887,,"409.3465,391.3359","409.3465,391.3359"
LMST01031020_10-11_0_0_ring,440.3887,,"409.3465,391.3359","409.3465,391.3359"
LMST01031021_1-2_0_0_chain,458.4356,"128.1434,360.3261,342.3155",,"128.1434,360.3261,342.3155"
LMST01031022_15-16_0_0_ring,428.3887,,397.3465,397.3465
LMST01031023_5-6_0_0_chain,424.3574,"114.1277,340.2635,322.2529",,"114.1277,340.2635,322.2529"
LMST01031023_13-14_0_0_ring,424.3574,,"393.3152,375.3046","393.3152,375.3046"
LMST01031023_15-16_0_0_ring,424.3574,,"393.3152,375.3046","393.3152,375.3046"
LMST01031023_24-25_0_0_ring,424.3574,,"393.3152,375.3046","393.3152,375.3046"
LMST01031024_5-6_0_0_chain,428.3887,"114.1277,344.2948,326.2842",,"114.1277,344.2948,326.2842"
LMST01031024_13-14_0_0_ring,428.3887,,"397.3465,379.3359","397.3465,379.3359"
LMST01031025_5-6_0_0_chain,426.373,"114.1277,342.2791,324.2686",,"114.1277,342.2791,324.2686"
LMST01031025_13-14_0_0_ring,426.373,,"395.3308,377.3203","395.3308,377.3203"
LMST01031025_16-17_0_0_ring,426.373,,"395.3308,377.3203","395.3308,377.3203"
LMST01031026_5-6_0_0_chain,426.373,"114.1277,342.2791,324.2686",,"114.1277,342.2791,324.2686"
LMST01031026_13-14_0_0_ring,426.373,,"395.3308,377.3203","395.3308,377.3203"
LMST01031026_26-27_0_0_ring,426.373,,"395.3308,377.3203","395.3308,377.3203"
LMST01031027_13-14_0_0_ring,428.3887,,"397.3465,379.3359","397.3465,379.3359"
LMST01031027_15-16_0_0_ring,428.3887,,"397.3465,379.3359","397.3465,379.3359"
LMST01031028_0-1_0_0_chain,428.3887,"414.373,396.3625",,"414.373,396.3625"
LMST01031028_15-16_0_0_ring,428.3887,,"397.3465,379.3359","397.3465,379.3359"
LMST01031032_1-2_0_0_chain,456.42,"428.3887,410.3781",,"428.3887,410.3781"
LMST01031032_17-18_0_0_ring,456.42,,"425.3778,407.3672","425.3778,407.3672"
LMST01031033_16-17_0_0_ring,444.42,,"413.3778,395.3672","413.3778,395.3672"
LMST01031034_0-1_0_0_chain,442.4043,"428.3887,410.3781",,"428.3887,410.3781"
LMST01031034_12-13_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01031035_0-1_0_0_chain,456.42,"442.4043,424.3938",,"442.4043,424.3938"
LMST01031035_12-13_0_0_ring,456.42,,"425.3778,407.3672","425.3778,407.3672"
LMST01031036_1-2_0_0_chain,442.4043,"414.373,396.3625",,"414.373,396.3625"
LMST01031036_16-17_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01031037_0-1_0_0_chain,456.42,"442.4043,424.3938",,"442.4043,424.3938"
LMST01031037_12-13_0_0_ring,456.42,,"425.3778,407.3672","425.3778,407.3672"
LMST01031038_1-2_0_0_chain,470.4356,"442.4043,424.3938",,"442.4043,424.3938"
LMST01031038_18-19_0_0_ring,470.4356,,"439.3934,421.3829","439.3934,421.3829"
LMST01031039_1-2_0_0_chain,470.4356,"442.4043,424.3938",,"442.4043,424.3938"
LMST01031039_18-19_0_0_ring,470.4356,,"439.3934,421.3829","439.3934,421.3829"
LMST01031040_0-1_0_0_chain,470.4356,"456.42,438.4094",,"456.42,438.4094"
LMST01031040_12-13_0_0_ring,470.4356,,"439.3934,421.3829","439.3934,421.3829"
LMST01031041_1-2_0_0_chain,456.42,"428.3887,410.3781",,"428.3887,410.3781"
LMST01031041_17-18_0_0_ring,456.42,,"425.3778,407.3672","425.3778,407.3672"
LMST01031043_0-1_0_0_chain,456.42,"442.4043,424.3938",,"442.4043,424.3938"
LMST01031043_17-18_0_0_ring,456.42,,"425.3778,407.3672","425.3778,407.3672"
LMST01031044_0-1_0_0_chain,442.4043,"428.3887,410.3781",,"428.3887,410.3781"
LMST01031044_16-17_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01031045_1-2_0_0_chain,456.42,"128.1434,358.3104",,"128.1434,358.3104"
LMST01031046_1-10_0_0_chain,458.4356,"318.2791,300.2686,170.1903",,"318.2791,300.2686,170.1903"
LMST01031047_0-1_0_0_chain,444.42,"430.4043,412.3938",,"430.4043,412.3938"
LMST01031048_4-5_0_0_chain,414.373,"100.1121,344.2948,326.2842",,"100.1121,344.2948,326.2842"
LMST01031048_14-15_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01031049_4-5_0_0_chain,414.373,"100.1121,344.2948,326.2842",,"100.1121,344.2948,326.2842"
LMST01031049_14-15_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01031050_3-4_0_0_chain,400.3574,"344.2948,326.2842",,"344.2948,326.2842"
LMST01031050_13-14_0_0_ring,400.3574,,"369.3152,351.3046","369.3152,351.3046"
LMST01031051_1-2_0_0_chain,442.4043,"128.1434,344.2948,326.2842",,"128.1434,344.2948,326.2842"
LMST01031051_11-12_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01031052_0-1_0_0_chain,440.3887,"426.373,408.3625",,"426.373,408.3625"
LMST01031052_6-7_0_0_chain,440.3887,"126.1277,344.2948,326.2842",,"126.1277,344.2948,326.2842"
LMST01031052_16-17_0_0_ring,440.3887,,"409.3465,391.3359","409.3465,391.3359"
LMST01031053_0-1_0_0_chain,456.42,"442.4043,424.3938",,"442.4043,424.3938"
LMST01031053_14-15_0_0_ring,456.42,,"425.3778,407.3672","425.3778,407.3672"
LMST01031055_0-1_0_0_chain,456.42,"442.4043,424.3938",,"442.4043,424.3938"
LMST01031055_17-18_0_0_ring,456.42,,"425.3778,407.3672","425.3778,407.3672"
LMST01031056_0-1_0_0_chain,470.4356,"456.42,438.4094",,"456.42,438.4094"
LMST01031056_18-19_0_0_ring,470.4356,,"439.3934,421.3829","439.3934,421.3829"
LMST01031057_0-1_0_0_chain,426.373,"412.3574,394.3468",,"412.3574,394.3468"
LMST01031057_3-4_0_0_chain,426.373,"412.3574,394.3468",,"412.3574,394.3468"
LMST01031057_15-16_0_0_ring,426.373,,"395.3308,377.3203","395.3308,377.3203"
LMST01031058_1-10_0_0_chain,442.4043,"302.2478,284.2373,170.1903",,"302.2478,284.2373,170.1903"
LMST01031058_16-17_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01031062_0-1_0_0_chain,460.3785,"446.3628,428.3523,410.3417",,"446.3628,428.3523,410.3417"
LMST01031063_12-13_0_0_chain,520.3996,"436.3057,418.2952,400.2846,114.1277",,"436.3057,418.2952,400.2846,114.1277"
LMST01031066_0-1_0_0_chain,444.3836,"430.3679,412.3574",,"430.3679,412.3574"
LMST01031066_12-13_0_0_ring,444.3836,,"413.3414,395.3308","413.3414,395.3308"
LMST01031067_0-1_0_0_chain,460.3785,"446.3628,428.3523,410.3417",,"446.3628,428.3523,410.3417"
LMST01031067_24-25_0_0_ring,460.3785,,"429.3363,411.3257,393.3152","429.3363,411.3257,393.3152"
LMST01031068_0-1_0_0_chain,460.3785,"446.3628,428.3523",,"446.3628,428.3523"
LMST01031069_15-16_0_0_ring,462.3941,,"431.3519,413.3414,395.3308","431.3519,413.3414,395.3308"
LMST01031070_0-1_0_0_chain,460.3785,"446.3628,428.3523,410.3417",,"446.3628,428.3523,410.3417"
LMST01031070_12-13_0_0_ring,460.3785,,"429.3363,411.3257,393.3152","429.3363,411.3257,393.3152"
LMST01031071_0-1_0_0_chain,456.3472,"442.3316,424.321",,"442.3316,424.321"
LMST01031071_16-17_0_0_ring,456.3472,,"425.305,407.2944","425.305,407.2944"
LMST01031072_5-6_0_0_chain,456.3472,"114.1277,372.2533,354.2427",,"114.1277,372.2533,354.2427"
LMST01031072_19-20_0_0_ring,456.3472,,"425.305,407.2944","425.305,407.2944"
LMST01031073_19-20_0_0_ring,458.3628,,"427.3206,409.3101","427.3206,409.3101"
LMST01031075_27-28_0_0_ring,476.3734,,"445.3312,427.3207,409.3101","445.3312,427.3207,409.3101"
LMST01031076_27-28_0_0_ring,476.3734,,"445.3312,427.3207,409.3101","445.3312,427.3207,409.3101"
LMST01031077_27-28_0_0_ring,476.3734,,"445.3312,427.3207,409.3101","445.3312,427.3207,409.3101"
LMST01031079_2-3_0_0_chain,558.3636,"442.2799,424.2694,406.2588,146.1176,128.107,110.0964",,"442.2799,424.2694,406.2588,146.1176,128.107,110.0964"
LMST01031080_2-3_0_0_chain,558.3636,"442.2799,424.2694,406.2588,146.1176,128.107,110.0964",,"442.2799,424.2694,406.2588,146.1176,128.107,110.0964"
LMST01031081_0-1_0_0_chain,430.4043,"416.3887,398.3781",,"416.3887,398.3781"
LMST01031083_0-1_0_0_chain,442.4043,"428.3887,410.3781",,"428.3887,410.3781"
LMST01031083_11-12_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01031084_14-15_0_0_chain,440.3887,"426.373,408.3625",,"426.373,408.3625"
LMST01031084_0-1_0_0_chain,440.3887,"426.373,408.3625",,"426.373,408.3625"
LMST01031084_9-10_0_0_ring,440.3887,,"409.3465,391.3359","409.3465,391.3359"
LMST01031085_0-1_0_0_chain,438.373,"424.3574,406.3468",,"424.3574,406.3468"
LMST01031085_8-9_0_0_ring,438.373,,"407.3308,389.3203","407.3308,389.3203"
LMST01031085_13-14_0_0_ring,438.373,,"407.3308,389.3203","407.3308,389.3203"
LMST01031085_26-27_0_0_ring,438.373,,"407.3308,389.3203","407.3308,389.3203"
LMST01031086_0-1_0_0_chain,488.4098,"474.3942,456.3836,438.373",,"474.3942,456.3836,438.373"
LMST01031086_11-12_0_0_ring,488.4098,,"457.3676,439.357,421.3465","457.3676,439.357,421.3465"
LMST01031087_0-1_0_0_chain,474.3941,"460.3785,442.3679,424.3574",,"460.3785,442.3679,424.3574"
LMST01031087_11-12_0_0_ring,474.3941,,"443.3519,425.3414,407.3308","443.3519,425.3414,407.3308"
LMST01031088_5-6_0_0_chain,462.3941,"114.1277,378.3002,360.2897,342.2791",,"114.1277,378.3002,360.2897,342.2791"
LMST01031089_0-1_0_0_chain,462.3941,"448.3785,430.3679,412.3574",,"448.3785,430.3679,412.3574"
LMST01031090_0-1_0_0_chain,454.3315,440.3159,,440.3159
LMST01031090_13-14_0_0_ring,454.3315,,423.2893,423.2893
LMST01031090_17-18_0_0_ring,454.3315,,423.2893,423.2893
LMST01031091_0-1_0_0_chain,522.2884,"508.2727,490.2622,472.2516",,"508.2727,490.2622,472.2516"
LMST01031092_19-20_0_0_ring,492.3683,,"461.3261,443.3156,425.305","461.3261,443.3156,425.305"
LMST01031093_17-18_0_0_ring,458.3628,,"427.3206,409.3101,391.2995","427.3206,409.3101,391.2995"
LMST01031093_19-20_0_0_ring,458.3628,,"427.3206,409.3101,391.2995","427.3206,409.3101,391.2995"
LMST01031094_0-1_0_0_chain,490.3527,"476.337,458.3265,440.3159",,"476.337,458.3265,440.3159"
LMST01031094_16-17_0_0_ring,490.3527,,"459.3105,441.2999,423.2894","459.3105,441.2999,423.2894"
LMST01031095_5-6_0_0_chain,474.3578,"114.1277,390.2639,372.2533,354.2428",,"114.1277,390.2639,372.2533,354.2428"
LMST01031095_20-21_0_0_ring,474.3578,,"443.3156,425.305,407.2944","443.3156,425.305,407.2944"
LMST01031096_0-1_0_0_chain,474.3578,"460.3421,442.3316,424.321",,"460.3421,442.3316,424.321"
LMST01031096_17-18_0_0_ring,474.3578,,"443.3156,425.305,407.2944","443.3156,425.305,407.2944"
LMST01031097_20-21_0_0_ring,476.3734,,"445.3312,427.3207,409.3101","445.3312,427.3207,409.3101"
LMST01031098_5-6_0_0_chain,474.3578,"114.1277,390.2639,372.2533,354.2428",,"114.1277,390.2639,372.2533,354.2428"
LMST01031100_5-6_0_0_chain,456.3472,"114.1277,372.2533,354.2427,336.2322",,"114.1277,372.2533,354.2427,336.2322"
LMST01031100_17-18_0_0_ring,456.3472,,"425.305,407.2944,389.2839","425.305,407.2944,389.2839"
LMST01031100_19-20_0_0_ring,456.3472,,"425.305,407.2944,389.2839","425.305,407.2944,389.2839"
LMST01031101_0-1_0_0_chain,456.3472,"442.3316,424.321,406.3104",,"442.3316,424.321,406.3104"
LMST01031101_14-15_0_0_ring,456.3472,,"425.305,407.2944,389.2839","425.305,407.2944,389.2839"
LMST01031101_16-17_0_0_ring,456.3472,,"425.305,407.2944,389.2839","425.305,407.2944,389.2839"
LMST01031102_4-5_0_0_chain,504.3683,"100.1121,434.2901,416.2795,398.269",,"100.1121,434.2901,416.2795,398.269"
LMST01031102_12-13_0_0_ring,504.3683,,"473.3261,455.3156,437.305","473.3261,455.3156,437.305"
LMST01031103_0-1_0_0_chain,518.384,"504.3683,486.3578,468.3472",,"504.3683,486.3578,468.3472"
LMST01031103_10-11_0_0_ring,518.384,,"487.3418,469.3312,451.3207","487.3418,469.3312,451.3207"
LMST01031104_28-29_0_0_chain,518.384,"434.2901,416.2795,398.269,114.1277",,"434.2901,416.2795,398.269,114.1277"
LMST01031104_9-10_0_0_ring,518.384,,"487.3418,469.3312,451.3207","487.3418,469.3312,451.3207"
LMST01031105_0-1_0_0_chain,428.3523,"414.3366,396.3261",,"414.3366,396.3261"
LMST01031105_14-15_0_0_ring,428.3523,,"397.3101,379.2995","397.3101,379.2995"
LMST01031106_0-1_0_0_chain,444.3836,"430.3679,412.3574,394.3468",,"430.3679,412.3574,394.3468"
LMST01031106_16-17_0_0_ring,444.3836,,"413.3414,395.3308,377.3203","413.3414,395.3308,377.3203"
LMST01031107_0-1_0_0_chain,444.3836,"430.3679,412.3574,394.3468",,"430.3679,412.3574,394.3468"
LMST01031107_16-17_0_0_ring,444.3836,,"413.3414,395.3308,377.3203","413.3414,395.3308,377.3203"
LMST01031108_0-1_0_0_chain,460.3785,"446.3628,428.3523,410.3417",,"446.3628,428.3523,410.3417"
LMST01031108_14-15_0_0_ring,460.3785,,"429.3363,411.3257,393.3152","429.3363,411.3257,393.3152"
LMST01031110_4-5_0_0_chain,444.3472,"100.1121,374.269,356.2584",,"100.1121,374.269,356.2584"
LMST01031110_13-14_0_0_ring,444.3472,,"413.305,395.2944","413.305,395.2944"
LMST01031111_0-1_0_0_chain,472.3785,"458.3628,440.3523",,"458.3628,440.3523"
LMST01031111_12-13_0_0_ring,472.3785,,"441.3363,423.3257","441.3363,423.3257"
LMST01031112_0-1_0_0_chain,500.3734,"486.3578,468.3472",,"486.3578,468.3472"
LMST01031112_24-25_0_0_ring,500.3734,,"469.3312,451.3207","469.3312,451.3207"
LMST01031113_0-1_0_0_chain,476.4098,"462.3942,444.3836,426.373",,"462.3942,444.3836,426.373"
LMST01031114_5-6_0_0_chain,440.3887,"114.1277,356.2948,338.2842",,"114.1277,356.2948,338.2842"
LMST01031114_12-13_0_0_ring,440.3887,,"409.3465,391.3359","409.3465,391.3359"
LMST01031114_14-15_0_0_ring,440.3887,,"409.3465,391.3359","409.3465,391.3359"
LMST01031115_16-17_0_0_ring,446.3992,,"415.357,397.3465,379.3359","415.357,397.3465,379.3359"
LMST01031116_17-18_0_0_ring,444.3836,,"413.3414,395.3308","413.3414,395.3308"
LMST01031119_0-1_0_0_chain,444.3836,"430.3679,412.3574,394.3468",,"430.3679,412.3574,394.3468"
LMST01031119_13-14_0_0_ring,444.3836,,"413.3414,395.3308,377.3203","413.3414,395.3308,377.3203"
LMST01031124_18-19_0_0_ring,460.3785,,"429.3363,411.3257,393.3152","429.3363,411.3257,393.3152"
LMST01031125_17-18_0_0_ring,462.3941,,"431.3519,413.3414,395.3308","431.3519,413.3414,395.3308"
LMST01031126_15-16_0_0_ring,592.4571,,"561.4149,543.4044,525.3938","561.4149,543.4044,525.3938"
LMST01031127_28-29_0_0_ring,830.6868,,"799.6446,781.634,763.6235","799.6446,781.634,763.6235"
LMST01031128_30-31_0_0_ring,858.7181,,"827.6759,809.6653,791.6548","827.6759,809.6653,791.6548"
LMST01031129_32-33_0_0_ring,886.7494,,"855.7072,837.6966,819.6861","855.7072,837.6966,819.6861"
LMST01031130_34-35_0_0_ring,914.7807,,"883.7385,865.7279,847.7174","883.7385,865.7279,847.7174"
LMST01031131_8-9_0_0_chain,828.6711,"156.1747,702.5303,684.5197,666.5092",,"156.1747,702.5303,684.5197,666.5092"
LMST01031131_28-29_0_0_ring,828.6711,,"797.6289,779.6184,761.6078","797.6289,779.6184,761.6078"
LMST01031132_5-6_0_0_chain,826.6555,"114.1277,742.5616,724.551,706.5405",,"114.1277,742.5616,724.551,706.5405"
LMST01031132_8-9_0_0_chain,826.6555,"154.159,702.5303,684.5197,666.5092",,"154.159,702.5303,684.5197,666.5092"
LMST01031132_28-29_0_0_ring,826.6555,,"795.6133,777.6027,759.5922","795.6133,777.6027,759.5922"
LMST01031133_2-3_0_0_chain,824.6398,"782.5929,764.5823,746.5718",,"782.5929,764.5823,746.5718"
LMST01031133_5-6_0_0_chain,824.6398,"112.1121,742.5616,724.551,706.5405",,"112.1121,742.5616,724.551,706.5405"
LMST01031133_8-9_0_0_chain,824.6398,"152.1434,702.5303,684.5197,666.5092",,"152.1434,702.5303,684.5197,666.5092"
LMST01031133_28-29_0_0_ring,824.6398,,"793.5976,775.5871,757.5765","793.5976,775.5871,757.5765"
LMST01031134_8-9_0_0_chain,856.7024,"156.1747,730.5616,712.551,694.5405",,"156.1747,730.5616,712.551,694.5405"
LMST01031134_30-31_0_0_ring,856.7024,,"825.6602,807.6497,789.6391","825.6602,807.6497,789.6391"
LMST01031135_5-6_0_0_chain,854.6868,"114.1277,770.5929,752.5823,734.5718",,"114.1277,770.5929,752.5823,734.5718"
LMST01031135_8-9_0_0_chain,854.6868,"154.159,730.5616,712.551,694.5405",,"154.159,730.5616,712.551,694.5405"
LMST01031135_30-31_0_0_ring,854.6868,,"823.6446,805.634,787.6235","823.6446,805.634,787.6235"
LMST01031136_2-3_0_0_chain,852.6711,"810.6242,792.6136,774.6031",,"810.6242,792.6136,774.6031"
LMST01031136_5-6_0_0_chain,852.6711,"112.1121,770.5929,752.5823,734.5718",,"112.1121,770.5929,752.5823,734.5718"
LMST01031136_8-9_0_0_chain,852.6711,"152.1434,730.5616,712.551,694.5405",,"152.1434,730.5616,712.551,694.5405"
LMST01031136_30-31_0_0_ring,852.6711,,"821.6289,803.6184,785.6078","821.6289,803.6184,785.6078"
LMST01031137_8-9_0_0_chain,884.7337,"156.1747,758.5929,740.5823,722.5718",,"156.1747,758.5929,740.5823,722.5718"
LMST01031137_32-33_0_0_ring,884.7337,,"853.6915,835.681,817.6704","853.6915,835.681,817.6704"
LMST01031138_5-6_0_0_chain,882.7181,"114.1277,798.6242,780.6136,762.6031",,"114.1277,798.6242,780.6136,762.6031"
LMST01031138_8-9_0_0_chain,882.7181,"154.159,758.5929,740.5823,722.5718",,"154.159,758.5929,740.5823,722.5718"
LMST01031138_32-33_0_0_ring,882.7181,,"851.6759,833.6653,815.6548","851.6759,833.6653,815.6548"
LMST01031139_2-3_0_0_chain,880.7024,"838.6555,820.6449,802.6344",,"838.6555,820.6449,802.6344"
LMST01031139_5-6_0_0_chain,880.7024,"112.1121,798.6242,780.6136,762.6031",,"112.1121,798.6242,780.6136,762.6031"
LMST01031139_8-9_0_0_chain,880.7024,"152.1434,758.5929,740.5823,722.5718",,"152.1434,758.5929,740.5823,722.5718"
LMST01031139_32-33_0_0_ring,880.7024,,"849.6602,831.6497,813.6391","849.6602,831.6497,813.6391"
LMST01031140_8-9_0_0_chain,912.765,"156.1747,786.6242,768.6136,750.6031",,"156.1747,786.6242,768.6136,750.6031"
LMST01031140_34-35_0_0_ring,912.765,,"881.7228,863.7123,845.7017","881.7228,863.7123,845.7017"
LMST01031141_5-6_0_0_chain,910.7494,"114.1277,826.6555,808.6449,790.6344",,"114.1277,826.6555,808.6449,790.6344"
LMST01031141_8-9_0_0_chain,910.7494,"154.159,786.6242,768.6136,750.6031",,"154.159,786.6242,768.6136,750.6031"
LMST01031141_34-35_0_0_ring,910.7494,,"879.7072,861.6966,843.6861","879.7072,861.6966,843.6861"
LMST01031142_2-3_0_0_chain,908.7337,"866.6868,848.6762,830.6657",,"866.6868,848.6762,830.6657"
LMST01031142_5-6_0_0_chain,908.7337,"112.1121,826.6555,808.6449,790.6344",,"112.1121,826.6555,808.6449,790.6344"
LMST01031142_8-9_0_0_chain,908.7337,"152.1434,786.6242,768.6136,750.6031",,"152.1434,786.6242,768.6136,750.6031"
LMST01031142_34-35_0_0_ring,908.7337,,"877.6915,859.681,841.6704","877.6915,859.681,841.6704"
LMST01031143_0-1_0_0_chain,488.3734,"474.3578,456.3472,438.3366",,"474.3578,456.3472,438.3366"
LMST01031143_10-11_0_0_ring,488.3734,,"457.3312,439.3207,421.3101","457.3312,439.3207,421.3101"
LMST01031144_5-6_0_0_chain,460.3785,"114.1277,376.2846,358.274,340.2635",,"114.1277,376.2846,358.274,340.2635"
LMST01031144_13-14_0_0_ring,460.3785,,"429.3363,411.3257,393.3152","429.3363,411.3257,393.3152"
LMST01031145_38-39_0_0_chain,666.6183,"114.1277,297.2577,327.292,411.3859,582.5244",,"114.1277,297.2577,327.292,411.3859,582.5244"
LMST01031145_25-26_0_0_ring,666.6183,,"379.3359,410.3781,635.5761","379.3359,410.3781,635.5761"
LMST01031146_37-38_0_0_chain,652.6027,"114.1277,297.2577,327.292,411.3859,568.5088",,"114.1277,297.2577,327.292,411.3859,568.5088"
LMST01031146_24-25_0_0_ring,652.6027,,"379.3359,410.3781,621.5605","379.3359,410.3781,621.5605"
LMST01031147_5-6_0_0_chain,690.6183,"114.1277,226.1801,310.274,381.3516,606.5244",,"114.1277,226.1801,310.274,381.3516,606.5244"
LMST01031147_8-9_0_0_chain,690.6183,"154.159,186.1488,310.274,381.3516,566.4931",,"154.159,186.1488,310.274,381.3516,566.4931"
LMST01031147_40-41_0_0_chain,690.6183,"114.1277,297.2577,327.292,411.3859,606.5244",,"114.1277,297.2577,327.292,411.3859,606.5244"
LMST01031147_27-28_0_0_ring,690.6183,,"379.3359,410.3781,659.5761","379.3359,410.3781,659.5761"
LMST01031148_8-9_0_0_chain,724.6238,"156.1747,186.1488,312.2897,413.3414,598.4829",,"156.1747,186.1488,312.2897,413.3414,598.4829"
LMST01031148_34-35_0_0_chain,724.6238,"114.1277,329.2475,359.2819,443.3758,640.5299",,"114.1277,329.2475,359.2819,443.3758,640.5299"
LMST01031148_21-22_0_0_ring,724.6238,,"413.3414,442.3679,693.5816","413.3414,442.3679,693.5816"
LMST01031149_8-9_0_0_chain,740.6187,"156.1747,186.1488,312.2897,429.3363,614.4779",,"156.1747,186.1488,312.2897,429.3363,614.4779"
LMST01031149_30-31_0_0_chain,740.6187,"114.1277,345.2424,375.2768,459.3707,656.5248",,"114.1277,345.2424,375.2768,459.3707,656.5248"
LMST01031150_0-1_0_0_chain,508.3632,"494.3476,476.337,458.3265",,"494.3476,476.337,458.3265"
LMST01031150_14-15_0_0_ring,508.3632,,"477.321,459.3105,441.2999","477.321,459.3105,441.2999"
LMST01031151_1-4_0_0_chain,492.3683,"434.3265,416.3159,398.3053",,"434.3265,416.3159,398.3053"
LMST01031151_18-19_0_0_ring,492.3683,,"461.3261,443.3156,425.305","461.3261,443.3156,425.305"
LMST01031152_1-4_0_0_chain,492.3683,"434.3265,416.3159,398.3053",,"434.3265,416.3159,398.3053"
LMST01031152_18-19_0_0_ring,492.3683,,"461.3261,443.3156,425.305","461.3261,443.3156,425.305"
LMST01031153_1-29_0_0_chain,508.3632,"104.0706,434.3265,416.3159,398.3053",,"104.0706,434.3265,416.3159,398.3053"
LMST01031153_14-15_0_0_ring,508.3632,,"477.321,459.3105,441.2999","477.321,459.3105,441.2999"
LMST01031154_0-1_0_0_chain,508.3632,"494.3476,476.337,458.3265",,"494.3476,476.337,458.3265"
LMST01031154_19-20_0_0_ring,508.3632,,"477.321,459.3105,441.2999","477.321,459.3105,441.2999"
LMST01031155_5-6_0_0_chain,454.3315,"114.1277,370.2376",,"114.1277,370.2376"
LMST01031155_24-25_0_0_ring,454.3315,,423.2893,423.2893
LMST01031156_2-3_0_0_chain,508.3632,"408.2744,390.2639,372.2533,130.1226,112.1121",,"408.2744,390.2639,372.2533,130.1226,112.1121"
LMST01031156_11-12_0_0_ring,508.3632,,"477.321,459.3105,441.2999","477.321,459.3105,441.2999"
