LMID,SMILES
LMST01020085_8-9_1_-1_chain,CCCCC/C=C\C[C@@H]1[NH2+][C@H]1CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020085_29-30_1_-1_ring,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)CC[C@@H](C)C(C)C)CC[C@H]4[C@@H]3C[C@@H]3[NH2+][C@@]32C1
LMST01020086_5-6_0_-1_chain,CCCCC[C@H]1[NH2+][C@@H]1C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020086_8-9_0_-1_chain,CCCCC/C=C\C[C@H]1[NH2+][C@@H]1CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020086_29-30_0_-1_ring,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@H]4[C@@H]3C[C@H]3[NH2+][C@]32C1
LMST01020086_5-6_1_-1_chain,CCCCC[C@@H]1[NH2+][C@H]1C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020086_8-9_1_-1_chain,CCCCC/C=C\C[C@@H]1[NH2+][C@H]1CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020086_29-30_1_-1_ring,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@H]4[C@@H]3C[C@@H]3[NH2+][C@@]32C1
LMST01020087_5-6_0_-1_chain,CCCCC[C@H]1[NH2+][C@@H]1C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020087_8-9_0_-1_chain,CCCCC/C=C\C[C@H]1[NH2+][C@@H]1CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020087_44-45_0_-1_chain,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)[C@H]5[NH2+][C@@H]5[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020087_29-30_0_-1_ring,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@@H](CC)C(C)C)CC[C@H]4[C@@H]3C[C@H]3[NH2+][C@]32C1
LMST01020087_5-6_1_-1_chain,CCCCC[C@@H]1[NH2+][C@H]1C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020087_8-9_1_-1_chain,CCCCC/C=C\C[C@@H]1[NH2+][C@H]1CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020087_44-45_1_-1_chain,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)[C@@H]5[NH2+][C@H]5[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020087_29-30_1_-1_ring,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@@H](CC)C(C)C)CC[C@H]4[C@@H]3C[C@@H]3[NH2+][C@@]32C1
LMST01020088_2-3_0_-1_chain,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CCCCCCCCCCC/C=C\C/C=C\C[C@H]5[NH2+][C@@H]5CC)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
LMST01020088_5-6_0_-1_chain,CC/C=C\C[C@H]1[NH2+][C@@H]1C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020088_8-9_0_-1_chain,CC/C=C\C/C=C\C[C@H]1[NH2+][C@@H]1CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020088_44-45_0_-1_chain,CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)[C@H]5[NH2+][C@@H]5[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020088_29-30_0_-1_ring,CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@@H](CC)C(C)C)CC[C@H]4[C@@H]3C[C@H]3[NH2+][C@]32C1
LMST01020088_2-3_1_-1_chain,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CCCCCCCCCCC/C=C\C/C=C\C[C@@H]5[NH2+][C@H]5CC)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
LMST01020088_5-6_1_-1_chain,CC/C=C\C[C@@H]1[NH2+][C@H]1C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020088_8-9_1_-1_chain,CC/C=C\C/C=C\C[C@@H]1[NH2+][C@H]1CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020088_44-45_1_-1_chain,CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)[C@@H]5[NH2+][C@H]5[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020088_29-30_1_-1_ring,CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@@H](CC)C(C)C)CC[C@H]4[C@@H]3C[C@@H]3[NH2+][C@@]32C1
LMST01020089_2-3_0_-1_chain,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CCCCCCCCCCC/C=C\C/C=C\C[C@H]5[NH2+][C@@H]5CC)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
LMST01020089_5-6_0_-1_chain,CC/C=C\C[C@H]1[NH2+][C@@H]1C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020089_8-9_0_-1_chain,CC/C=C\C/C=C\C[C@H]1[NH2+][C@@H]1CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020089_29-30_0_-1_ring,CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@H]4[C@@H]3C[C@H]3[NH2+][C@]32C1
LMST01020089_2-3_1_-1_chain,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CCCCCCCCCCC/C=C\C/C=C\C[C@@H]5[NH2+][C@H]5CC)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
LMST01020089_5-6_1_-1_chain,CC/C=C\C[C@@H]1[NH2+][C@H]1C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020089_8-9_1_-1_chain,CC/C=C\C/C=C\C[C@@H]1[NH2+][C@H]1CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](CC)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020089_29-30_1_-1_ring,CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@H]4[C@@H]3C[C@@H]3[NH2+][C@@]32C1
LMST01020090_2-3_0_-1_chain,CC[C@H]1[NH2+][C@@H]1C/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020090_5-6_0_-1_chain,CC/C=C\C[C@H]1[NH2+][C@@H]1C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020090_8-9_0_-1_chain,CC/C=C\C/C=C\C[C@H]1[NH2+][C@@H]1CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020090_29-30_0_-1_ring,CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)CC[C@@H](C)C(C)C)CC[C@H]4[C@@H]3C[C@H]3[NH2+][C@]32C1
LMST01020090_2-3_1_-1_chain,CC[C@@H]1[NH2+][C@H]1C/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020090_5-6_1_-1_chain,CC/C=C\C[C@@H]1[NH2+][C@H]1C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020090_8-9_1_-1_chain,CC/C=C\C/C=C\C[C@@H]1[NH2+][C@H]1CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CC[C@@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020090_29-30_1_-1_ring,CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)CC[C@@H](C)C(C)C)CC[C@H]4[C@@H]3C[C@@H]3[NH2+][C@@]32C1
LMST01020091_40-41_0_-1_chain,CCCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)[C@H]5[NH2+][C@@H]5[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020091_25-26_0_-1_ring,CCCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@H]4[C@@H]3C[C@H]3[NH2+][C@]32C1
LMST01020091_40-41_1_-1_chain,CCCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)[C@@H]5[NH2+][C@H]5[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020091_25-26_1_-1_ring,CCCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@H]4[C@@H]3C[C@@H]3[NH2+][C@@]32C1
LMST01020092_8-9_0_-1_chain,CCCCCCCC[C@H]1[NH2+][C@@H]1CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020092_40-41_0_-1_chain,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)[C@H]5[NH2+][C@@H]5[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020092_25-26_0_-1_ring,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@H]4[C@@H]3C[C@H]3[NH2+][C@]32C1
LMST01020092_8-9_1_-1_chain,CCCCCCCC[C@@H]1[NH2+][C@H]1CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020092_40-41_1_-1_chain,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)[C@@H]5[NH2+][C@H]5[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020092_25-26_1_-1_ring,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@H]4[C@@H]3C[C@@H]3[NH2+][C@@]32C1
LMST01020093_5-6_0_-1_chain,CCCCC[C@H]1[NH2+][C@@H]1C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020093_8-9_0_-1_chain,CCCCC/C=C\C[C@H]1[NH2+][C@@H]1CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020093_40-41_0_-1_chain,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)[C@H]5[NH2+][C@@H]5[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020093_25-26_0_-1_ring,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@H]4[C@@H]3C[C@H]3[NH2+][C@]32C1
LMST01020093_5-6_1_-1_chain,CCCCC[C@@H]1[NH2+][C@H]1C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020093_8-9_1_-1_chain,CCCCC/C=C\C[C@@H]1[NH2+][C@H]1CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)/C=C/[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020093_40-41_1_-1_chain,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)[C@@H]5[NH2+][C@H]5[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020093_25-26_1_-1_ring,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@H]4[C@@H]3C[C@@H]3[NH2+][C@@]32C1
LMST01020094_39-40_0_-1_chain,CCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)[C@H]5[NH2+][C@@H]5[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020094_24-25_0_-1_ring,CCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@H]4[C@@H]3C[C@H]3[NH2+][C@]32C1
LMST01020094_39-40_1_-1_chain,CCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)[C@@H]5[NH2+][C@H]5[C@H](C)C(C)C)[C@@]4(C)CC[C@@H]32)C1
LMST01020094_24-25_1_-1_ring,CCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@H]4[C@@H]3C[C@@H]3[NH2+][C@@]32C1
LMST01020097_8-9_0_-1_chain,CCCCCCCC[C@H]1[NH2+][C@@H]1CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](C)C(C)C)CC[C@@H]32)C1
LMST01020097_8-9_1_-1_chain,CCCCCCCC[C@@H]1[NH2+][C@H]1CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](C)C(C)C)CC[C@@H]32)C1
LMST01020098_5-6_0_-1_chain,CCCCC[C@H]1[NH2+][C@@H]1C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](C)C(C)C)CC[C@@H]32)C1
LMST01020098_8-9_0_-1_chain,CCCCC/C=C\C[C@H]1[NH2+][C@@H]1CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](C)C(C)C)CC[C@@H]32)C1
LMST01020098_5-6_1_-1_chain,CCCCC[C@@H]1[NH2+][C@H]1C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](C)C(C)C)CC[C@@H]32)C1
LMST01020098_8-9_1_-1_chain,CCCCC/C=C\C[C@@H]1[NH2+][C@H]1CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](C)C(C)C)CC[C@@H]32)C1
LMST01020102_8-9_0_-1_chain,CCCCCCCC[C@H]1[NH2+][C@@H]1CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@@H]32)C1
LMST01020102_8-9_1_-1_chain,CCCCCCCC[C@@H]1[NH2+][C@H]1CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@@H]32)C1
LMST01020103_5-6_0_-1_chain,CCCCC[C@H]1[NH2+][C@@H]1C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@@H]32)C1
LMST01020103_8-9_0_-1_chain,CCCCC/C=C\C[C@H]1[NH2+][C@@H]1CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@@H]32)C1
LMST01020103_5-6_1_-1_chain,CCCCC[C@@H]1[NH2+][C@H]1C/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@@H]32)C1
LMST01020103_8-9_1_-1_chain,CCCCC/C=C\C[C@@H]1[NH2+][C@H]1CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@@H]32)C1
LMST01020120_19-20_0_-1_chain,C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](OC(=O)CCCC[C@H]5[NH2+][C@@H]5CCCCCCCO)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2c1ccc(=O)oc1
LMST01020120_19-20_1_-1_chain,C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@@H](OC(=O)CCCC[C@@H]5[NH2+][C@H]5CCCCCCCO)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2c1ccc(=O)oc1
LMST01020123_1-2_0_-1_chain,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)C[C@H]5[NH2+][C@@H]5C)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
LMST01020123_12-13_0_-1_ring,C/C=C/CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@H]4[C@@H]3C[C@H]3[NH2+][C@]32C1
LMST01020123_1-2_1_-1_chain,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)C[C@@H]5[NH2+][C@H]5C)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
LMST01020123_12-13_1_-1_ring,C/C=C/CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@H]4[C@@H]3C[C@@H]3[NH2+][C@@]32C1
LMST01020124_0-1_0_-1_chain,CCC(CC)[C@]1(CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@@H](OC(=O)CCCC#CC#C/C=C/CCCCC#C/C=C/Br)CC[C@]5(C)[C@H]4CC[C@]23C)C[NH2+]1
LMST01020124_26-27_0_-1_chain,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CCCC#CC#C[C@H]5[NH2+][C@@H]5CCCCC#C/C=C/Br)CC[C@]4(C)[C@H]3CC[C@]12C)C(CC)CC
LMST01020124_34-35_0_-1_chain,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CCCC#CC#C/C=C/CCCCC#C[C@H]5[NH2+][C@@H]5Br)CC[C@]4(C)[C@H]3CC[C@]12C)C(CC)CC
LMST01020124_12-13_0_-1_ring,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4[NH2+][C@@]45C[C@@H](OC(=O)CCCC#CC#C/C=C/CCCCC#C/C=C/Br)CC[C@]5(C)[C@H]3CC[C@]12C)C(CC)CC
LMST01020124_0-1_1_-1_chain,CCC(CC)[C@@]1(CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@@H](OC(=O)CCCC#CC#C/C=C/CCCCC#C/C=C/Br)CC[C@]5(C)[C@H]4CC[C@]23C)C[NH2+]1
LMST01020124_26-27_1_-1_chain,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CCCC#CC#C[C@@H]5[NH2+][C@H]5CCCCC#C/C=C/Br)CC[C@]4(C)[C@H]3CC[C@]12C)C(CC)CC
LMST01020124_34-35_1_-1_chain,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CCCC#CC#C/C=C/CCCCC#C[C@@H]5[NH2+][C@H]5Br)CC[C@]4(C)[C@H]3CC[C@]12C)C(CC)CC
LMST01020124_12-13_1_-1_ring,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4[NH2+][C@]45C[C@@H](OC(=O)CCCC#CC#C/C=C/CCCCC#C/C=C/Br)CC[C@]5(C)[C@H]3CC[C@]12C)C(CC)CC
LMST01020125_0-1_0_-1_chain,CCC(CC)[C@]1(CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@@H](OC(=O)CCCCCC#C/C=C/CCCCC#C/C=C/Br)CC[C@]5(C)[C@H]4CC[C@]23C)C[NH2+]1
LMST01020125_26-27_0_-1_chain,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CCCCCC#C[C@H]5[NH2+][C@@H]5CCCCC#C/C=C/Br)CC[C@]4(C)[C@H]3CC[C@]12C)C(CC)CC
LMST01020125_34-35_0_-1_chain,C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CCCCCC#C/C=C/CCCCC#C[C@H]5[NH2+][C@@H]5Br)CC[C@]4(C)[C@H]3CC[C@]12C)C(CC)CC
