LMID,SMILES
LMST01010057_15-16_0_-1_ring,CC(CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4[NH2+][C@@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010057_15-16_1_-1_ring,CC(CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4[NH2+][C@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010058_15-16_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)[C@H]4[NH2+][C@@]45C=CCC[C@]5(C)[C@H]3CC[C@]12C
LMST01010058_17-18_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C=C4[C@H]5[NH2+][C@@H]5CC[C@]4(C)[C@H]3CC[C@]12C
LMST01010058_15-16_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)[C@@H]4[NH2+][C@]45C=CCC[C@]5(C)[C@H]3CC[C@]12C
LMST01010058_17-18_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C=C4[C@@H]5[NH2+][C@H]5CC[C@]4(C)[C@H]3CC[C@]12C
LMST01010059_13-14_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H]4[NH2+][C@@H]4C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
LMST01010059_15-16_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C=C[C@]45[NH2+][C@@H]4C(=O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010059_13-14_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@@H]4[NH2+][C@H]4C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
LMST01010059_15-16_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C=C[C@@]45[NH2+][C@H]4C(=O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010066_1-3_0_-1_chain,C[C@H](CC[C@H]1[NH2+]C1(C)C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3
LMST01010066_12-13_0_-1_ring,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@]13[NH2+][C@@]21CC[C@H]1C[C@@H](O)CC[C@@]13C
LMST01010066_1-3_1_-1_chain,C[C@H](CC[C@@H]1[NH2+]C1(C)C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3
LMST01010066_12-13_1_-1_ring,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@@]13[NH2+][C@]21CC[C@H]1C[C@@H](O)CC[C@@]13C
LMST01010069_12-13_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@]23[NH2+][C@@H]3C=C2C[C@@H](O)CC[C@@]21C
LMST01010069_14-15_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=C[C@H]4[NH2+][C@@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010069_12-13_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@@]23[NH2+][C@H]3C=C2C[C@@H](O)CC[C@@]21C
LMST01010069_14-15_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=C[C@@H]4[NH2+][C@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010081_14-15_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4[NH2+][C@@]45C[C@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010081_14-15_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4[NH2+][C@]45C[C@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010086_15-16_0_-1_ring,CC(C)CC[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4[NH2+][C@@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010086_15-16_1_-1_ring,CC(C)CC[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4[NH2+][C@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010087_13-14_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@]34CC[C@H]5C(C)(C)[C@@H](O)CC[C@]5(C)[C@@]3(CC[C@]12C)[NH2+]4
LMST01010087_13-14_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@]34CC[C@H]5C(C)(C)[C@@H](O)CC[C@]5(C)[C@]3(CC[C@]12C)[NH2+]4
LMST01010088_15-16_0_-1_ring,C[C@@H](CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4[NH2+][C@@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010088_15-16_1_-1_ring,C[C@@H](CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H]4[NH2+][C@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C
LMST01010089_12-13_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@@H]1[C@@]3(C)CC[C@H](O)C[C@@H]3C[C@H]3[NH2+][C@@]123
LMST01010089_12-13_1_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@@H]1[C@@]3(C)CC[C@H](O)C[C@@H]3C[C@@H]3[NH2+][C@]312
LMST01010094_12-13_0_-1_ring,CC(C)CCC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@@H]1[C@@]3(C)CC[C@H](O)[C@@H](C)[C@@H]3C[C@H]3[NH2+][C@]213
