,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
2415,17226.0,1.0,LMST03020267_0-1_0_0_chain,446.36459,446.362848,7.575,8.42,0.932372266032897,221.0984,222.737699,0.993,242924.3789,76067.0127,414.33664,414.33664,414.33664,414.33664,0.25,0.5,0.4,0.333,59106.95,55151.29,76560.95,47248.47,0.6836744532065794,0.7836744532065794,0.7436744532065794,0.7168744532065794,0.732
2418,17226.0,1.0,LMST03020268_0-1_0_0_chain,446.36459,446.362848,7.575,9.15,0.581384137682822,221.0984,220.6003418,1.0,242924.3789,76067.0127,414.33664,414.33664,414.33664,414.33664,0.25,0.5,0.4,0.333,59106.95,55151.29,76560.95,47248.47,0.6162768275365644,0.7162768275365645,0.6762768275365645,0.6494768275365644,0.665
2421,17226.0,1.0,LMST03020269_0-1_0_0_chain,446.36459,446.362848,7.575,8.54,0.874552582070403,221.0984,222.4516384,1.0,242924.3789,76067.0127,414.33664,414.33664,414.33664,414.33664,0.25,0.5,0.4,0.333,59106.95,55151.29,76560.95,47248.47,0.6749105164140806,0.7749105164140806,0.7349105164140807,0.7081105164140806,0.723
2424,17226.0,1.0,LMST03020270_0-1_0_0_chain,446.36459,446.362848,7.575,9.27,0.5258473167406986,221.0984,222.4516384,1.0,242924.3789,76067.0127,414.33664,414.33664,414.33664,414.33664,0.25,0.5,0.4,0.333,59106.95,55151.29,76560.95,47248.47,0.6051694633481397,0.7051694633481398,0.6651694633481398,0.6383694633481398,0.653
2427,17226.0,1.0,LMST03020271_0-1_0_0_chain,446.36459,446.362848,7.575,8.12,1.0,221.0984,219.2246558,0.938,242924.3789,76067.0127,414.33664,414.33664,414.33664,414.33664,0.25,0.5,0.4,0.333,59106.95,55151.29,76560.95,47248.47,0.6752,0.7752,0.7352000000000001,0.7084,0.724
2430,17226.0,1.0,LMST03020272_0-1_0_0_chain,446.36459,446.362848,7.575,8.63,0.8287085247681061,221.0984,219.2246558,0.938,242924.3789,76067.0127,414.33664,414.33664,414.33664,414.33664,0.25,0.5,0.4,0.333,59106.95,55151.29,76560.95,47248.47,0.6409417049536212,0.7409417049536212,0.7009417049536213,0.6741417049536212,0.689
1130,14893.0,0.5,LMST03020308_1-2_0_0_ring,416.39114,416.388669,10.05,10.07,1.0,218.1895,222.3745425,0.462,2269980.8125,191812.1349,-1,"385.346469,367.335909","385.346469,367.335909",-1,0.0,0.8,1.0,0.0,,326171.9,371225.2,,-1.0,0.7048000000000001,0.7848000000000002,-1.0,0.745
1702,16049.0,1.0,LMST03020334_8-9_0_0_chain,428.38739,428.388669,8.392,9.76,0.6796110182373971,224.596,224.221775,1.0,1237726.125,182066.1097,-1,-1,304.29986,304.29986,0.0,0.0,0.333,0.333,,,327792.3,262544.5,-1.0,-1.0,0.6691222036474794,0.6691222036474794,0.669
1723,16049.0,1.0,LMST03020335_8-9_0_0_chain,428.38739,428.388669,8.392,9.76,0.6796110182373971,224.596,224.221775,1.0,1237726.125,182066.1097,-1,-1,304.29986,304.29986,0.0,0.0,0.333,0.333,,,327792.3,262544.5,-1.0,-1.0,0.6691222036474794,0.6691222036474794,0.669
3090,18804.0,1.0,LMST03020405_0-1_0_0_chain,472.3754,472.378497,6.937,6.94,1.0,224.5372,225.6475539,1.0,21447.4148,10152.4844,440.35229,-1,440.35229,440.35229,0.5,0.0,1.0,0.5,7355.506,,5177.203,3930.98,0.8,-1.0,1.0,0.8,0.867
3091,18804.0,1.0,LMST03020405_14-15_0_0_chain,472.3754,472.378497,6.937,7.78,0.9306608304032918,224.5372,226.5886094,0.914,21447.4148,10152.4844,440.35229,-1,440.35229,440.35229,0.5,0.0,1.0,0.5,7355.506,,5177.203,3930.98,0.7517321660806584,-1.0,0.9517321660806585,0.7517321660806584,0.818
2452,17226.0,1.0,LMST03020689_0-1_0_0_chain,446.36459,446.362848,7.575,8.73,0.7823951352983934,221.0984,219.2246558,0.938,242924.3789,76067.0127,414.33664,414.33664,414.33664,414.33664,0.25,0.5,0.4,0.333,59106.95,55151.29,76560.95,47248.47,0.6316790270596787,0.7316790270596787,0.6916790270596787,0.6648790270596787,0.68
