,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
1822,16298.0,1.0,LMST01010304_2-4_0_0_chain,442.40219,442.404318,8.619,8.54,1.0,227.2283,227.3668077,1.0,3821875.125,183376.0629,"368.33116,386.34172",386.34172,386.34172,386.34172,0.5,0.5,0.6,0.75,551211.4,860088.1,808522.9,896458.9,0.8,0.8,0.8400000000000001,0.9,0.835
1827,16298.0,1.0,LMST01010305_16-17_0_0_ring,442.40219,442.404318,8.619,8.29,1.0,227.2283,229.013081,0.973,3821875.125,183376.0629,411.362118,-1,"393.351558,411.362118",411.362118,0.167,0.0,0.4,0.25,551211.4,,808522.9,896458.9,0.656,-1.0,0.7492000000000001,0.6892,0.698
1830,16298.0,1.0,LMST01010305_2-4_0_0_chain,442.40219,442.404318,8.619,8.54,1.0,227.2283,227.3668077,1.0,3821875.125,183376.0629,"368.33116,386.34172",386.34172,386.34172,386.34172,0.5,0.5,0.6,0.75,551211.4,860088.1,808522.9,896458.9,0.8,0.8,0.8400000000000001,0.9,0.835
2186,16433.0,1.0,LMST01010306_16-17_0_0_ring,444.41794,444.419967,10.995,9.9,0.8103658021343364,225.0785,225.2769883,1.0,2403747.344,759725.5137,395.367207,"395.367207,413.377767",395.367207,"395.367207,413.377767",0.125,0.333,0.5,0.333,592375.5,504860.5,281727.5,690540.2,0.6120731604268673,0.6952731604268674,0.7620731604268673,0.6952731604268674,0.691
366,13905.0,1.0,LMST01010317_14-15_0_0_ring,414.37234,414.37302,8.348,9.03,1.0,214.6918,217.4541627,0.745,1653535.75,280706.4981,"365.32026,383.33082","365.32026,383.33082",365.32026,"365.32026,383.33082",0.5,0.273,0.286,0.667,354453.7,342236.3,292982.3,466781.0,0.698,0.6072,0.6124,0.7648,0.671
1598,15365.0,1.0,LMST01010330_24-25_0_0_ring,430.4039,430.404318,10.655,12.73,0.3474162438761499,220.5338,221.1968312,1.0,5548049.625,1723577.766,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",381.351558,0.333,0.444,0.667,0.333,1387977.0,1190378.0,680271.3,1593844.0,0.60268324877523,0.64708324877523,0.73628324877523,0.60268324877523,0.647
2192,16433.0,1.0,LMST01010331_25-26_0_0_ring,444.41794,444.419967,10.995,9.65,0.6910378452231399,225.0785,224.5578767,1.0,2403747.344,759725.5137,395.367207,"395.367207,413.377767",395.367207,"395.367207,413.377767",0.125,0.333,0.5,0.333,592375.5,504860.5,281727.5,690540.2,-1.0,0.6714075690446281,0.738207569044628,0.6714075690446281,0.694
413,13890.0,1.0,LMST01010350_14-15_0_0_ring,414.37231,414.37302,7.606,8.41,0.9523979193662856,219.3988,218.1944338,1.0,1514104.0,190747.8706,-1,365.32026,"365.32026,383.33082",-1,0.0,0.25,0.667,0.0,,217963.6,209572.6,,-1.0,0.6904795838732571,0.8572795838732572,-1.0,0.774
3062,29794.0,1.0,LMST01020003_8-9_0_0_chain,680.63159,680.63397,19.808,20.43,1.0,287.8257,285.8466307,1.0,3765724.25,1854588.26,"312.28969,369.35156,554.49313",369.35156,"312.28969,369.35156","312.28969,369.35156,554.49313,156.17467",0.667,1.0,0.6,1.0,639035.3,535763.4,526203.0,1051692.0,0.8668,1.0,0.8400000000000001,1.0,0.927
3042,29677.0,1.0,LMST01020008_8-9_0_0_chain,678.61536,678.618321,20.461,21.12,1.0,289.457,289.56432,1.0,6813511.563,3015487.347,"369.35156,554.49313,310.27404","369.35156,554.49313,310.27404","369.35156,554.49313,310.27404","369.35156,154.15902,554.49313,310.27404",1.0,0.75,1.0,0.5,1864886.0,1625262.0,1522653.0,3122743.0,1.0,0.9,1.0,0.8,0.925
3022,29537.0,0.75,LMST01020009_2-3_0_0_chain,676.60205,676.602672,21.321,21.14,1.0,287.0167,294.2302274,0.198,52676.8862,45293.5075,"369.35156,308.25839",-1,-2,308.25839,1.0,0.0,0.0,1.0,21287.86,,,36524.77,0.6792000000000001,-1.0,-1.0,0.6792000000000001,0.679
3025,29537.0,0.75,LMST01020009_5-6_0_0_chain,676.60205,676.602672,21.321,21.08,1.0,287.0167,289.9326232,0.868,52676.8862,45293.5075,"369.35156,308.25839",-1,-2,308.25839,1.0,0.0,0.0,1.0,21287.86,,,36524.77,0.9472,-1.0,-1.0,0.9472,0.947
3027,29537.0,0.75,LMST01020009_8-9_0_0_chain,676.60205,676.602672,21.321,21.09,1.0,287.0167,287.8412265,1.0,52676.8862,45293.5075,"369.35156,308.25839",-1,-2,308.25839,1.0,0.0,0.0,1.0,21287.86,,,36524.77,1.0,-1.0,-1.0,1.0,1.0
3166,31165.0,0.5,LMST01020013_11-12_0_0_chain,704.63123,704.63397,21.267,21.44,1.0,296.0355,292.5152534,0.776,96365.4824,66663.7945,369.35156,-1,-1,369.35156,1.0,0.0,0.0,1.0,32470.13,,,55777.96,0.9104000000000001,-1.0,-1.0,0.9104000000000001,0.91
3172,31165.0,0.5,LMST01020013_5-6_0_0_chain,704.63123,704.63397,21.267,21.38,1.0,296.0355,293.0096393,0.855,96365.4824,66663.7945,369.35156,-1,-1,369.35156,1.0,0.0,0.0,1.0,32470.13,,,55777.96,0.9420000000000002,-1.0,-1.0,0.9420000000000002,0.942
3175,31165.0,0.5,LMST01020013_8-9_0_0_chain,704.63123,704.63397,21.267,21.43,1.0,296.0355,295.9427231,1.0,96365.4824,66663.7945,369.35156,-1,-1,369.35156,1.0,0.0,0.0,1.0,32470.13,,,55777.96,1.0,-1.0,-1.0,1.0,1.0
3146,31003.0,1.0,LMST01020014_11-12_0_0_chain,702.61749,702.618321,22.249,21.89,1.0,291.7137,298.1234117,0.338,1637475.219,632154.0728,"369.35156,170.11755,538.46183,334.27404","369.35156,194.19031,538.46183,334.27404","369.35156,538.46183,194.19031,334.27404","194.19031,170.11755,334.27404,369.35156,538.46183",0.75,0.75,1.0,0.8,300473.6,255580.7,219307.1,495374.1,0.6352,0.6352,0.7352000000000001,0.6552,0.665
