,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
5,14147.0,1.0,LMST01010001_14-15_0_0_ring,416.38794,416.388669,10.342,10.29,0.8698128615086267,216.572,217.1,0.838,220022988.0,46559808.98,"385.346469,367.335909","385.346469,367.335909","385.346469,367.335909","385.346469,367.335909",0.577,0.619,0.542,0.515,56856660.0,51679710.0,36799930.0,62801080.0,0.8539064307543134,0.8539064307543134,0.8539064307543134,0.8539064307543134,0.854
7,14145.0,1.0,LMST01010089_12-13_0_0_ring,416.38794,416.388669,10.085,10.0,0.7776075581478848,217.8956,219.4,0.543,778885.1953,272314.9392,367.335909,367.335909,367.335909,367.335909,1.0,0.6,0.667,0.5,129350.3,103674.7,65446.32,172045.6,0.6603037790739424,0.6603037790739424,0.6603037790739424,0.6603037790739424,0.66
14,28531.0,1.0,LMST01020005_23-24_0_0_ring,654.61664,654.618321,21.1,21.82,0.1710928658609221,282.1408,285.6,0.193,249772.3535,158696.5018,398.37811,398.37811,-1,"398.37811,367.33591",0.4,1.0,0.0,0.8,63242.9,55640.02,,76891.23,0.18204643293046105,0.18204643293046105,0.0,0.18204643293046105,0.182
17,29673.0,0.5,LMST01020008_5-6_0_0_chain,678.61523,678.618321,20.404,21.12,0.14681561708517,289.8779,291.4,0.652,5679030.313,3224012.099,"369.35156,310.27404","369.35156,594.52443,310.27404",-1,-1,0.75,0.8,0.0,0.0,1730954.0,1529967.0,,,0.399407808542585,0.399407808542585,0.0,0.0,0.399
11,16433.0,1.0,LMST01040129_13-14_0_0_ring,444.41794,444.419967,10.995,11.14,0.6652565196512935,225.0785,226.2,0.669,2403747.344,759725.5137,395.367207,"395.367207,413.377767",395.367207,"395.367207,413.377767",0.125,0.333,0.5,0.333,592375.5,504860.5,281727.5,690540.2,0.6671282598256467,0.6671282598256467,0.6671282598256467,0.6671282598256467,0.667
