,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
1182,12187.0,1.0,LMST01010202_1-3_0_0_chain,428.38739,428.388669,7.303,7.08,1.0,220.5655,221.8522029,1.0,386500.1016,29698.5364,386.34172,386.34172,386.34172,386.34172,0.429,0.6,0.6,0.25,79459.28,75375.3,71810.21,88649.9,0.7716000000000001,0.8400000000000001,0.8400000000000001,0.7000000000000001,0.788
3079,13497.0,1.0,LMST01010207_12-13_0_0_ring,444.418,444.419967,9.904,9.84,1.0,223.3231,225.2386127,0.94,170372.4336,23769.5143,395.367207,413.377767,395.367207,-1,0.5,0.5,0.5,0.0,42748.34,51754.94,38827.01,,0.776,0.776,0.776,-1.0,0.776
3097,13497.0,1.0,LMST01010225_12-13_0_0_ring,444.418,444.419967,9.904,9.8,1.0,223.3231,225.7201678,0.842,170372.4336,23769.5143,395.367207,413.377767,395.367207,-1,0.5,0.5,0.5,0.0,42748.34,51754.94,38827.01,,0.7368,0.7368,0.7368,-1.0,0.737
399,10942.0,1.0,LMST01010242_12-13_0_0_ring,414.37244,414.37302,8.472,9.96,0.6237912961753567,219.6192,219.6099936,1.0,966029.8594,638466.2545,"365.32026,383.33082",365.32026,-2,-1,0.333,0.25,0.0,0.0,259493.3,245797.0,,,0.6579582592350713,0.6247582592350713,-1.0,-1.0,0.641
406,10942.0,1.0,LMST01010242_25-26_0_0_ring,414.37244,414.37302,8.472,10.0,0.6038314358304699,219.6192,219.2960279,1.0,966029.8594,638466.2545,"365.32026,383.33082",365.32026,-2,-1,0.333,0.25,0.0,0.0,259493.3,245797.0,,,0.6539662871660941,0.620766287166094,-1.0,-1.0,0.637
414,10942.0,1.0,LMST01010247_12-13_0_0_ring,414.37244,414.37302,8.472,10.11,0.5547255200364789,219.6192,218.4723444,1.0,966029.8594,638466.2545,"365.32026,383.33082",365.32026,-2,-1,0.333,0.25,0.0,0.0,259493.3,245797.0,,,0.6441451040072959,0.6109451040072958,-1.0,-1.0,0.628
421,10942.0,1.0,LMST01010247_14-15_0_0_ring,414.37244,414.37302,8.472,10.17,0.5261173781772055,219.6192,219.376368,1.0,966029.8594,638466.2545,"365.32026,383.33082",365.32026,-2,-1,0.333,0.25,0.0,0.0,259493.3,245797.0,,,0.6384234756354411,0.6052234756354411,-1.0,-1.0,0.622
294,10714.0,0.5,LMST01010254_11-12_0_0_ring,412.35849,412.35737,8.484,9.97,0.6260544994276065,215.314,217.1849248,0.935,89009.5117,12361.9267,363.30461,-1.0,-1,381.31517,1.0,0.0,0.0,1.0,25354.34,,,18987.66,0.8992108998855215,-1.0,-1.0,0.8992108998855215,0.899
299,10714.0,0.5,LMST01010254_13-14_0_0_ring,412.35849,412.35737,8.484,8.18,1.0,215.314,216.1320976,1.0,89009.5117,12361.9267,363.30461,-1.0,-1,381.31517,1.0,0.0,0.0,1.0,25354.34,,,18987.66,1.0,-1.0,-1.0,1.0,1.0
2297,13316.0,1.0,LMST01010277_10-11_0_0_ring,442.40564,442.404318,10.792,9.86,0.8897551761518392,224.0118,226.3608753,0.853,4664949.5625,492934.5369,"393.351558,411.362118","393.351558,411.362118","393.351558,411.362118",411.362118,0.75,0.5,0.571,0.4,1091201.0,1037888.0,1028599.0,855553.9,0.8191510352303679,0.7191510352303678,0.7475510352303678,0.6791510352303678,0.741
