,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
250,15598.0,1.0,LMST01010286_14-15_0_0_ring,414.37238,414.37302,8.346,9.2,0.927509125317935,214.3972,214.5314322,1.0,296146.8008,137715.6035,"365.32026,383.33082","365.32026,383.33082",365.32026,"365.32026,383.33082",0.625,0.5,0.2,0.6,59382.91,40334.33,95995.88,24862.23,0.8355018250635871,0.785501825063587,0.665501825063587,0.825501825063587,0.778
1375,17893.0,1.0,LMST01010304_16-17_0_0_ring,442.40561,442.404318,8.616,8.41,1.0,226.7899,229.013081,0.884,2428101.4375,1167562.6555,393.351558,393.351558,-1,411.362118,0.2,0.167,0.0,0.2,775559.7,299377.3,,318846.6,0.6336,0.6204000000000001,-1.0,0.6336,0.629
1378,17893.0,1.0,LMST01010304_2-4_0_0_chain,442.40561,442.404318,8.616,8.54,1.0,226.7899,227.3668077,1.0,2428101.4375,1167562.6555,386.34172,386.34172,386.34172,386.34172,0.6,0.333,0.4,0.6,775559.7,299377.3,681018.1,318846.6,0.8400000000000001,0.7332000000000001,0.76,0.8400000000000001,0.793
1381,17893.0,1.0,LMST01010305_16-17_0_0_ring,442.40561,442.404318,8.616,8.29,1.0,226.7899,229.013081,0.884,2428101.4375,1167562.6555,393.351558,393.351558,-1,411.362118,0.2,0.167,0.0,0.2,775559.7,299377.3,,318846.6,0.6336,0.6204000000000001,-1.0,0.6336,0.629
1384,17893.0,1.0,LMST01010305_2-4_0_0_chain,442.40561,442.404318,8.616,8.54,1.0,226.7899,227.3668077,1.0,2428101.4375,1167562.6555,386.34172,386.34172,386.34172,386.34172,0.6,0.333,0.4,0.6,775559.7,299377.3,681018.1,318846.6,0.8400000000000001,0.7332000000000001,0.76,0.8400000000000001,0.793
1604,17992.0,1.0,LMST01010306_16-17_0_0_ring,444.42133,444.419967,10.994,9.9,0.8108419926105265,224.8591,225.2769883,1.0,2029183.1719,1148508.2055,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.25,0.444,0.571,0.4,422954.5,343823.8,786158.9,191996.2,0.6621683985221053,0.7397683985221053,0.7905683985221053,0.7221683985221053,0.729
263,15599.0,1.0,LMST01010317_14-15_0_0_ring,414.37238,414.37302,8.346,9.03,1.0,219.6193,217.4541627,0.872,296146.8008,137715.6035,365.32026,365.32026,-1,-1,0.5,1.0,0.0,0.0,19285.91,8303.214,,,0.7488,0.9488000000000001,-1.0,-1.0,0.849
1274,17036.0,1.0,LMST01010330_24-25_0_0_ring,430.40393,430.404318,10.653,12.73,0.34646386292376974,220.1671,221.1968312,1.0,3782755.4062,2120682.7391,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",0.5,0.571,0.3,0.333,772313.1,666258.8,1456541.0,360393.3,0.669292772584754,0.6976927725847539,-1.0,0.602492772584754,0.656
1605,17992.0,1.0,LMST01010331_25-26_0_0_ring,444.42133,444.419967,10.994,9.65,0.6915140356993299,224.8591,224.5578767,1.0,2029183.1719,1148508.2055,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.25,0.444,0.571,0.4,422954.5,343823.8,786158.9,191996.2,0.638302807139866,0.715902807139866,0.766702807139866,0.698302807139866,0.705
306,15599.0,1.0,LMST01010350_14-15_0_0_ring,414.37238,414.37302,8.346,8.41,1.0,219.6193,218.1944338,1.0,296146.8008,137715.6035,365.32026,365.32026,-1,-1,0.5,1.0,0.0,0.0,19285.91,8303.214,,,0.8,1.0,-1.0,-1.0,0.9
