,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
1632,11103.0,1.0,LMST01010277_10-11_0_0_ring,442.40549,442.404318,8.613,9.84,0.747724143610609,227.2283,226.3608753,1.0,2927290.5938,1055848.738,393.351558,411.362118,393.351558,"393.351558,411.362118",0.5,0.083,0.111,0.182,410311.6,460681.1,841341.3,429138.9,0.7495448287221218,-1.0,-1.0,0.6223448287221218,0.686
258,8930.0,1.0,LMST01010286_14-15_0_0_ring,414.37231,414.37302,8.345,9.23,0.911589500152981,215.0598,214.5314322,1.0,320352.4023,101599.6928,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",0.75,0.5,0.8,0.625,40404.55,65395.55,74963.52,37137.6,0.8823179000305963,0.7823179000305962,0.9023179000305963,0.8323179000305962,0.85
910,9187.0,1.0,LMST01010290_9-10_0_0_ring,416.38791,416.388669,8.7,9.9,0.7598751962225478,223.7684,223.5290505,1.0,553376.3672,217280.5756,367.335909,-1,367.335909,367.335909,0.25,0.0,0.5,0.25,72566.7,,153411.5,71479.77,0.6519750392445096,-1.0,0.7519750392445096,0.6519750392445096,0.685
1639,11103.0,1.0,LMST01010304_16-17_0_0_ring,442.40549,442.404318,8.613,8.44,1.0,227.2283,229.013081,0.973,2927290.5938,1055848.738,393.351558,411.362118,393.351558,"393.351558,411.362118",0.5,0.083,0.111,0.182,410311.6,460681.1,841341.3,429138.9,0.7892,0.6224000000000001,0.6335999999999999,0.662,0.677
1642,11103.0,1.0,LMST01010304_2-4_0_0_chain,442.40549,442.404318,8.613,8.58,1.0,227.2283,227.3668077,1.0,2927290.5938,1055848.738,386.34172,"368.33116,386.34172","368.33116,386.34172","368.33116,386.34172",0.5,0.333,0.667,0.455,410311.6,460681.1,841341.3,429138.9,0.8,0.7332000000000001,0.8668,0.782,0.796
1645,11103.0,1.0,LMST01010305_16-17_0_0_ring,442.40549,442.404318,8.613,8.32,1.0,227.2283,229.013081,0.973,2927290.5938,1055848.738,393.351558,411.362118,393.351558,"393.351558,411.362118",0.5,0.083,0.111,0.182,410311.6,460681.1,841341.3,429138.9,0.7892,0.6224000000000001,0.6335999999999999,0.662,0.677
1648,11103.0,1.0,LMST01010305_2-4_0_0_chain,442.40549,442.404318,8.613,8.58,1.0,227.2283,227.3668077,1.0,2927290.5938,1055848.738,386.34172,"368.33116,386.34172","368.33116,386.34172","368.33116,386.34172",0.5,0.333,0.667,0.455,410311.6,460681.1,841341.3,429138.9,0.8,0.7332000000000001,0.8668,0.782,0.796
1890,11240.0,1.0,LMST01010306_16-17_0_0_ring,444.42126,444.419967,10.993,9.93,0.825116556588887,225.0784,225.2769883,1.0,3181862.4375,873863.3764,"395.367207,413.377767",395.367207,"395.367207,413.377767","395.367207,413.377767",0.182,0.286,0.429,0.571,523395.4,819970.9,847109.1,495813.5,0.6378233113177775,0.6794233113177774,0.7366233113177775,0.7934233113177774,0.712
275,8930.0,1.0,LMST01010317_14-15_0_0_ring,414.37231,414.37302,8.345,9.06,0.9921119859759213,215.0598,217.4541627,0.824,320352.4023,101599.6928,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",0.75,0.5,0.8,0.625,40404.55,65395.55,74963.52,37137.6,0.8280223971951843,0.7280223971951842,0.8480223971951844,0.7780223971951843,0.796
1556,10391.0,1.0,LMST01010330_24-25_0_0_ring,430.40387,430.404318,10.655,12.75,0.33341983917630713,220.3871,221.1968312,1.0,9534155.25,2625203.6557,"381.351558,399.362118","381.351558,399.362118","381.351558,399.362118","381.351558,399.362118",0.444,0.5,0.857,0.571,1694518.0,2560546.0,2581264.0,1445391.0,0.6442839678352614,0.6666839678352614,0.8094839678352614,0.6950839678352614,0.704
1891,11240.0,1.0,LMST01010331_25-26_0_0_ring,444.42126,444.419967,10.993,9.68,0.7063726308809414,225.0784,224.5578767,1.0,3181862.4375,873863.3764,"395.367207,413.377767",395.367207,"395.367207,413.377767","395.367207,413.377767",0.182,0.286,0.429,0.571,523395.4,819970.9,847109.1,495813.5,0.6140745261761883,0.6556745261761883,0.7128745261761883,0.7696745261761883,0.688
329,8931.0,1.0,LMST01010350_14-15_0_0_ring,414.37231,414.37302,8.345,8.44,1.0,219.9131,218.1944338,0.969,320352.4023,101599.6928,-1,365.32026,"365.32026,383.33082",365.32026,0.0,0.333,1.0,0.5,,21457.65,20319.2,9931.953,-1.0,0.7208000000000001,0.9876,0.7876000000000001,0.832
345,8931.0,1.0,LMST01010351_13-14_0_0_ring,414.37231,414.37302,8.345,9.39,0.8337233014152914,219.9131,218.8491891,1.0,320352.4023,101599.6928,-1,365.32026,"365.32026,383.33082",365.32026,0.0,0.333,1.0,0.5,,21457.65,20319.2,9931.953,-1.0,0.6999446602830584,0.9667446602830584,0.7667446602830583,0.811
