,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
2595,30826.0,1.0,LMST01020014_5-6_0_0_chain,702.62158,702.618321,20.373,21.87,0.6202188730158735,293.7438,297.1982318,0.795,132288.084,15963.5607,334.27404,-2,-2,618.52443,0.5,0.0,0.0,0.5,33025.11,,,44586.41,0.6420437746031749,-1.0,-1.0,0.6420437746031749,0.642
2547,29597.0,1.0,LMST01020059_8-9_0_0_chain,678.61938,678.618321,20.431,18.43,0.37955954718905016,289.3868,290.8260507,1.0,3509468.0625,3079289.3637,554.49313,554.49313,"154.15902,554.49313",554.49313,0.2,1.0,0.75,0.143,567989.9,1074612.0,1700672.0,758936.1,-1.0,0.87591190943781,0.7759119094378101,-1.0,0.826
1008,15434.0,1.0,LMST01030094_13-14_0_0_ring,428.39066,428.388669,8.44,8.75,1.0,223.7172,221.0744511,0.78,3855621.75,1831727.7883,379.335909,"379.335909,397.346469",379.335909,"379.335909,397.346469",0.1,0.111,0.333,0.222,441176.4,915979.2,1376401.0,619224.1,-1.0,-1.0,0.6452000000000001,0.6008,0.623
1029,15434.0,1.0,LMST01030098_15-16_0_0_ring,428.39066,428.388669,8.44,8.96,1.0,223.7172,221.4158853,0.852,3855621.75,1831727.7883,379.335909,"379.335909,397.346469",379.335909,"379.335909,397.346469",0.1,0.111,0.333,0.222,441176.4,915979.2,1376401.0,619224.1,-1.0,-1.0,0.674,0.6295999999999999,0.652
1044,15434.0,1.0,LMST01030099_12-13_0_0_ring,428.39066,428.388669,8.44,8.86,1.0,223.7172,222.6265599,1.0,3855621.75,1831727.7883,379.335909,"379.335909,397.346469",379.335909,"379.335909,397.346469",0.1,0.111,0.333,0.222,441176.4,915979.2,1376401.0,619224.1,0.64,0.6444000000000001,0.7332000000000001,0.6888000000000001,0.677
1523,16478.0,1.0,LMST01030104_12-13_0_0_ring,442.40216,442.404318,8.598,8.95,1.0,227.2283,226.3502908,1.0,3920971.125,1850910.7366,393.351558,-1,393.351558,-1,0.143,0.0,0.1,0.0,392352.9,,1227169.0,,0.6572,-1.0,0.64,-1.0,0.649
1045,15425.0,1.0,LMST01030109_1-2_0_0_chain,428.38736,428.388669,7.33,7.85,1.0,220.1988,223.0503844,0.741,1179092.7812,547552.7528,358.31042,358.31042,358.31042,358.31042,0.7,0.643,0.615,0.444,119489.2,279214.6,409568.1,188537.5,0.7764,0.7536,0.7424,0.674,0.737
1054,15434.0,1.0,LMST01030109_12-13_0_0_ring,428.39066,428.388669,8.44,8.77,1.0,223.7172,222.7959793,1.0,3855621.75,1831727.7883,379.335909,"379.335909,397.346469",379.335909,"379.335909,397.346469",0.1,0.111,0.333,0.222,441176.4,915979.2,1376401.0,619224.1,0.64,0.6444000000000001,0.7332000000000001,0.6888000000000001,0.677
1057,15434.0,1.0,LMST01030110_1-3_0_0_chain,428.39066,428.388669,8.44,7.0,0.6459749748323111,223.7172,225.755023,0.915,3855621.75,1831727.7883,"368.33116,386.34172",386.34172,"368.33116,386.34172","368.33116,386.34172",0.4,0.667,0.5,0.556,441176.4,915979.2,1376401.0,619224.1,0.6551949949664624,0.7619949949664624,0.6951949949664622,0.7175949949664624,0.707
1060,15434.0,1.0,LMST01030110_15-16_0_0_ring,428.39066,428.388669,8.44,7.06,0.6753158872565008,223.7172,223.8768077,1.0,3855621.75,1831727.7883,379.335909,"379.335909,397.346469",379.335909,"379.335909,397.346469",0.1,0.111,0.333,0.222,441176.4,915979.2,1376401.0,619224.1,-1.0,-1.0,0.6682631774513001,0.6238631774513002,0.646
