Trial,rmse,r2,mae,percent_madae,percent_mae,best_parameter,best_train_score
0,9.580851267113081,0.45241210456208636,8.285653367038947,0.05406766105539368,0.04209732442747335,"{'regressor__C': 463.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",12.086474354365384
1,11.897415776347374,0.8079650429559069,11.653083680649397,0.05741651873122033,0.06072762574016217,"{'regressor__C': 463.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.502675091844159
2,6.815588466220995,-3.0286102708411704,5.265634062363763,0.019478010220235542,0.02409051585279102,"{'regressor__C': 463.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",9.27478169595403
3,13.717412562256115,0.6726794198168592,12.2152000330058,0.048112619999277205,0.06554210613369843,"{'regressor__C': 463.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",9.525752782514699
4,6.721353732898851,0.41284427699150905,6.456709616197571,0.031278227268788435,0.02891565416528059,"{'regressor__C': 463.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",12.936098735394097
5,19.288098834899035,0.36948514687598233,18.667927228155776,0.0743704623868495,0.09713855368570175,"{'regressor__C': 463.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",7.428302231111692
6,11.305404547998661,0.7011252367756928,11.011717628544176,0.04827299855868088,0.050375864312532194,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",15.934517528138311
7,10.41832069884312,0.37227140583194873,8.039282246269067,0.026896778981922134,0.03360107249474719,"{'regressor__C': 463.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",9.334194964141691
8,7.423152635742156,0.9374914427095787,5.238708291474808,0.011112554826173574,0.02955936660630704,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",10.762243924802679
9,6.8266944439554,0.9328736906925499,4.791229804720189,0.010905116420129722,0.027110872010894738,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",13.920988578439426
10,18.541836155663642,0.7077308184919201,17.645512453968593,0.07025325312127764,0.08020453591949962,"{'regressor__C': 463.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",6.562963421676
11,9.85484767272421,0.7398891689626734,9.607181641682729,0.042449430165234434,0.046754902735499405,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",13.092693678324565
12,9.797130780781679,0.9171061057763853,8.56895052037144,0.05264618778425228,0.041934810825040005,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",9.953675665237986
13,7.411500820303668,0.14046455612320707,5.987017807005874,0.01930889519815519,0.02721288867905942,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",13.6963476247786
14,23.057064466846246,-4.314913332826872,19.905671765908266,0.08016960961320457,0.0833551137945181,"{'regressor__C': 463.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",5.7388947537574255
15,3.492694223250955,0.9380709746959588,2.0930004023285087,0.0007671375972108459,0.009155154604216563,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",11.885003638946818
16,21.222823936359465,0.4178083202580619,18.281579594951893,0.09988733000872566,0.10237112291904027,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",8.996860124094194
17,2.6553592923435705,0.9635965427899541,2.275659474626849,0.011355098976741845,0.009984227960880292,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",11.368027687815385
18,9.983960911716746,0.6963389241801512,8.243431620482776,0.026568824974296027,0.035738633994387675,"{'regressor__C': 463.3, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",8.698080449088541
19,16.029031214674298,-5.862115986640037,15.990460152348684,0.06816666491113263,0.06753878870485228,"{'regressor__C': 463.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",8.37842716992374
20,6.081400423754423,0.6484827200134302,4.710777375598174,0.01390171449122861,0.024326382869064533,"{'regressor__C': 463.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",13.232475507677771
21,11.727403474715052,0.459997623212148,10.969368741144857,0.058836405892141445,0.05967371854039972,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",11.484409522114408
22,6.598659048255943,0.9307203968901521,4.573274893297973,0.007022884497087297,0.026176682732426872,"{'regressor__C': 463.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",11.281838004905632
23,13.053232361361642,-6.334425507089278,11.107456869537069,0.06754210504310251,0.04944425481690016,"{'regressor__C': 463.0, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",11.44849757453974
24,2.884566327022108,0.9489121177891895,2.5136544742805618,0.012245780209361777,0.011497933494685642,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",13.087136452150805
25,8.04275803840941,-1.1203528043096855,7.108833638293031,0.019922323561729096,0.030769488088541772,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",12.632185328691959
26,22.220534959620604,0.31918433946789515,18.944712274886143,0.11280648885304631,0.10648091868989422,"{'regressor__C': 463.0, 'regressor__gamma': 0.00088, 'regressor__kernel': 'rbf'}",7.9124541287236525
