,observed,predicted,error
0,217.2,215.65631174022604,0.007107220348867146
1,218.8,219.96399392880548,0.005319899126167585
2,220.5,213.79875167936353,0.030391148846423882
3,219.9,217.37332895851975,0.011490091139064374
4,231.2,225.23693954160478,0.025791783989598638
5,222.1,219.51866278329427,0.01162240980056605
6,210.4,212.46081902267835,0.00979476721805297
7,210.4,215.15154520090525,0.02258338973814278
8,216.8,213.31600554600055,0.016070085119923697
9,291.2,213.19437294413623,0.2678764665379937
10,284.5,213.19437294413623,0.2506348929907338
11,291.2,213.19437294413623,0.2678764665379937
12,291.2,213.19437294413623,0.2678764665379937
13,224.4,220.5841437008387,0.017004707215513865
14,222.7,218.02460193148002,0.020994153877503224
15,225.1,221.37224501956203,0.016560439717627565
16,215.8,216.58608293657582,0.003642645674586697
17,176.0,186.67546964714992,0.06065607754062457
18,183.3,192.33661024286894,0.049299564881990894
19,219.8,224.56687621273483,0.021687334907801704
20,218.7,221.6233520552045,0.013366950412457721
