,observed,predicted,error
0,217.2,222.48875045704568,0.024349679820652368
1,218.8,220.88726861516483,0.009539618899290753
2,220.5,222.4979254479195,0.009060886385122445
3,219.9,219.3409618900343,0.0025422378806990095
4,231.2,232.25147487403018,0.0045479017042828335
5,222.1,220.51627584902127,0.007130680553708801
6,210.4,220.85708071899222,0.04970095398760559
7,210.4,221.92309954167746,0.054767583372991695
8,216.8,221.88043258638476,0.023433729641996057
9,291.2,296.21647661345725,0.01722691144731201
10,284.5,288.37213146558133,0.013610303921199765
11,291.2,295.96344940885376,0.016357999343591258
12,291.2,295.80816865671585,0.015824755002458314
13,224.4,229.48338201624523,0.02265321754119975
14,222.7,231.29896766541452,0.03861233796773478
15,225.1,230.6695782499424,0.024742684362249648
16,215.8,219.10093846526826,0.015296285751938116
17,176.0,174.0754133239846,0.010935151568269286
18,183.3,184.4085177757666,0.006047560151481647
19,219.8,222.52340958352255,0.012390398469165327
20,218.7,220.72550281720595,0.009261558377713586
