,mz,diagIonsInChian,diagIonsInRing,characteristicMass,RT,CCS,Standard
LMST01010404_1-4_0_0_chain,482.362848,426.33664,,426.33664,389.4979858,230.7509341,
LMST01010404_14-15_0_0_ring,482.362848,,451.320648,451.320648,522.4398193,229.7093025,
LMST01010405_1-2_0_0_chain,486.394146,"428.35228,410.34172",,"428.35228,410.34172",434.6882324,231.2420446,
LMST01010405_12-13_0_0_ring,486.394146,,"455.351946,437.341386","455.351946,437.341386",433.3476563,229.6898481,
LMST01010406_1-2_0_0_chain,484.378497,426.33664,,426.33664,357.7738342,231.3027094,
LMST01010406_12-13_0_0_ring,484.378497,,453.336297,453.336297,353.8086243,229.4216826,
LMST01010407_13-14_0_0_ring,468.347199,,437.304999,437.304999,420.7060547,226.2766986,
LMST01010407_3-4_0_0_chain,468.347199,412.32099,,412.32099,260.6583557,225.5473623,
LMST01010408_22-23_0_0_ring,750.405884,,"719.363684,701.353124,683.342564","719.363684,701.353124,683.342564",259.3997803,273.7158891,
LMST01010408_7-8_0_0_chain,750.405884,"144.1019,636.33781,618.32725,600.31669",,"144.1019,636.33781,618.32725,600.31669",225.0027161,273.3931524,
LMST01010409_22-23_0_0_ring,752.421533,,"721.379333,703.3687729999999,685.358213","721.379333,703.3687729999999,685.358213",242.6841125,273.645218,
LMST01010410_19-20_0_0_ring,708.395321,,"677.353121,659.3425609999999,641.332001","677.353121,659.3425609999999,641.332001",228.5766907,267.2731022,
LMST01010410_4-5_0_0_chain,708.395321,"102.09133,636.33781,618.32725,600.31669",,"102.09133,636.33781,618.32725,600.31669",199.8143005,266.4940029,
LMST01010411_19-20_0_0_ring,710.41097,,"679.36877,661.35821,643.34765","679.36877,661.35821,643.34765",210.2337341,267.0630551,
LMST01010412_16-17_0_0_ring,444.383583,,"413.341383,395.330823","413.341383,395.330823",572.4454956,230.7086544,
LMST01010412_3-4_0_0_chain,444.383583,"402.33664,384.32608",,"402.33664,384.32608",434.5483704,223.3851437,
LMST01010413_14-15_0_0_ring,544.326855,,"513.284655,495.274095,477.26353500000005","513.284655,495.274095,477.26353500000005",60,227.6268818,
LMST01010414_14-15_0_0_ring,560.321769,,"529.279569,511.269009,493.25844900000004","529.279569,511.269009,493.25844900000004",111.0604553,234.4855998,
LMST01010415_14-15_0_0_ring,562.337418,,"531.295218,513.2846579999999,495.274098","531.295218,513.2846579999999,495.274098",154.8695374,234.6168878,
LMST01010416_14-15_0_0_ring,560.321769,,"529.279569,511.269009,493.25844900000004","529.279569,511.269009,493.25844900000004",60,233.2228957,
LMST01010417_14-15_0_0_ring,604.311597,,"573.269397,555.258837,537.248277","573.269397,555.258837,537.248277",89.16436768,236.6652392,
LMST01010418_14-15_0_0_ring,558.30612,,"527.26392,509.25335999999993,491.2428","527.26392,509.25335999999993,491.2428",60,233.2939439,
LMST01010419_14-15_0_0_ring,546.342504,,"515.300304,497.2897439999999,479.279184","515.300304,497.2897439999999,479.279184",129.8622742,228.9312728,
LMST01010422_16-17_0_0_ring,526.337418,,"495.295218,477.284658,459.274098","495.295218,477.284658,459.274098",229.4055786,224.5392103,
LMST01010423_16-17_0_0_ring,524.321769,,"493.27956900000004,475.26900900000004,457.25844900000004","493.27956900000004,475.26900900000004,457.25844900000004",118.0501099,223.4375697,
LMST01010424_19-20_0_0_ring,568.347982,,"537.305782,519.295222,501.284662","537.305782,519.295222,501.284662",269.4139099,234.835331,
LMST01010425_19-20_0_0_ring,566.368717,,"535.326517,517.3159569999999,499.30539699999997","535.326517,517.3159569999999,499.30539699999997",268.5269775,235.5623629,
LMST01010426_13-14_0_0_ring,540.353067,,"509.31086700000003,491.300307,473.28974700000003","509.31086700000003,491.300307,473.28974700000003",290.4432983,227.1269423,
LMST01010427_19-20_0_0_ring,566.332332,,535.29014,535.29014,137.2379761,235.5864139,
LMST01010428_19-20_0_0_ring,568.347982,,"537.305782,519.295222,501.284662","537.305782,519.295222,501.284662",275.9297791,238.0037713,
LMST01010429_15-16_0_0_ring,510.342504,,"479.30030400000004,461.28974400000004,443.27918400000004","479.30030400000004,461.28974400000004,443.27918400000004",429.5708923,225.7800378,
LMST01010430_13-14_0_0_ring,686.41097,,"655.36877,637.35821,619.34765","655.36877,637.35821,619.34765",433.7816162,259.2389395,
LMST01010431_22-23_0_0_ring,596.37928,,"565.33708,547.32652,529.31596","565.33708,547.32652,529.31596",295.4677429,242.2598437,
LMST01010432_15-16_0_0_ring,654.384757,,"623.342557,605.331997,587.3214370000001","623.342557,605.331997,587.3214370000001",495.0049438,257.0977921,
LMST01010433_12-13_0_0_ring,638.389843,,"607.3476430000001,589.337083,571.3265230000001","607.3476430000001,589.337083,571.3265230000001",465.3760376,253.9079329,
LMST01010433_14-15_0_0_ring,638.389843,,"607.3476430000001,589.337083,571.3265230000001","607.3476430000001,589.337083,571.3265230000001",461.5167236,255.1606156,
LMST01010434_12-13_0_0_ring,652.369108,,"621.326908,603.316348,585.305788","621.326908,603.316348,585.305788",387.0037842,252.4668986,
LMST01010434_14-15_0_0_ring,652.369108,,"621.326908,603.316348,585.305788","621.326908,603.316348,585.305788",447.9320068,254.7328728,
LMST01010434_39-40_0_0_ring,652.369108,,"621.326908,603.316348,585.305788","621.326908,603.316348,585.305788",469.7544861,255.2872104,
LMST01010435_14-15_0_0_ring,640.405492,,"609.363292,591.352732,573.342172","609.363292,591.352732,573.342172",530.3901978,257.4771489,
LMST01010436_15-16_0_0_ring,656.400407,,"625.358207,607.3476469999999,589.337087","625.358207,607.3476469999999,589.337087",514.7658081,256.69507,
LMST01010437_12-13_0_0_ring,478.352676,,"447.310476,429.299916,411.289356","447.310476,429.299916,411.289356",267.280365,220.019584,
LMST01010437_14-15_0_0_ring,478.352676,,"447.310476,429.299916,411.289356","447.310476,429.299916,411.289356",417.7400818,220.2061468,
LMST01010438_16-17_0_0_ring,526.337418,,"495.295218,477.284658,459.274098","495.295218,477.284658,459.274098",198.4849243,224.5392103,
LMST01010439_32-33_0_0_ring,732.577242,,"701.535042,683.5244819999999,665.513922","701.535042,683.5244819999999,665.513922",440.2332153,291.1470083,
LMST01010440_34-35_0_0_ring,760.608541,,"729.566341,711.5557809999999,693.545221","729.566341,711.5557809999999,693.545221",436.3485718,293.3846125,
LMST01010441_32-33_0_0_ring,730.561593,,"699.519393,681.508833,663.498273","699.519393,681.508833,663.498273",461.3475342,289.7032749,
LMST01010441_6-7_0_0_chain,730.561593,"128.14337,632.45205,614.44149,596.43093",,"128.14337,632.45205,614.44149,596.43093",347.8474731,290.288182,
LMST01010442_34-35_0_0_ring,758.592891,,"727.550691,709.540131,691.529571","727.550691,709.540131,691.529571",456.3082886,293.8092817,
LMST01010442_8-9_0_0_chain,758.592891,"156.17467,632.45205,614.44149,596.43093",,"156.17467,632.45205,614.44149,596.43093",349.2599487,294.5313493,
LMST01010443_34-35_0_0_ring,756.577242,,"725.535042,707.5244819999999,689.513922","725.535042,707.5244819999999,689.513922",478.8555908,291.966224,
LMST01010443_5-6_0_0_chain,756.577242,"114.12772,672.48335,654.47279,636.46223",,"114.12772,672.48335,654.47279,636.46223",376.4733887,292.3807386,
LMST01010443_8-9_0_0_chain,756.577242,"154.15902,632.45205,614.44149,596.43093",,"154.15902,632.45205,614.44149,596.43093",376.7405396,293.5859391,
LMST01010444_15-16_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",494.0338745,220.0394833,
LMST01010445_13-14_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",598.2484131,217.2256524,
LMST01010446_13-14_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",602.0280151,217.7028849,
LMST01010448_14-15_0_0_ring,548.430922,,"517.388722,499.378162,481.36760200000003","517.388722,499.378162,481.36760200000003",604.5996094,254.1751698,
LMST01010449_16-17_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",142.8433533,219.4957335,
LMST01010450_26-27_0_0_ring,448.378497,,"417.336297,399.325737,381.315177","417.336297,399.325737,381.315177",510.5252075,219.3434083,
LMST01010451_22-23_0_0_ring,576.353067,,545.31087,545.31087,193.9792175,239.8070986,
LMST01010452_22-23_0_0_ring,594.363631,,"563.3214310000001,545.310871,527.3003110000001","563.3214310000001,545.310871,527.3003110000001",170.3437805,237.9174939,
LMST01010453_17-18_0_0_ring,578.368717,,"547.326517,529.3159569999999,511.30539699999997","547.326517,529.3159569999999,511.30539699999997",60,240.6655703,
LMST01010454_17-18_0_0_ring,578.368717,,"547.326517,529.3159569999999,511.30539699999997","547.326517,529.3159569999999,511.30539699999997",62.74230957,240.6655703,
LMST01010455_23-24_0_0_ring,604.347982,,"573.305782,555.295222,537.284662","573.305782,555.295222,537.284662",60,242.7518799,
LMST01010455_7-8_0_0_chain,604.347982,"144.1019,490.27991,472.26935,454.25879",,"144.1019,490.27991,472.26935,454.25879",60,243.2310969,
LMST01010456_11-12_0_0_ring,432.27443,,"401.23223,383.22167","401.23223,383.22167",60,200.6209565,
LMST01010457_22-23_0_0_ring,622.358545,,"591.3163450000001,573.305785,555.2952250000001","591.3163450000001,573.305785,555.2952250000001",234.9674988,241.1166637,
LMST01010459_25-26_0_0_ring,448.378497,,"417.336297,399.325737","417.336297,399.325737",607.9682617,222.8758961,
LMST01010460_16-17_0_0_ring,448.378497,,"417.336297,399.325737","417.336297,399.325737",606.7651367,222.8758961,
LMST01010462_16-17_0_0_ring,448.378497,,"417.336297,399.325737,381.315177","417.336297,399.325737,381.315177",568.9285278,221.5652406,
LMST01010463_25-26_0_0_ring,446.362848,,"415.320648,397.310088,379.299528","415.320648,397.310088,379.299528",390.5993652,223.4121785,
