LMID,MZ,diagIonsInChian,diagIonsInRing,MS2,RT,CCS,Standard
LMST01031193_15-16_0_0_ring,454.331549,,"423.289349,405.278789,387.268229","423.289349,405.278789,387.268229",479.4724944074683,220.4766259,
LMST01031193_17-18_0_0_ring,454.331549,,"423.289349,405.278789,387.268229","423.289349,405.278789,387.268229",485.3986378038427,214.9655171,
LMST01031193_5-6_0_0_chain,454.331549,"114.12772,370.23765,352.22709,334.21653",,"114.12772,370.23765,352.22709,334.21653",416.0402002861987,220.8193401,
LMST01031194_13-14_0_0_ring,436.320986,,405.278786,405.278786,533.9088851368431,220.4116707,
LMST01031194_15-16_0_0_ring,436.320986,,405.278786,405.278786,590.6572034454405,221.1054053,
LMST01031194_17-18_0_0_ring,436.320986,,405.278786,405.278786,476.1952927152349,216.7347368,
LMST01031194_5-6_0_0_chain,436.320986,"114.12772,352.22709",,"114.12772,352.22709",512.6351443615393,224.303761,
LMST01031195_13-14_0_0_ring,472.342113,,"441.299913,423.289353,405.278793","441.299913,423.289353,405.278793",559.2965478864819,226.6285527,
LMST01031195_5-6_0_0_chain,472.342113,"114.12772,388.24822,370.23766,352.2271",,"114.12772,388.24822,370.23766,352.2271",308.3400582210606,227.7789909,
LMST01031196_5-6_0_0_chain,462.394146,"114.12772,378.30025,360.28969,342.27913",,"114.12772,378.30025,360.28969,342.27913",433.91973314309723,225.950611,
LMST01031197_14-15_0_0_ring,474.357762,,"443.315562,425.305002,407.294442","443.315562,425.305002,407.294442",593.9304066654696,228.7479605,
LMST01031198_14-15_0_0_ring,474.357762,,"443.315562,425.305002,407.294442","443.315562,425.305002,407.294442",602.698119790979,228.7479605,
LMST01031199_0-1_0_0_chain,510.378888,"496.36324,478.35268,460.34212",,"496.36324,478.35268,460.34212",562.6840534303693,225.7461161,
LMST01031200_0-1_0_0_chain,494.383974,"480.36832,462.35776,444.3472",,"480.36832,462.35776,444.3472",546.7072071111144,229.3039708,
LMST01031201_0-1_0_0_chain,494.383974,"480.36832,462.35776,444.3472",,"480.36832,462.35776,444.3472",595.9918161017706,225.3121661,
LMST01031202_0-1_0_0_chain,478.38906,"464.37341,446.36285,428.35229",,"464.37341,446.36285,428.35229",540.1398435762742,229.3796156,
LMST01031203_0-1_0_0_chain,478.38906,"464.37341,446.36285,428.35229",,"464.37341,446.36285,428.35229",544.849203877027,229.3796156,
