LMID,MZ,diagIonsInChian,diagIonsInRing,MS2,RT,CCS,Standard
LMST01010001_14-15_0_0_ring,416.388669,,"385.346469,367.335909","385.346469,367.335909",618.9289726761122,217.1,1.0
LMST01010012_15-16_0_0_ring,430.367934,,"399.325734,381.315174","399.325734,381.315174",506.94765876332326,223.7587483,
LMST01010013_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",546.0726668480107,218.5,1.0
LMST01010014_14-15_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",607.9130826151065,222.7225659,
LMST01010015_15-16_0_0_ring,414.37302,,383.33082,383.33082,676.0658217194836,226.223469,
LMST01010016_1-3_0_0_chain,414.37302,"372.32607,354.31551",,"372.32607,354.31551",448.2372563335731,220.5,1.0
LMST01010016_14-15_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",503.2526314754922,219.9,1.0
LMST01010017_1-3_0_0_chain,456.419967,"414.37302,396.36246",,"414.37302,396.36246",546.0726668480107,231.9,1.0
LMST01010017_13-14_0_0_ring,456.419967,,"425.377767,407.367207","425.377767,407.367207",455.3081264753089,226.07303,
LMST01010018_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",474.455458902646,219.0313709,
LMST01010019_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",494.55499672977726,222.6193457,
LMST01010047_25-26_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",613.7291361171743,220.9370215,
LMST01010049_15-16_0_0_ring,430.367934,,"399.325734,381.315174","399.325734,381.315174",270.9654919873894,223.9,1.0
LMST01010054_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",575.1776256721196,219.1454039,
LMST01010057_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",567.4633504448695,221.5000414,
LMST01010058_15-16_0_0_ring,412.35737,,381.31517,381.31517,439.11161725130273,221.1940971,
LMST01010058_17-18_0_0_ring,412.35737,,381.31517,381.31517,743.2851966975977,222.6960967,
LMST01010059_13-14_0_0_ring,412.35737,,381.31517,381.31517,869.1825477782229,220.0279622,
LMST01010059_15-16_0_0_ring,412.35737,,381.31517,381.31517,566.6360666933325,225.1338745,
LMST01010066_12-13_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",597.4302487650427,221.347121,
LMST01010066_1-3_0_0_chain,414.37302,"372.32607,354.31551",,"372.32607,354.31551",416.49796602734995,219.192491,
LMST01010069_12-13_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",527.7039093163451,210.4,1.0
