LMID,MZ,diagIonsInChian,diagIonsInRing,MS2,RT,CCS,Standard
LMST01010001_14-15_0_0_ring,416.388669,,"385.346469,367.335909","385.346469,367.335909",619.9005154183756,217.1,1.0
LMST01010012_15-16_0_0_ring,430.367934,,"399.325734,381.315174","399.325734,381.315174",508.13434095687126,223.7587483,
LMST01010013_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",547.2539787423849,218.5,1.0
LMST01010014_14-15_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",608.9199121172571,222.7225659,
LMST01010015_15-16_0_0_ring,414.37302,,383.33082,383.33082,676.751094869094,226.223469,
LMST01010016_1-3_0_0_chain,414.37302,"372.32607,354.31551",,"372.32607,354.31551",449.42390862895286,220.5,1.0
LMST01010016_14-15_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",504.4393117873541,219.9,1.0
LMST01010017_1-3_0_0_chain,456.419967,"414.37302,396.36246",,"414.37302,396.36246",547.2539787423849,231.9,1.0
LMST01010017_13-14_0_0_ring,456.419967,,"425.377767,407.367207","425.377767,407.367207",456.49478237151675,226.07303,
LMST01010018_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",475.6421245495989,219.0313709,
LMST01010019_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",495.7416726123841,222.6193457,
LMST01010047_25-26_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",614.7173352878418,220.9370215,
LMST01010049_15-16_0_0_ring,430.367934,,"399.325734,381.315174","399.325734,381.315174",272.1520540074378,223.9,1.0
LMST01010054_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",576.2893153537512,219.1454039,
LMST01010057_15-16_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",568.5997509556889,221.5000414,
LMST01010058_15-16_0_0_ring,412.35737,,381.31517,381.31517,440.298264899467,221.1940971,
LMST01010058_17-18_0_0_ring,412.35737,,381.31517,381.31517,743.8709456383868,222.6960967,
LMST01010059_13-14_0_0_ring,412.35737,,381.31517,381.31517,869.581894595174,220.0279622,
LMST01010059_15-16_0_0_ring,412.35737,,381.31517,381.31517,567.7751172090935,225.1338745,
LMST01010066_12-13_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",598.4706575094475,221.347121,
LMST01010066_1-3_0_0_chain,414.37302,"372.32607,354.31551",,"372.32607,354.31551",417.68460215955247,219.192491,
LMST01010069_12-13_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",528.8906020799768,210.4,1.0
LMST01010069_14-15_0_0_ring,414.37302,,"383.33082,365.32026","383.33082,365.32026",528.8906020799768,210.4,1.0
LMST01010081_14-15_0_0_ring,416.388669,,"385.346469,367.335909","385.346469,367.335909",601.6560013510472,221.3208256,
