Trial,rmse,r2,mae,percent_madae,percent_mae,best_parameter,best_train_score
0,5.609869141113394,0.935571384084958,4.248584760942441,0.013398021590576304,0.019047641741560227,"{'regressor__C': 345, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.4439181205187195
1,5.219441152833235,0.838594771044146,3.9645824169299506,0.014629401141070204,0.0177707905748752,"{'regressor__C': 345, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.353239425405549
2,3.195496445209779,0.9797273145083466,2.441263763789297,0.010602625218109053,0.01082262336257826,"{'regressor__C': 345, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",5.1438274372020985
3,4.6612818970203,0.9307270523494485,3.2688628139551583,0.009017945329526371,0.014994744803743243,"{'regressor__C': 260, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",4.991886956325751
4,5.269771575146165,0.9299480899361743,3.8651900556680783,0.012983057444151725,0.017420843185855354,"{'regressor__C': 345, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.725369896092911
5,5.18400221362643,0.9223437932862488,3.7390605268473744,0.012750437373893848,0.016232645780013252,"{'regressor__C': 285, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",4.623583582553424
6,5.226928154246754,0.9278545824743755,4.066189047309149,0.01353822435493695,0.017698256432863282,"{'regressor__C': 345, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.552593473842381
7,3.978810034815384,0.9105192479086353,3.180018928676491,0.01106538472751461,0.014599220349881885,"{'regressor__C': 345, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",4.793637143056132
8,4.499292997954736,0.8875051132196752,3.3529604842297505,0.010677301257022199,0.015370503915312913,"{'regressor__C': 345, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.592447201605042
9,5.0559658530010525,0.9256200895020532,3.7085550359600488,0.013328291582022981,0.016662823312375754,"{'regressor__C': 345, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.64601097079475
10,4.294571461392442,0.9716338551711954,3.49528352814284,0.012963737810566592,0.016122659803519422,"{'regressor__C': 250, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",4.753307742967529
11,4.248159940582248,0.943826536337609,2.8236833578843203,0.009315607427495654,0.012540548479029466,"{'regressor__C': 340, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",4.54394510592641
12,3.529108103238098,0.9752560028155891,2.997941010833396,0.012924448481708038,0.01313202757051234,"{'regressor__C': 345, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",4.6332589592916165
13,5.318918490232364,0.946427714988423,3.7175830040731417,0.010861239885174262,0.01662271347122716,"{'regressor__C': 340, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",4.524772972637405
14,5.1039807668506185,0.9513665341194669,3.806451525575985,0.013748737624691521,0.01678158270918,"{'regressor__C': 345, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.623090930812262
15,5.217601635031408,0.8987355813497497,4.0684267376942795,0.014723242540009954,0.018702050689434084,"{'regressor__C': 345, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",4.354312067179134
16,3.9879900277962794,0.9200538107882723,2.9954691416071597,0.0113296689896818,0.013104368513626062,"{'regressor__C': 315, 'regressor__gamma': 0.0009, 'regressor__kernel': 'rbf'}",5.190153773384188
17,4.34405344565827,0.9294094098825241,3.3384072954291044,0.011857368258604555,0.014796003753865306,"{'regressor__C': 250, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.559419800894917
18,3.638360155541467,0.964685040900573,2.9205012096459493,0.010926460586096039,0.013239172233183867,"{'regressor__C': 330, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",5.165498728854063
19,4.517155236674723,0.9540761604643322,3.414387722380972,0.012249651701132621,0.015729809460478365,"{'regressor__C': 345, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.7192420789532905
20,3.492023018437807,0.9758386612460539,2.4343490773764063,0.008690628455121278,0.011360081947154786,"{'regressor__C': 345, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.8967346642842084
21,3.9892596122923725,0.9621277604379359,2.6852565706453078,0.008067429615584359,0.011952112640295377,"{'regressor__C': 345, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",4.7541996987610915
22,4.958027137543549,0.8955903700442812,3.6272148433078724,0.009114356289006899,0.01648397161034161,"{'regressor__C': 250, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.712942611286457
23,4.430359042779304,0.921139227120441,3.228307147464115,0.010550060734947492,0.014363137524792187,"{'regressor__C': 265, 'regressor__gamma': 0.001, 'regressor__kernel': 'rbf'}",4.585374947841393
24,5.239169065838383,0.9228008790519083,4.123397769856107,0.015824952742104034,0.019152381533451713,"{'regressor__C': 345, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.428171832002421
25,5.68052180012354,0.8687577526673335,4.250933164152806,0.013983683928334913,0.0190610069223065,"{'regressor__C': 270, 'regressor__gamma': 0.0008, 'regressor__kernel': 'rbf'}",4.626570868825082
26,4.795334163888595,0.9354333742060164,3.5013498197474204,0.01243381447117324,0.016006837379775946,"{'regressor__C': 345, 'regressor__gamma': 0.0011, 'regressor__kernel': 'rbf'}",4.831387687087405
