,observed,predicted,error
0,217.2,221.3807023746649,0.019248169312453583
1,218.8,222.38590794769732,0.016388975994960274
2,220.5,223.26140367299786,0.012523372666656951
3,219.9,219.03127147368053,0.003950561738606059
4,231.2,231.91151699736753,0.0030774956633544087
5,222.1,222.79552625389522,0.0031315905173130306
6,210.4,218.20153531638357,0.037079540477108194
7,210.4,219.23841178576401,0.04200766057872628
8,216.8,219.54821072584116,0.012676248735429647
9,291.2,297.9549443278057,0.023196924202629574
10,284.5,293.77797455460325,0.0326115098580079
11,291.2,296.60635139044854,0.01856576713752936
12,291.2,296.9378576662356,0.01970418154613868
13,224.4,227.41890046253815,0.013453210617371397
14,222.7,227.28632975814742,0.02059420636797229
15,225.1,230.8209159258372,0.025414997449298996
16,215.8,220.04169933692754,0.01965569664933978
17,176.0,174.95353328537487,0.005945833605824579
18,183.3,183.51068823778093,0.0011494175547240276
19,219.8,223.46062703268598,0.016654354106851527
20,218.7,221.1570022759705,0.01123457830804995
