PeakID,RT left(min),RT (min),RT right (min),Mobility left,Mobility,Mobility right,CCS,Precursor m/z,Height,Area,S/N,MSMS spectrum
34848,15.35333,15.41834,15.48341,-1.0,-1.0,-1.0,-1.0,566.8671,1937.5,2519.676,2.71554,
34849,15.35333,15.41834,15.48341,1.083429,1.09193,1.101838,223.9955,566.8671,1937.5,658.5204,38.75,
34850,15.3968,15.41834,15.45086,-1.0,-1.0,-1.0,-1.0,795.0563,10988.81,24226.21,12.29045,
34851,15.3968,15.41834,15.45086,1.080594,1.103253,1.130098,224.7838,795.0563,26915.5,23025.43,538.31,
34854,15.32617,15.41834,15.46169,-1.0,-1.0,-1.0,-1.0,912.2344,1375.0,1788.157,2.186272,
34855,15.32617,15.41834,15.46169,1.064988,1.073504,1.083429,218.2438,912.2344,1375.0,468.1447,27.5,
34856,15.32617,15.41834,15.46169,1.318916,1.327231,1.336923,269.8266,912.2344,897.0,298.2044,17.94,
34857,15.39125,15.41834,15.44003,-1.0,-1.0,-1.0,-1.0,1187.569,2375.0,3088.635,3.960444,
34858,15.39125,15.41834,15.44003,0.932133,0.9407541,0.9508033,190.594,1187.569,2375.0,818.6722,47.5,
34859,15.39125,15.41834,15.44003,1.016608,1.025162,1.035132,207.6948,1187.569,1125.0,384.7615,22.5,
34860,15.39125,15.41834,15.44003,1.285593,1.293934,1.303656,262.1472,1187.569,1234.5,411.6997,24.69,
34861,15.35882,15.41834,15.48341,-1.0,-1.0,-1.0,-1.0,1271.677,1797.0,2336.959,3.266175,
34862,15.35882,15.41834,15.48341,1.056467,1.064988,1.074922,215.599,1271.677,1797.0,612.3078,35.94,
34863,15.33705,15.42376,15.48885,-1.0,-1.0,-1.0,-1.0,429.9962,2015.75,2623.731,5.006,
34864,15.33705,15.42376,15.48885,0.8874809,0.8961377,0.9062285,185.2039,429.9962,2015.75,697.719,40.315,
34865,15.36417,15.42376,15.44544,-1.0,-1.0,-1.0,-1.0,476.2894,2472.75,3608.773,2.672458,
34866,15.36417,15.42376,15.44544,0.793252,0.8019845,0.8121635,165.2519,476.2894,1875.0,654.6727,37.5,
34867,15.36417,15.42376,15.44544,0.9464976,0.9551072,0.965143,196.8035,476.2894,797.0,274.3625,15.94,
34868,15.36417,15.42376,15.44544,1.093346,1.101838,1.111738,227.038,476.2894,812.5,275.8987,16.25,
34869,15.34792,15.42376,15.49987,-1.0,-1.0,-1.0,-1.0,766.1729,2976.75,5162.292,5.165093,
34870,15.34792,15.42376,15.49987,0.9464976,0.9551072,0.9737376,194.7243,766.1729,1984.5,1365.76,39.69,
34871,15.34792,15.42376,15.49987,1.147019,1.155468,1.163912,235.5734,766.1729,402.75,136.0753,8.055,
34876,15.40753,15.42376,15.49427,-1.0,-1.0,-1.0,-1.0,798.5861,79812.19,304541.0,48.50421,
34877,15.40753,15.42376,15.49427,1.381116,1.415513,1.44706,288.3839,798.5861,154146.6,182480.5,3072.564,
34878,15.38043,15.42376,15.45634,-1.0,-1.0,-1.0,-1.0,845.2825,1312.5,1829.97,2.510965,
34879,15.38043,15.42376,15.45634,1.134331,1.142791,1.152653,232.6039,845.2825,823.5,278.562,16.47,
34880,15.38043,15.42376,15.45634,1.33969,1.347988,1.357661,274.3698,845.2825,1031.25,342.166,20.625,
34881,15.38043,15.42376,15.45634,1.430613,1.438839,1.448429,292.8616,845.2825,375.0,123.3558,7.5,
34882,15.37501,15.42376,15.45634,-1.0,-1.0,-1.0,-1.0,847.2374,1515.75,1972.923,2.149406,
34883,15.37501,15.42376,15.45634,0.8556798,0.8643621,0.8744826,175.9259,847.2374,1515.75,526.1971,30.315,
34884,15.37501,15.42376,15.45634,1.159691,1.168131,1.177969,237.7528,847.2374,1828.25,616.9717,36.565,
34885,15.37501,15.42376,15.47812,-1.0,-1.0,-1.0,-1.0,1176.584,1281.25,1667.695,2.184285,
34886,15.37501,15.42376,15.47812,1.152653,1.162505,1.173754,235.5454,1176.584,1281.25,432.6059,25.625,
34887,15.37501,15.42376,15.47812,1.658561,1.666611,1.675995,337.6868,1176.584,609.5,196.1784,12.19,
